Source_Field,Target_Field,Default_Value,Lookup_Table,Join_Key,Transformation_Note
AGENT_NUMBER,MAGENT,,,,RAW_AGENT_ID
,MCOMP,C,,,DEFAULT_COMPANY_CODE
STATUS_CODE,MSTATUS,,,,AGENT_STATUS_TRANSLATION
CONTRACT_DATE,MDATE,,,,DATE_STANDARDIZE
NAME_ID,MAGTNAME,,"quikclnt","MCLIENTID",AGENT_NAME_LOOKUP
NAME_ID,MAGTADDR1,,"quikclnt","MCLIENTID",ADDRESS_LOOKUP
NAME_ID,MAGTADDR2,,"quikclnt","MCLIENTID",ADDRESS_LOOKUP
NAME_ID,MAGTCITY,,"quikclnt","MCLIENTID",ADDRESS_LOOKUP
NAME_ID,MAGTST,,"quikclnt","MCLIENTID",ADDRESS_LOOKUP
NAME_ID,MAGTZIP,,"quikclnt","MCLIENTID",ADDRESS_LOOKUP
NAME_ID,MAGTZIP2,,"quikclnt","MCLIENTID",ADDRESS_LOOKUP
NAME_ID,MAGTSSN,,"quikclnt","MCLIENTID",SSN_SPLIT
NAME_ID,MAGTFEIN,,"quikclnt","MCLIENTID",FEIN_SPLIT
NAME_ID,MTAXIDTYPE,,"quikclnt","MCLIENTID",DIRECT_LOOKUP
,MAGTACCT,,,,DEFERRED_BANKING
NAME_ID,MAGTPHONE,,"quikclnt","MCLIENTID",PHONE_PRIORITY
NAME_ID,MAGTEMAIL,,"quikclnt","MCLIENTID",EMAIL_LOOKUP
MSUPPRESS,MSUPPRESS,False,,,DEFAULT_FALSE
,MAGTFAX,,,,FUTURE_ENHANCEMENT
,MAGTCELL,,,,FUTURE_ENHANCEMENT
,MAGTOFCE,,,,FUTURE_ENHANCEMENT
,MEMOTEXT,,,,FUTURE_ENHANCEMENT
,MCOMMGRP,,,,FUTURE_ENHANCEMENT
,MOTHNAME,,,,FUTURE_ENHANCEMENT
,MPREMACCT,,,,FUTURE_ENHANCEMENT
,MAGENCY,,,,FUTURE_ENHANCEMENT
,MAGCYNAME,,,,FUTURE_ENHANCEMENT
,MAGTNPN,,,,FUTURE_ENHANCEMENT
