,MNT,MTB,FNT,FTB
0,5.67,0,4.9,0
1,5.86,0,5.07,0
2,6.06,0,5.24,0
3,6.26,0,5.42,0
4,6.47,0,5.6,0
5,6.69,0,5.79,0
6,6.92,0,5.99,0
7,7.16,0,6.19,0
8,7.41,0,6.4,0
9,7.66,0,6.62,0
10,7.93,0,6.85,0
11,8.21,0,7.08,0
12,8.49,0,7.33,0
13,8.78,0,7.58,0
14,9.07,0,7.83,0
15,9.37,0,8.1,0
16,9.66,0,8.36,0
17,9.95,0,8.63,0
18,9.95,11.71,8.64,10.41
19,9.95,12.01,8.65,10.75
20,9.95,12.34,8.66,11.1
21,10.19,12.7,8.93,11.47
22,10.43,13.07,9.2,11.84
23,10.68,13.45,9.48,12.23
24,10.94,13.84,9.77,12.63
25,11.2,14.24,10.07,13.05
26,11.55,14.68,10.4,13.48
27,11.9,15.14,10.74,13.92
28,12.28,15.61,11.09,14.38
29,12.66,16.1,11.45,14.85
30,13.04,16.6,11.82,15.33
31,13.45,17.13,12.21,15.83
32,13.88,17.66,12.61,16.35
33,14.31,18.21,13.03,16.88
34,14.76,18.76,13.46,17.43
35,15.23,19.34,13.9,17.99
36,15.73,19.95,14.36,18.58
37,16.24,20.58,14.82,19.19
38,16.77,21.23,15.3,19.82
39,17.32,21.9,15.8,20.46
40,17.88,22.59,16.31,21.13
41,18.46,23.34,16.84,21.82
42,19.05,24.12,17.38,22.52
43,19.66,24.92,17.94,23.26
44,20.28,25.74,18.52,24.01
45,20.92,26.6,19.12,24.79
46,21.59,27.53,19.74,25.6
47,22.28,28.49,20.38,26.43
48,22.99,29.49,21.04,27.29
49,23.71,30.52,21.73,28.18
50,24.45,31.59,22.43,29.1
51,25.24,32.79,23.15,30.09
52,26.06,34.03,23.89,31.12
53,26.9,35.32,24.66,32.18
54,27.77,36.66,25.45,33.28
55,28.67,38.05,26.27,34.42
56,29.64,39.66,27.12,35.66
57,30.65,41.34,28,36.95
58,31.68,43.1,28.91,38.29
59,32.73,44.93,29.84,39.67
60,33.8,46.83,30.81,41.1
61,35.29,48.83,32.16,43.12
62,36.84,50.91,33.58,45.23
63,38.47,53.08,35.05,47.46
64,40.16,55.35,36.59,49.79
65,41.93,57.71,38.2,52.23
66,43.8,60.3,39.85,54.78
67,45.75,63.01,41.56,57.45
68,47.79,65.84,43.35,60.26
69,49.92,68.8,45.22,63.2
70,52.14,71.89,47.17,66.28
71,55.04,75.48,49.46,69.89
72,58.09,79.26,51.85,73.7
73,61.32,83.22,54.36,77.72
74,64.73,87.38,57,81.95
75,68.32,91.75,59.76,86.42
76,72.04,97.14,63.21,91.82
77,75.96,102.84,66.86,97.55
78,80.1,108.88,70.72,103.65
79,84.46,115.28,74.81,110.12
80,89.06,122.05,79.13,117
81,97.13,129.96,85.6,124.2
82,105.93,138.38,92.59,131.84
83,115.53,147.35,100.15,139.94
84,126,156.9,108.34,148.55
85,137.42,167.07,117.19,157.69
