,20 Year Band 1,,,,20 Year Band 2,,,,,,,,20 Year Band 3,,,,,,,,20 Year Band 4,,,,,,,
,MRN,MRT,FRN,FRT,MSP,MPN,MRN,MRT,FSP,FPN,FRN,FRT,MSP,MPN,MRN,MRT,FSP,FPN,FRN,FRT,MSP,MPN,MRN,MRT,FSP,FPN,FRN,FRT
18,1.27,2.48,0.92,1.60,0.77,0.94,1.10,2.23,0.61,0.77,0.91,1.59,0.62,0.75,0.90,1.92,0.47,0.59,0.72,1.38,0.50,0.59,0.82,1.63,0.41,0.45,0.57,1.13 
19,1.27,2.48,0.92,1.60,0.77,0.94,1.10,2.23,0.61,0.77,0.91,1.59,0.62,0.75,0.90,1.92,0.47,0.59,0.72,1.38,0.50,0.59,0.82,1.63,0.41,0.45,0.57,1.13 
20,1.27,2.48,0.92,1.60,0.77,0.94,1.10,2.23,0.61,0.77,0.91,1.59,0.62,0.75,0.90,1.92,0.47,0.59,0.72,1.38,0.50,0.59,0.82,1.63,0.41,0.45,0.57,1.16
21,1.27,2.48,0.93,1.63,0.78,0.94,1.10,2.24,0.61,0.78,0.92,1.62,0.62,0.75,0.91,1.94,0.47,0.60,0.72,1.41,0.50,0.59,0.82,1.65,0.41,0.46,0.59,1.19
22,1.27,2.48,0.93,1.66,0.78,0.94,1.10,2.25,0.61,0.79,0.92,1.65,0.62,0.75,0.91,1.95,0.47,0.61,0.72,1.44,0.50,0.59,0.82,1.66,0.41,0.47,0.60,1.22
23,1.27,2.48,0.93,1.69,0.78,0.94,1.10,2.26,0.61,0.80,0.92,1.68,0.62,0.75,0.91,1.96,0.47,0.62,0.72,1.47,0.50,0.59,0.82,1.68,0.41,0.47,0.61,1.25
24,1.27,2.48,0.93,1.72,0.78,0.94,1.10,2.27,0.61,0.81,0.92,1.71,0.62,0.75,0.91,1.97,0.47,0.63,0.72,1.50,0.50,0.59,0.82,1.69,0.41,0.48,0.62,1.28
25,1.27,2.48,0.93,1.75,0.78,0.94,1.10,2.28,0.61,0.81,0.92,1.73,0.62,0.75,0.91,1.98,0.47,0.63,0.72,1.53,0.50,0.59,0.82,1.70,0.41,0.48,0.63,1.35
26,1.28,2.59,0.95,1.83,0.79,0.96,1.12,2.37,0.62,0.82,0.94,1.81,0.63,0.77,0.93,2.03,0.48,0.65,0.74,1.58,0.52,0.61,0.84,1.79,0.42,0.50,0.65,1.42
27,1.29,2.69,0.96,1.90,0.80,0.97,1.13,2.46,0.63,0.83,0.95,1.88,0.63,0.78,0.94,2.08,0.49,0.66,0.75,1.62,0.53,0.63,0.85,1.88,0.42,0.52,0.67,1.49
28,1.30,2.80,0.97,1.97,0.80,0.98,1.15,2.54,0.64,0.83,0.96,1.96,0.63,0.79,0.96,2.13,0.50,0.67,0.77,1.66,0.55,0.65,0.86,1.97,0.43,0.54,0.68,1.56
29,1.31,2.90,0.98,2.04,0.81,0.99,1.16,2.63,0.65,0.84,0.97,2.03,0.63,0.80,0.97,2.18,0.51,0.68,0.78,1.70,0.56,0.67,0.87,2.06,0.43,0.56,0.70,1.63
30,1.31,3.00,0.99,2.11,0.81,1.00,1.17,2.71,0.65,0.84,0.98,2.10,0.63,0.81,0.98,2.23,0.51,0.69,0.79,1.74,0.57,0.69,0.88,2.14,0.43,0.57,0.71,1.74
31,1.39,3.18,1.07,2.30,0.82,1.03,1.19,2.87,0.67,0.88,1.01,2.23,0.65,0.83,1.00,2.36,0.53,0.71,0.82,1.85,0.58,0.72,0.91,2.27,0.45,0.60,0.74,1.84
32,1.46,3.36,1.15,2.49,0.83,1.05,1.20,3.02,0.68,0.91,1.04,2.36,0.67,0.84,1.02,2.49,0.55,0.73,0.85,1.96,0.59,0.74,0.93,2.40,0.47,0.63,0.76,1.95
33,1.54,3.54,1.22,2.67,0.83,1.07,1.22,3.18,0.70,0.94,1.06,2.49,0.68,0.86,1.03,2.62,0.57,0.75,0.88,2.07,0.60,0.77,0.95,2.52,0.49,0.66,0.79,2.05
34,1.61,3.72,1.30,2.86,0.84,1.09,1.23,3.33,0.71,0.97,1.09,2.62,0.70,0.87,1.05,2.75,0.59,0.77,0.91,2.18,0.61,0.79,0.97,2.65,0.51,0.69,0.81,2.15
35,1.68,3.90,1.37,3.04,0.84,1.11,1.24,3.48,0.72,1.00,1.11,2.75,0.71,0.88,1.06,2.88,0.60,0.78,0.94,2.28,0.61,0.81,0.99,2.77,0.52,0.71,0.83,2.35
36,1.82,4.32,1.47,3.32,0.92,1.21,1.36,3.77,0.77,1.07,1.19,2.99,0.77,0.99,1.18,3.19,0.65,0.85,1.02,2.48,0.66,0.89,1.08,3.06,0.56,0.76,0.89,2.54
37,1.96,4.74,1.56,3.60,1.00,1.30,1.48,4.05,0.82,1.14,1.27,3.23,0.83,1.09,1.29,3.49,0.70,0.92,1.10,2.68,0.71,0.97,1.17,3.35,0.60,0.81,0.95,2.74
38,2.10,5.15,1.66,3.88,1.07,1.40,1.60,4.33,0.86,1.21,1.34,3.46,0.89,1.20,1.40,3.80,0.74,0.98,1.17,2.88,0.76,1.05,1.25,3.64,0.64,0.86,1.01,2.93
39,2.24,5.57,1.75,4.16,1.15,1.49,1.72,4.61,0.91,1.28,1.42,3.70,0.95,1.30,1.51,4.10,0.79,1.05,1.25,3.08,0.81,1.13,1.34,3.93,0.68,0.91,1.07,3.12
40,2.38,5.98,1.84,4.43,1.22,1.58,1.83,4.89,0.95,1.35,1.49,3.93,1.00,1.40,1.62,4.40,0.83,1.11,1.32,3.28,0.85,1.21,1.42,4.22,0.72,0.95,1.13,3.5
41,2.60,6.66,2.00,4.93,1.34,1.73,2.00,5.33,1.04,1.46,1.61,4.31,1.13,1.53,1.78,4.86,0.92,1.21,1.43,3.65,0.97,1.35,1.60,4.64,0.79,1.06,1.26,3.87
42,2.82,7.34,2.16,5.42,1.46,1.87,2.16,5.77,1.12,1.57,1.73,4.68,1.26,1.66,1.93,5.32,1.00,1.30,1.53,4.02,1.08,1.48,1.78,5.06,0.86,1.16,1.39,4.24
43,3.03,8.01,2.32,5.91,1.58,2.01,2.32,6.21,1.21,1.67,1.84,5.05,1.38,1.79,2.09,5.78,1.08,1.40,1.64,4.39,1.20,1.61,1.95,5.48,0.93,1.27,1.51,4.61
44,3.25,8.69,2.48,6.40,1.70,2.15,2.48,6.65,1.29,1.78,1.96,5.42,1.51,1.92,2.24,6.24,1.16,1.49,1.74,4.76,1.31,1.74,2.13,5.90,1.00,1.37,1.64,4.98
45,3.46,9.36,2.64,6.89,1.82,2.29,2.64,7.08,1.37,1.88,2.07,5.79,1.63,2.04,2.39,6.70,1.24,1.58,1.84,5.13,1.42,1.87,2.30,6.31,1.06,1.47,1.76,5.42
46,3.87,10.28,2.91,7.59,2.02,2.51,3.03,7.72,1.53,2.07,2.32,6.29,1.81,2.25,2.73,7.32,1.37,1.75,2.03,5.60,1.58,2.08,2.55,6.91,1.18,1.61,1.94,5.85
47,4.27,11.20,3.18,8.29,2.22,2.73,3.41,8.36,1.69,2.26,2.56,6.79,1.99,2.46,3.07,7.94,1.50,1.92,2.22,6.07,1.73,2.29,2.79,7.51,1.30,1.75,2.11,6.29
48,4.68,12.12,3.45,8.99,2.42,2.94,3.80,9.00,1.85,2.45,2.80,7.29,2.17,2.67,3.40,8.56,1.62,2.08,2.41,6.53,1.89,2.50,3.04,8.11,1.41,1.89,2.29,6.72
49,5.08,13.04,3.72,9.69,2.62,3.16,4.18,9.64,2.01,2.64,3.04,7.79,2.35,2.88,3.74,9.18,1.75,2.25,2.60,7.00,2.04,2.71,3.28,8.71,1.53,2.03,2.46,7.15
50,5.48,13.95,3.99,10.39,2.81,3.37,4.56,10.28,2.16,2.82,3.28,8.29,2.53,3.09,4.07,9.79,1.87,2.41,2.79,7.46,2.19,2.91,3.52,9.31,1.64,2.17,2.63,8.03
51,6.22,14.99,4.43,11.17,3.13,3.77,4.98,11.55,2.35,3.07,3.54,9.08,2.83,3.45,4.49,10.99,2.08,2.62,3.10,8.28,2.51,3.27,4.02,10.50,1.86,2.39,2.97,8.9
52,6.95,16.03,4.86,11.94,3.45,4.17,5.40,12.81,2.53,3.31,3.80,9.87,3.13,3.80,4.90,12.18,2.29,2.83,3.41,9.09,2.82,3.62,4.51,11.69,2.07,2.61,3.31,9.77
53,7.68,17.06,5.30,12.72,3.76,4.57,5.81,14.08,2.72,3.56,4.06,10.65,3.43,4.16,5.31,13.37,2.49,3.04,3.71,9.90,3.14,3.97,5.00,12.88,2.28,2.83,3.65,10.64
54,8.41,18.10,5.73,13.49,4.08,4.97,6.23,15.34,2.90,3.80,4.32,11.44,3.73,4.51,5.72,14.56,2.70,3.25,4.02,10.71,3.45,4.32,5.49,14.07,2.49,3.05,3.99,11.51
55,9.14,19.13,6.16,14.26,4.39,5.37,6.64,16.60,3.08,4.04,4.57,12.22,4.02,4.86,6.13,15.75,2.90,3.46,4.32,11.52,3.76,4.67,5.98,15.26,2.70,3.27,4.32,12.71
56,10.29,20.98,7.04,15.74,4.94,6.04,7.77,18.37,3.55,4.50,5.33,13.47,4.56,5.55,7.12,17.43,3.33,3.96,5.03,12.71,4.35,5.36,6.90,16.99,3.10,3.75,4.90,13.9
57,11.44,22.83,7.92,17.21,5.49,6.71,8.89,20.14,4.01,4.95,6.09,14.71,5.09,6.23,8.10,19.11,3.76,4.46,5.73,13.90,4.93,6.05,7.81,18.71,3.50,4.22,5.48,15.09
58,12.59,24.68,8.80,18.68,6.03,7.38,10.01,21.91,4.47,5.41,6.84,15.95,5.62,6.92,9.08,20.79,4.19,4.96,6.43,15.09,5.52,6.74,8.73,20.44,3.90,4.70,6.06,16.28
59,13.74,26.53,9.68,20.15,6.58,8.05,11.13,23.68,4.93,5.86,7.60,17.19,6.15,7.60,10.06,22.47,4.62,5.46,7.13,16.28,6.10,7.43,9.64,22.16,4.30,5.17,6.64,17.47
60,14.89,28.38,10.55,21.62,7.12,8.72,12.25,25.45,5.39,6.31,8.35,18.43,6.68,8.28,11.04,24.15,5.05,5.95,7.83,17.47,6.68,8.12,10.55,23.88,4.69,5.64,7.22,
