,B1MaleNonsmoker,B1MaleSmoker,B1FemaleNonsmoker,B1FemaleSmoker,B2MaleSuperPreferred,B2MalePreferred,B2MaleResidual,B2MaleSmoker,B2FemaleSuperPreferred,B2FemalePreferred,B2FemaleResidual,B2FemaleSmoker
0,4.66,4.66,4.08,4.08,2.98,2.98,2.98,2.98,2.57,2.57,2.57,2.57
1,4.76,4.76,4.15,4.15,3.06,3.06,3.06,3.06,2.63,2.63,2.63,2.63
2,4.86,4.86,4.23,4.23,3.14,3.14,3.14,3.14,2.7,2.7,2.7,2.7
3,4.96,4.96,4.31,4.31,3.23,3.23,3.23,3.23,2.77,2.77,2.77,2.77
4,5.07,5.07,4.39,4.39,3.32,3.32,3.32,3.32,2.84,2.84,2.84,2.84
5,5.19,5.19,4.48,4.48,3.41,3.41,3.41,3.41,2.92,2.92,2.92,2.92
6,5.3,5.3,4.57,4.57,3.51,3.51,3.51,3.51,3,3,3,3
7,5.43,5.43,4.67,4.67,3.61,3.61,3.61,3.61,3.08,3.08,3.08,3.08
8,5.56,5.56,4.77,4.77,3.72,3.72,3.72,3.72,3.16,3.16,3.16,3.16
9,5.69,5.69,4.87,4.87,3.83,3.83,3.83,3.83,3.25,3.25,3.25,3.25
10,5.83,5.83,4.98,4.98,3.94,3.94,3.94,3.94,3.34,3.34,3.34,3.34
11,5.98,5.98,5.09,5.09,4.06,4.06,4.06,4.06,3.44,3.44,3.44,3.44
12,6.13,6.13,5.21,5.21,4.18,4.18,4.18,4.18,3.54,3.54,3.54,3.54
13,6.29,6.29,5.33,5.33,4.31,4.31,4.31,4.31,3.64,3.64,3.64,3.64
14,6.45,6.45,5.45,5.45,4.44,4.44,4.44,4.44,3.75,3.75,3.75,3.75
15,6.62,6.62,5.58,5.58,4.58,4.58,4.58,4.58,3.86,3.86,3.86,3.86
16,6.79,6.79,5.72,5.72,4.72,4.72,4.72,4.72,3.97,3.97,3.97,3.97
17,6.97,6.97,5.85,5.85,4.86,4.86,4.86,4.86,4.09,4.09,4.09,4.09
18,6.59,8.13,6.08,7.41,4.38,4.86,5.38,6.23,4.11,4.47,4.87,5.63
19,6.75,8.36,6.23,7.62,4.51,5,5.54,6.43,4.23,4.61,5.02,5.82
20,6.92,8.59,6.39,7.84,4.64,5.15,5.71,6.64,4.36,4.75,5.18,6.01
21,7.09,8.84,6.55,8.07,4.78,5.3,5.88,6.85,4.49,4.89,5.34,6.22
22,7.27,9.09,6.72,8.31,4.92,5.46,6.06,7.08,4.63,5.05,5.51,6.43
23,7.46,9.36,6.9,8.56,5.07,5.63,6.25,7.32,4.78,5.21,5.69,6.65
24,7.66,9.64,7.09,8.82,5.23,5.81,6.45,7.56,4.93,5.38,5.88,6.88
25,7.86,9.93,7.28,9.09,5.39,5.99,6.65,7.82,5.08,5.55,6.07,7.12
26,8.08,10.24,7.48,9.37,5.56,6.19,6.87,8.09,5.25,5.73,6.27,7.37
27,8.31,10.56,7.7,9.67,5.74,6.39,7.1,8.37,5.42,5.92,6.49,7.63
28,8.55,10.9,7.92,9.98,5.93,6.61,7.34,8.67,5.6,6.12,6.71,7.91
29,8.81,11.25,8.15,10.31,6.13,6.83,7.6,8.98,5.78,6.33,6.94,8.2
30,9.08,11.63,8.39,10.65,6.34,7.07,7.87,9.31,5.97,6.54,7.18,8.5
31,9.36,12.02,8.64,11.01,6.55,7.31,8.15,9.65,6.18,6.77,7.43,8.81
32,9.65,12.43,8.9,11.39,6.78,7.57,8.44,10.01,6.39,7,7.69,9.15
33,9.96,12.86,9.18,11.79,7.02,7.84,8.75,10.39,6.6,7.25,7.97,9.49
34,10.28,13.32,9.46,12.2,7.26,8.12,9.07,10.79,6.83,7.5,8.25,9.85
35,10.61,13.79,9.76,12.63,7.52,8.42,9.4,11.2,7.07,7.77,8.55,10.23
36,10.96,14.29,10.07,13.08,7.78,8.72,9.75,11.63,7.32,8.04,8.86,10.62
37,11.32,14.81,10.39,13.55,8.06,9.04,10.11,12.08,7.57,8.33,9.18,11.03
38,11.7,15.36,10.72,14.04,8.35,9.37,10.49,12.56,7.84,8.63,9.51,11.46
39,12.09,15.93,11.07,14.55,8.65,9.71,10.88,13.05,8.12,8.94,9.86,11.9
40,12.5,16.53,11.43,15.08,8.96,10.07,11.29,13.57,8.41,9.27,10.22,12.37
41,13.18,17.57,12.03,16,9.49,10.67,11.97,14.48,8.89,9.8,10.82,13.18
42,13.64,18.25,12.44,16.61,9.84,11.07,12.43,15.06,9.21,10.17,11.23,13.71
43,14.13,18.95,12.88,17.25,10.21,11.5,12.91,15.67,9.56,10.56,11.67,14.26
44,14.63,19.69,13.34,17.93,10.6,11.94,13.42,16.31,9.92,10.97,12.13,14.85
45,15.17,20.48,13.83,18.65,11.01,12.41,13.96,16.99,10.3,11.4,12.61,15.47
