,15-Year Term,,,,20-Year Term,,,,30-Year Term (20 Yrs Guar),,,,30-Year Term (Fully Guar),,,,Guaranteed YRT,,,
,MN,MT,FN,FT,MN,MT,FN,FT,MN,MT,FN,FT,MN,MT,FN,FT,MN,MT,FN,FT
20,0.03,0.04,0.02,0.03,0.03,0.04,0.02,0.03,0.03,0.05,0.02,0.03,0.03,0.06,0.02,0.04,0.23,0.31,0.11,0.14 
21,0.03,0.04,0.02,0.03,0.03,0.05,0.02,0.03,0.03,0.05,0.02,0.04,0.03,0.06,0.03,0.04,0.23,0.32,0.11,0.15 
22,0.03,0.05,0.02,0.03,0.03,0.05,0.02,0.03,0.03,0.05,0.02,0.04,0.03,0.06,0.03,0.04,0.23,0.34,0.12,0.16 
23,0.03,0.05,0.02,0.04,0.03,0.05,0.02,0.04,0.03,0.06,0.03,0.04,0.04,0.07,0.03,0.05,0.23,0.36,0.12,0.17 
24,0.03,0.06,0.02,0.04,0.03,0.06,0.03,0.04,0.04,0.07,0.03,0.05,0.04,0.08,0.04,0.06,0.23,0.37,0.12,0.18 
25,0.04,0.06,0.03,0.04,0.04,0.07,0.03,0.05,0.04,0.07,0.03,0.06,0.05,0.09,0.04,0.07,0.24,0.40,0.12,0.19 
26,0.04,0.07,0.03,0.05,0.04,0.07,0.03,0.05,0.05,0.08,0.04,0.06,0.05,0.10,0.04,0.08,0.25,0.42,0.13,0.20 
27,0.04,0.08,0.03,0.05,0.04,0.08,0.03,0.06,0.05,0.09,0.04,0.07,0.06,0.11,0.05,0.08,0.25,0.43,0.14,0.21 
28,0.05,0.09,0.03,0.06,0.05,0.09,0.03,0.07,0.05,0.09,0.04,0.07,0.06,0.11,0.05,0.09,0.25,0.43,0.15,0.23 
29,0.05,0.10,0.04,0.07,0.05,0.10,0.04,0.07,0.05,0.09,0.04,0.07,0.06,0.12,0.05,0.09,0.25,0.43,0.15,0.24 
30,0.06,0.11,0.04,0.08,0.05,0.12,0.04,0.08,0.05,0.11,0.04,0.08,0.07,0.14,0.06,0.11,0.24,0.43,0.16,0.26 
31,0.06,0.13,0.05,0.09,0.06,0.13,0.05,0.10,0.06,0.12,0.05,0.09,0.07,0.15,0.06,0.12,0.24,0.43,0.17,0.27 
32,0.07,0.15,0.05,0.11,0.07,0.15,0.05,0.11,0.06,0.13,0.05,0.10,0.08,0.16,0.06,0.13,0.24,0.44,0.18,0.29 
33,0.08,0.17,0.06,0.13,0.08,0.18,0.06,0.13,0.07,0.15,0.06,0.11,0.09,0.18,0.07,0.15,0.25,0.45,0.19,0.32 
34,0.09,0.21,0.07,0.15,0.09,0.21,0.07,0.16,0.07,0.16,0.06,0.12,0.09,0.20,0.08,0.16,0.26,0.47,0.20,0.35 
35,0.11,0.24,0.09,0.18,0.11,0.24,0.08,0.18,0.08,0.17,0.06,0.13,0.10,0.21,0.08,0.17,0.27,0.48,0.22,0.38 
36,0.12,0.28,0.10,0.21,0.12,0.27,0.10,0.21,0.08,0.17,0.07,0.14,0.10,0.22,0.09,0.18,0.28,0.51,0.24,0.41 
37,0.14,0.32,0.11,0.23,0.14,0.31,0.11,0.24,0.09,0.20,0.07,0.15,0.12,0.25,0.10,0.20,0.30,0.55,0.25,0.43 
38,0.15,0.35,0.12,0.26,0.15,0.35,0.12,0.27,0.10,0.21,0.08,0.17,0.13,0.27,0.10,0.22,0.32,0.59,0.26,0.46 
39,0.16,0.39,0.13,0.29,0.17,0.39,0.14,0.30,0.12,0.25,0.09,0.20,0.16,0.32,0.12,0.26,0.33,0.63,0.28,0.49 
40,0.18,0.43,0.15,0.33,0.19,0.44,0.16,0.35,0.13,0.28,0.10,0.22,0.17,0.35,0.14,0.29,0.36,0.68,0.29,0.52 
41,0.20,0.48,0.17,0.37,0.21,0.49,0.18,0.39,0.15,0.32,0.12,0.26,0.20,0.40,0.16,0.33,0.39,0.75,0.31,0.55 
42,0.22,0.53,0.19,0.41,0.23,0.53,0.19,0.43,0.16,0.34,0.13,0.27,0.21,0.42,0.17,0.34,0.43,0.83,0.33,0.60 
43,0.26,0.61,0.22,0.49,0.28,0.63,0.23,0.51,0.21,0.43,0.16,0.35,0.27,0.53,0.21,0.43,0.47,0.92,0.36,0.65 
44,0.29,0.67,0.25,0.54,0.31,0.70,0.26,0.56,0.23,0.48,0.18,0.39,0.31,0.59,0.24,0.48,0.52,1.02,0.39,0.70 
45,0.32,0.75,0.28,0.62,0.34,0.78,0.29,0.63,0.26,0.53,0.21,0.44,0.34,0.65,0.26,0.53,0.70,1.37,0.52,0.94 
46,0.36,0.86,0.31,0.71,0.40,0.89,0.33,0.72,0.30,0.62,0.24,0.51,0.40,0.75,0.30,0.61,1.08,2.10,0.80,1.46 
47,0.42,0.99,0.36,0.82,0.46,1.02,0.37,0.82,0.35,0.71,0.28,0.58,0.46,0.85,0.35,0.70,1.15,2.25,0.88,1.63 
48,0.48,1.14,0.41,0.94,0.53,1.16,0.43,0.93,0.41,0.81,0.32,0.66,0.54,0.97,0.40,0.79,1.22,2.36,0.97,1.83 
49,0.55,1.30,0.46,1.08,0.60,1.31,0.48,1.05,0.46,0.89,0.35,0.73,0.60,1.07,0.45,0.87,1.29,2.51,1.08,2.06 
50,0.61,1.45,0.50,1.20,0.67,1.43,0.53,1.14,0.49,0.95,0.38,0.78,0.65,1.13,0.48,0.91,1.39,2.70,1.19,2.30 
51,0.68,1.54,0.54,1.26,0.74,1.52,0.57,1.20,,,,,,,,,1.52,2.94,1.33,2.56 
52,0.75,1.65,0.58,1.32,0.81,1.62,0.62,1.26,,,,,,,,,1.68,3.24,1.48,2.85 
53,0.82,1.76,0.62,1.39,0.90,1.73,0.66,1.33,,,,,,,,,1.86,3.60,1.63,3.16 
54,0.91,1.88,0.67,1.47,0.99,1.84,0.72,1.39,,,,,,,,,2.09,4.02,1.80,3.49 
55,1.00,2.00,0.72,1.54,1.09,1.96,0.78,1.47,,,,,,,,,2.34,4.48,1.99,3.84 
56,1.09,2.17,0.78,1.64,1.19,2.12,0.85,1.58,,,,,,,,,2.61,4.95,2.19,4.21 
57,1.20,2.35,0.84,1.75,1.31,2.29,0.93,1.69,,,,,,,,,2.87,5.38,2.41,4.59 
58,1.31,2.55,0.91,1.87,1.44,2.48,1.01,1.82,,,,,,,,,3.12,5.80,2.63,4.98 
59,1.43,2.77,0.99,1.99,1.58,2.68,1.10,1.96,,,,,,,,,3.43,6.28,2.86,5.40 
