,YRT,,,
,MRN,MRT,FRN,FRT
20, 2.55 , 2.61 , 0.96 , 0.96 
21, 2.55 , 2.70 , 0.96 , 0.96 
22, 2.49 , 2.79 , 0.96 , 0.99 
23, 2.46 , 2.88 , 0.96 , 1.08 
24, 2.46 , 3.00 , 0.96 , 1.20 
25, 2.37 , 3.03 , 0.96 , 1.20 
26, 2.04 , 3.03 , 0.96 , 1.23 
27, 1.86 , 3.00 , 1.02 , 1.23 
28, 1.80 , 2.94 , 1.11 , 1.29 
29, 1.68 , 2.94 , 1.17 , 1.38 
30, 1.62 , 3.00 , 1.23 , 1.47 
31, 1.74 , 3.15 , 1.29 , 1.59 
32, 1.86 , 3.39 , 1.44 , 1.71 
33, 2.04 , 3.63 , 1.68 , 2.04 
34, 2.37 , 3.90 , 1.95 , 2.46 
35, 2.76 , 4.23 , 2.22 , 2.85 
36, 3.18 , 4.62 , 2.52 , 3.36 
37, 3.60 , 5.07 , 2.76 , 3.90 
38, 3.93 , 5.61 , 2.97 , 4.41 
39, 4.17 , 6.36 , 3.06 , 4.80 
40, 4.38 , 7.14 , 3.09 , 5.16 
41, 4.65 , 7.95 , 3.12 , 5.46 
42, 4.95 , 8.70 , 3.12 , 5.79 
43, 5.25 , 9.36 , 3.12 , 6.12 
44, 5.43 , 9.84 , 3.15 , 6.45 
45, 5.61 , 10.38 , 3.21 , 6.96 
46, 5.82 , 11.04 , 3.33 , 7.62 
47, 6.03 , 11.76 , 3.51 , 8.37 
48, 6.30 , 12.57 , 3.72 , 9.18 
49, 6.60 , 13.47 , 3.99 , 10.08 
50, 6.99 , 14.52 , 4.35 , 11.07 
51, 7.56 , 15.69 , 4.80 , 12.21 
52, 8.28 , 17.04 , 5.34 , 13.41 
53, 9.03 , 18.51 , 6.00 , 14.79 
54, 9.81 , 20.19 , 6.72 , 16.29 
55, 10.56 , 22.11 , 7.41 , 17.97 
56, 11.25 , 24.27 , 8.10 , 19.89 
57, 11.97 , 26.73 , 8.76 , 22.05 
58, 12.75 , 29.52 , 9.48 , 24.45 
59, 13.71 , 32.73 , 10.23 , 27.09 
60, 14.91 , 36.39 , 11.10 , 30.06 
61, 16.50 , 40.59 , 12.15 , 33.36 
62, 18.33 , 45.30 , 13.32 , 36.96 
63, 20.43 , 50.46 , 14.67 , 40.92 
64, 22.71 , 56.16 , 16.11 , 45.21 
65, 25.17 , 62.37 , 17.70 , 49.86 
66, 27.78 , 68.94 , 19.41 , 54.84 
67, 30.66 , 75.81 , 21.24 , 60.15 
68, 33.87 , 83.19 , 23.28 , 65.70 
69, 37.59 , 91.29 , 25.65 , 71.67 
70, 42.00 , 100.44 , 28.41 , 78.30 
71, 47.22 , 110.82 , 31.68 , 85.17 
72, 53.37 , 122.28 , 35.52 , 92.28 
73, 60.45 , 134.61 , 39.99 , 100.02 
74, 68.46 , 147.39 , 45.18 , 108.54 
75, 77.28 , 160.23 , 51.15 , 117.96 
76, 86.97 , 172.89 , 57.99 , 128.43 
77, 97.68 , 185.49 , 65.94 , 140.01 
78, 109.71 , 198.36 , 75.33 , 152.79 
79, 123.51 , 212.01 , 86.64 , 168.36 
80, 139.53 , 226.86 , 99.99 , 187.95 
81, 157.83 , 242.64 , 114.24 , 210.75 
82, 178.77 , 262.77 , 129.00 , 236.46 
83, 203.04 , 288.99 , 145.95 , 263.94 
84, 231.24 , 318.72 , 169.32 , 290.40 
85, 263.91 , 352.47 , 196.17 , 322.32 
86, 301.56 , 390.36 , 222.81 , 359.73 
87, 344.46 , 432.27 , 253.38 , 396.39 
88, 391.95 , 477.18 , 288.24 , 435.87 
89, 443.01 , 523.83 , 326.67 , 477.48 
90, 496.47 , 571.11 , 368.22 , 520.08 
91, 550.68 , 617.52 , 412.89 , 563.37 
92, 604.62 , 662.40 , 461.22 , 607.77 
93, 656.79 , 704.73 , 511.71 , 651.06 
94, 704.73 , 742.53 , 564.15 , 692.73 
95, 754.80 , 782.79 , 624.45 , 739.53 
