payee_rela_code,payee_sequence,row_count,distinct_policy_count,total_amount,transaction_codes_observed,earliest_effective_date,latest_effective_date
,0,395686,4627,62217639.93,1020|11|110|1110|1111|112|113|115|12|126|13|150|2|20|21|210|220|254|256|310|37|38|39|411|412|413|43|44|45|451|46|47|49|50|514|515|516|517|520|530|560|561|562|564|565|580|61|610|62|620|630|641|710|715|90|91|92|94|96,20040326,50500904
PE,1,1722,1721,15290115.28,12|13|210|37|38|90|91|92|94|95|96,20051003,20260413
PE,2,820,817,6083468.21,12|13|37|38|90|91|92|94,20180101,20260403
PE,3,371,370,2181265.97,12|13|20|254|37|38|90|91|92|94,20180101,20260421
PE,4,193,193,831028.99,12|13|37|38|90|91|92|94,20180107,20260324
PE,5,99,99,335177.43,12|13|37|38|90|91|92|94,20180107,20250911
PE,6,61,61,211170.59,12|13|20|37|38|90|91|92|94,20180105,20251017
PE,7,34,34,185175.98,12|13|37|38|90|91|92|94,20180107,20241223
PE,8,24,24,59951.42,12|13|37|38|90|91|92|94,20180130,20240926
PE,9,11,11,56508.7,12|13|38|90|92|94,20180613,20260109
PE,10,6,6,7801.49,12|13|38|90|92|94,20180921,20230321
PE,17,5,5,874.43,12|37|90|91,20180202,20200609
PE,18,5,5,4200.28,12|37|38|90|91|94,20190621,20241119
PE,11,4,4,5973.94,12|13|37|38|90|91|92|94,20180629,20200720
PE,12,3,3,3512.46,12|37|38|90|91|94,20190305,20201005
PE,13,3,3,4012.46,12|37|38|90|91|94,20190612,20240402
PE,14,2,2,1512.46,12|38|90|94,20190911,20200720
PE,15,2,2,1512.45,12|38|90|94,20200109,20200720
PE,19,2,2,7491.71,12|38|90|94,20201126,20241213
PE,20,2,2,4269.83,12|38|90|94,20201126,20250103
PE,16,1,1,9.72,12|90,20200313,20200313
PE,21,1,1,1520.65,38|94,20200514,20200514
PE,22,1,1,1520.66,38|94,20200514,20200514
