policy_number,relationship_count,insured_count,beneficiary_count,payee_count,owner_count,trustee_count,assignee_count,custodian_count,distinct_relate_codes,likely_primary_relationship,possible_conflict_flag
9010149834,12,1,3,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010150740,9,1,4,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010150910,12,1,4,4,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010154425,7,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010185592,6,1,1,1,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010235370,14,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010264207,14,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010331157,14,1,5,5,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010335038,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010335095,8,1,3,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010346921,8,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010348734,9,1,2,2,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010360289,7,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010360290,7,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010363098,8,2,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010367438,30,4,8,6,4,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
9010367705,8,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010368703,18,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010371171,18,2,6,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010373918,14,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010374779,16,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010376522,6,1,1,1,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010376529,18,2,4,4,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010376540,16,2,2,4,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
