policy_number,name_id,relationship_roles,role_count,individual_or_business,overlap_type,potential_resolution_risk
9010511240,627639,AS|B1|PE,3,BUSINESS,ASSIGNEE_BENEFICIARY_CONFLICT|BENEFICIARY_PAYEE_SAME,HIGH
9010744412,708226,AS|B1|PE,3,BUSINESS,ASSIGNEE_BENEFICIARY_CONFLICT|BENEFICIARY_PAYEE_SAME,HIGH
9010794518,627639,AS|B1|PE,3,BUSINESS,ASSIGNEE_BENEFICIARY_CONFLICT|BENEFICIARY_PAYEE_SAME,HIGH
9010795618,680517,B1|PW|TR,3,INDIVIDUAL,POA_BENEFICIARY_SAME|TRUSTEE_BENEFICIARY_SAME,HIGH
9010811059,627639,AS|B1|PE,3,BUSINESS,ASSIGNEE_BENEFICIARY_CONFLICT|BENEFICIARY_PAYEE_SAME,HIGH
9010812079,709986,AS|PE|PO,3,BUSINESS,ASSIGNEE_OWNER_CONFLICT,HIGH
9010909767,680603,AS|B1|PE,3,BUSINESS,ASSIGNEE_BENEFICIARY_CONFLICT|BENEFICIARY_PAYEE_SAME,HIGH
9011069093,708226,AS|B1|PE,3,BUSINESS,ASSIGNEE_BENEFICIARY_CONFLICT|BENEFICIARY_PAYEE_SAME,HIGH
9015000341,706475,AS|B1|PE,3,BUSINESS,ASSIGNEE_BENEFICIARY_CONFLICT|BENEFICIARY_PAYEE_SAME,HIGH
9010756938,712085,AS|B1,2,BUSINESS,ASSIGNEE_BENEFICIARY_CONFLICT,HIGH
9010769198,707570,AS|B1,2,INDIVIDUAL,ASSIGNEE_BENEFICIARY_CONFLICT,HIGH
9010787560,623622,AS|B1,2,BUSINESS,ASSIGNEE_BENEFICIARY_CONFLICT,HIGH
9011108310,708222,AS|B1,2,BUSINESS,ASSIGNEE_BENEFICIARY_CONFLICT,HIGH
901FG8563,692526,B1|IN|ML|PA|PE|PO,6,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010442230,588768,B1|IN|PA|PE|PO,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010473137,702950,B1|PA|PE|PO|PW,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|POA_BENEFICIARY_SAME,MEDIUM
9010741943,691142,B1|PA|PE|PO|PW,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|POA_BENEFICIARY_SAME,MEDIUM
9010764834,598783,B1|IN|PA|PE|PO,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010766554,32303,IN|PA|PE|PO|SA,5,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9011064372,592140,B1|IN|PA|PE|PO,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9011126217,593364,IN|PA|PE|PO|TR,5,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9011159295,221912,B1|IN|PA|PE|PO,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
