reconstructed_claim_id,settlement_chain_id,lifecycle_event_count,first_activity_date,last_activity_date,settlement_duration_days,payout_detected_flag,offset_detected_flag,withholding_detected_flag,interest_detected_flag,settlement_completion_status,chain_confidence_level
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,RC-9010149834-1-SURRENDER_CLAIM-C0-20180302-SC1,1,20180302,20180302,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010150740-1-DEATH_CLAIM-C0-20230509,RC-9010150740-1-DEATH_CLAIM-C0-20230509-SC1,5,20230509,20230509,0,Y,N,N,N,COMPLETE,HIGH
RC-9010150910-1-DEATH_CLAIM-C0-20200423,RC-9010150910-1-DEATH_CLAIM-C0-20200423-SC1,7,20200423,20200423,0,Y,N,N,N,COMPLETE,HIGH
RC-9010150910-3-DEATH_CLAIM-C0-20200423,RC-9010150910-3-DEATH_CLAIM-C0-20200423-SC1,1,20200423,20200423,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203-SC1,2,20201203,20201203,0,Y,N,N,N,COMPLETE,HIGH
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,RC-9010185592-1-SURRENDER_CLAIM-C0-20191211-SC1,2,20191211,20191211,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902-SC1,2,20210902,20210902,0,Y,N,N,N,COMPLETE,HIGH
RC-9010331157-1-DEATH_CLAIM-C0-20190315,RC-9010331157-1-DEATH_CLAIM-C0-20190315-SC1,10,20190315,20190315,0,Y,N,N,Y,COMPLETE,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,RC-9010331768-1-SURRENDER_CLAIM-C0-20180724-SC1,3,20180724,20180824,31,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,RC-9010331768-1-SURRENDER_CLAIM-C1-20190724-SC1,3,20190724,20190731,7,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,RC-9010331768-1-SURRENDER_CLAIM-C2-20200724-SC1,3,20200724,20200727,3,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,RC-9010331768-1-SURRENDER_CLAIM-C3-20210724-SC1,3,20210724,20210817,24,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,RC-9010331768-1-SURRENDER_CLAIM-C4-20220724-SC1,3,20220724,20220726,2,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,RC-9010331768-1-SURRENDER_CLAIM-C5-20230721-SC1,3,20230721,20230724,3,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,RC-9010331768-1-SURRENDER_CLAIM-C6-20240724-SC1,3,20240724,20240731,7,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,RC-9010331768-1-SURRENDER_CLAIM-C7-20250724-SC1,3,20250724,20250725,1,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010335038-1-DEATH_CLAIM-C0-20180422,RC-9010335038-1-DEATH_CLAIM-C0-20180422-SC1,5,20180422,20180422,0,Y,N,N,N,COMPLETE,HIGH
RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126-SC1,2,20191126,20191126,0,Y,N,N,N,COMPLETE,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,RC-9010346921-1-SURRENDER_CLAIM-C0-20181118-SC1,1,20181118,20181118,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,RC-9010346921-1-SURRENDER_CLAIM-C1-20191118-SC1,3,20191118,20191202,14,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,RC-9010346921-1-SURRENDER_CLAIM-C2-20201118-SC1,3,20201118,20201123,5,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,RC-9010346921-1-SURRENDER_CLAIM-C3-20211118-SC1,1,20211118,20211118,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,RC-9010346921-1-SURRENDER_CLAIM-C4-20221118-SC1,3,20221118,20221205,17,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,RC-9010346921-1-SURRENDER_CLAIM-C5-20230221-SC1,2,20230221,20230221,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,RC-9010346921-1-SURRENDER_CLAIM-C6-20231118-SC1,3,20231118,20240111,54,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,RC-9010346921-1-SURRENDER_CLAIM-C7-20241118-SC1,3,20241118,20241218,30,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,RC-9010346921-1-SURRENDER_CLAIM-C8-20251118-SC1,3,20251118,20251230,42,N,Y,N,N,INCOMPLETE,MEDIUM
