reconstructed_claim_id,canonical_payment_stage_id,mresidual_candidate,residual_type,residual_reason,balancing_status,derivation_status,derivation_confidence
RC-9010150740-1-DEATH_CLAIM-C0-20230509,CPS-RC-9010150740-1-DEATH_CLAIM-C0-20230509-P1,-1713.59,PAYOUT_EXCESS_RESIDUAL,CLEARING_ONLY_DISTORTION,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P1,-134.57,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P2,-134.57,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P3,-134.57,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P4,-134.57,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P1,-9256.93,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P2,-9256.93,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P3,-9256.93,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P4,-9256.93,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P5,-9256.93,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010335038-1-DEATH_CLAIM-C0-20180422,CPS-RC-9010335038-1-DEATH_CLAIM-C0-20180422-P1,-6777.05,PAYOUT_EXCESS_RESIDUAL,CLEARING_ONLY_DISTORTION,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010363098-1-DEATH_CLAIM-C0-20220917,CPS-RC-9010363098-1-DEATH_CLAIM-C0-20220917-P1,-2770.08,PAYOUT_EXCESS_RESIDUAL,PARTIAL_DECOMPOSITION,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010367438-1-DEATH_CLAIM-C0-20211110,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P3,-889.37,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010367438-1-DEATH_CLAIM-C0-20211110,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P2,-889.37,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010367438-1-DEATH_CLAIM-C0-20211110,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P1,-889.37,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010368703-1-DEATH_CLAIM-C0-20210114,CPS-RC-9010368703-1-DEATH_CLAIM-C0-20210114-P1,-6025.67,PAYOUT_EXCESS_RESIDUAL,PARTIAL_DECOMPOSITION,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010371171-1-DEATH_CLAIM-C0-20240624,CPS-RC-9010371171-1-DEATH_CLAIM-C0-20240624-P1,-6404.01,PAYOUT_EXCESS_RESIDUAL,PARTIAL_DECOMPOSITION,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010374779-1-DEATH_CLAIM-C0-20200530,CPS-RC-9010374779-1-DEATH_CLAIM-C0-20200530-P1,-4005.43,PAYOUT_EXCESS_RESIDUAL,PARTIAL_DECOMPOSITION,UNBALANCED,RESIDUAL_PENDING,HIGH_CONFIDENCE
RC-9010376540-1-DEATH_CLAIM-C0-20181014,CPS-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P1,-1697.22,PAYOUT_EXCESS_RESIDUAL,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,RESIDUAL_PENDING,MODERATE_CONFIDENCE
