reconstructed_claim_id,policy_number,claim_family,reconstructed_lifecycle_status,mclaimstatus_candidate,claimstat_candidate,derivation_status,derivation_confidence
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,9010149834,SURRENDER_CLAIM,FUNDED,FUNDED,1,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,DEATH_CLAIM,SETTLED,SETTLED,3,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,DEATH_CLAIM,SETTLED,SETTLED,3,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,DEATH_CLAIM,FUNDED,FUNDED,1,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,9010154425,DISBURSEMENT_CLAIM,PAID,PAID,2,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,9010185592,SURRENDER_CLAIM,FUNDED,FUNDED,1,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,9010235370,DISBURSEMENT_CLAIM,PAID,PAID,2,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,DEATH_CLAIM,SETTLED,SETTLED,3,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,9010331768,SURRENDER_CLAIM,INFERRED,INFERRED,99,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,9010331768,SURRENDER_CLAIM,INFERRED,INFERRED,99,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,9010331768,SURRENDER_CLAIM,INFERRED,INFERRED,99,RULEBOOK_READY,HIGH_CONFIDENCE
