reconstructed_claim_id,claim_family,mgrossamt_candidate,mnetamt_candidate,mpaid_candidate,mintamt_candidate,mfedtax_candidate,mloan_candidate,mbalancingstatus,revised_balancing_difference,derivation_status,derivation_confidence
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,SURRENDER_CLAIM,0.0,831.92,831.92,0.0,0.0,0.0,UNBALANCED,831.92,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010150740-1-DEATH_CLAIM-C0-20230509,DEATH_CLAIM,1500.0,1500.0,3213.59,0.0,0.0,0.0,UNBALANCED,-1713.59,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,DEATH_CLAIM,1000.0,1000.0,1134.57,0.0,0.0,0.0,UNBALANCED,-134.57,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010150910-3-DEATH_CLAIM-C0-20200423,DEATH_CLAIM,127.52,127.52,127.52,0.0,0.0,0.0,UNBALANCED,127.52,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,DISBURSEMENT_CLAIM,0.0,2107.95,0.0,0.0,0.0,0.0,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,SURRENDER_CLAIM,0.0,851.9,851.9,0.0,0.0,0.0,UNBALANCED,851.9,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,DISBURSEMENT_CLAIM,0.0,3517.03,0.0,0.0,0.0,0.0,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,DEATH_CLAIM,10000.0,10189.69,19446.62,189.69,0.0,0.0,UNBALANCED,-9256.93,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,SURRENDER_CLAIM,0.0,0.0,0.0,602.44,0.0,602.44,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,SURRENDER_CLAIM,0.0,0.0,0.0,629.65,0.0,629.65,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,SURRENDER_CLAIM,0.0,0.0,0.0,634.15,0.0,634.15,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,SURRENDER_CLAIM,0.0,0.0,0.0,610.51,0.0,610.51,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,SURRENDER_CLAIM,0.0,0.0,0.0,635.4,0.0,635.4,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,SURRENDER_CLAIM,0.0,0.0,0.0,202.33,0.0,202.33,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,SURRENDER_CLAIM,0.0,0.0,0.0,603.83,0.0,603.83,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,SURRENDER_CLAIM,0.0,0.0,0.0,589.3,0.0,589.3,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010335038-1-DEATH_CLAIM-C0-20180422,DEATH_CLAIM,5000.0,5000.0,11777.05,0.0,0.0,0.0,UNBALANCED,-6777.05,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,DISBURSEMENT_CLAIM,0.0,2474.02,0.0,0.0,0.0,0.0,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,SURRENDER_CLAIM,0.0,0.0,0.0,70.9,0.0,70.9,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,SURRENDER_CLAIM,0.0,0.0,0.0,214.74,0.0,214.74,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,SURRENDER_CLAIM,0.0,0.0,0.0,218.24,0.0,218.24,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,SURRENDER_CLAIM,0.0,0.0,0.0,74.64,0.0,74.64,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,SURRENDER_CLAIM,0.0,0.0,0.0,224.83,0.0,224.83,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,SURRENDER_CLAIM,0.0,0.0,0.0,109.78,0.0,109.78,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,SURRENDER_CLAIM,0.0,0.0,0.0,204.43,0.0,204.43,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,SURRENDER_CLAIM,0.0,0.0,0.0,213.9,0.0,213.9,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,SURRENDER_CLAIM,0.0,0.0,0.0,208.75,0.0,208.75,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,DISBURSEMENT_CLAIM,0.0,56.85,0.0,0.0,0.0,0.0,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,SURRENDER_CLAIM,0.0,3129.06,3129.06,0.0,0.0,0.0,UNBALANCED,3129.06,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,SURRENDER_CLAIM,0.0,3104.07,3104.07,0.0,0.0,0.0,UNBALANCED,3104.07,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010363098-1-DEATH_CLAIM-C0-20220917,DEATH_CLAIM,5000.0,5000.0,7770.08,0.0,0.0,0.0,UNBALANCED,-2770.08,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,SURRENDER_CLAIM,0.0,0.0,0.0,258.25,0.0,258.25,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010363098-5-DEATH_CLAIM-C0-20220917,DEATH_CLAIM,2765.73,2765.73,2765.73,0.0,0.0,0.0,UNBALANCED,2765.73,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010367438-1-DEATH_CLAIM-C0-20211110,DEATH_CLAIM,3580.0,3580.0,4469.37,0.0,0.0,0.0,UNBALANCED,-889.37,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,SURRENDER_CLAIM,0.0,0.0,0.0,74.67,0.0,74.67,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,SURRENDER_CLAIM,0.0,0.0,0.0,77.32,0.0,77.32,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,SURRENDER_CLAIM,0.0,0.0,0.0,81.39,0.0,81.39,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,SURRENDER_CLAIM,0.0,0.0,0.0,403.33,0.0,403.33,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,SURRENDER_CLAIM,0.0,0.0,0.0,52.45,0.0,52.45,BALANCED,0.0,RULEBOOK_READY,HIGH_CONFIDENCE
RC-9010367438-2-DEATH_CLAIM-C0-20211110,DEATH_CLAIM,2464.99,2464.99,2464.99,0.0,0.0,0.0,UNBALANCED,2464.99,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,SURRENDER_CLAIM,0.0,3043.61,3043.61,0.0,0.0,0.0,UNBALANCED,3043.61,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010368703-1-DEATH_CLAIM-C0-20210114,DEATH_CLAIM,6865.0,6865.0,12890.67,0.0,0.0,0.0,UNBALANCED,-6025.67,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
