reconstructed_claim_id,policy_number,claim_family,mpaycount_candidate,mpaid_candidate,total_canonical_payments,rulebook_ready_payments,max_payout_date,derivation_status
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,9010149834,SURRENDER_CLAIM,1,831.92,1,0,,NEEDS_MANUAL_REVIEW
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,DEATH_CLAIM,1,3213.59,1,1,20230509,NEEDS_MANUAL_REVIEW
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,DEATH_CLAIM,4,1134.57,4,4,20200423,NEEDS_MANUAL_REVIEW
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,DEATH_CLAIM,1,127.52,1,0,,NEEDS_MANUAL_REVIEW
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,9010154425,DISBURSEMENT_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,9010185592,SURRENDER_CLAIM,1,851.9,1,0,,NEEDS_MANUAL_REVIEW
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,9010235370,DISBURSEMENT_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,DEATH_CLAIM,5,19446.62,5,5,20190315,NEEDS_MANUAL_REVIEW
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,9010331768,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,9010331768,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,9010331768,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,9010331768,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,9010331768,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,9010331768,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,9010331768,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,9010331768,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,DEATH_CLAIM,1,11777.05,1,1,20180422,NEEDS_MANUAL_REVIEW
RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,9010335095,DISBURSEMENT_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,9010346921,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,9010346921,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,9010346921,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,9010346921,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,9010346921,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,9010346921,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,9010346921,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,9010346921,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,9010346921,SURRENDER_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,9010348734,DISBURSEMENT_CLAIM,0,0.0,0,0,,RULEBOOK_READY
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,9010360289,SURRENDER_CLAIM,1,3129.06,1,0,,NEEDS_MANUAL_REVIEW
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,9010360290,SURRENDER_CLAIM,1,3104.07,1,0,,NEEDS_MANUAL_REVIEW
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,DEATH_CLAIM,1,7770.08,1,1,20220917,NEEDS_MANUAL_REVIEW
