prototype_claimnum,reconstructed_claim_id,policy_number,claim_family,quikclms_mpaid,quikclmp_sum_mamount,mpaid_variance,mnetamt,net_payment_variance,quikclms_mpaycount,quikclmp_payment_count,payment_count_match,amount_reconciliation,mresidual,residual_preserved,reconciliation_status
CLM0000001,RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,9010154425,DISBURSEMENT_CLAIM,0.0,0.0,0.0,2107.95,,0,0,Y,PASS,0.0,N,PASS
CLM0000002,RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,9010235370,DISBURSEMENT_CLAIM,0.0,0.0,0.0,3517.03,,0,0,Y,PASS,0.0,N,PASS
CLM0000003,RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,9010331768,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000004,RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,9010331768,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000005,RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,9010331768,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000006,RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,9010331768,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000007,RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,9010331768,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000008,RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,9010331768,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000009,RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,9010331768,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000010,RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,9010331768,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000011,RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,9010335095,DISBURSEMENT_CLAIM,0.0,0.0,0.0,2474.02,,0,0,Y,PASS,0.0,N,PASS
CLM0000012,RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,9010346921,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000013,RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,9010346921,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000014,RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,9010346921,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000015,RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,9010346921,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000016,RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,9010346921,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000017,RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,9010346921,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000018,RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,9010346921,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000019,RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,9010346921,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000020,RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,9010346921,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000021,RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,9010348734,DISBURSEMENT_CLAIM,0.0,0.0,0.0,56.85,,0,0,Y,PASS,0.0,N,PASS
CLM0000022,RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,9010363098,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000023,RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,9010367438,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000024,RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,9010367438,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000025,RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,9010367438,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000026,RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,9010367438,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
CLM0000027,RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,9010367438,SURRENDER_CLAIM,0.0,0.0,0.0,0.0,,0,0,Y,PASS,0.0,N,PASS
