generation_status,prototype_claimnum,reconstructed_claim_id,derivation_candidate_id,enhanced_settlement_group_id,claim_family,derivation_confidence,target_table,production_dbf_flag,record_type,canonical_payment_stage_id,rejection_reason
ACCEPTED,CLM0000001,RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,QDC-RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,ESG-9010154425-RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203-SOLO,DISBURSEMENT_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000002,RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,QDC-RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,ESG-9010235370-RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902-SOLO,DISBURSEMENT_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000003,RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C0-20180724-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000004,RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C1-20190724-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000005,RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C2-20200724-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000006,RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C3-20210724-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000007,RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C4-20220724-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000008,RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,QDC-RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C5-20230721-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000009,RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C6-20240724-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000010,RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C7-20250724-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000011,RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,QDC-RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,ESG-9010335095-RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126-SOLO,DISBURSEMENT_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000012,RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C0-20181118-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000013,RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C1-20191118-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000014,RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C2-20201118-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000015,RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C3-20211118-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000016,RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C4-20221118-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000017,RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,QDC-RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C5-20230221-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000018,RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C6-20231118-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000019,RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C7-20241118-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000020,RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C8-20251118-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000021,RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,QDC-RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,ESG-9010348734-RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124-SOLO,DISBURSEMENT_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000022,RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,QDC-RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,ESG-9010363098-RC-9010363098-1-SURRENDER_CLAIM-C0-20180201-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000023,RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,QDC-RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,ESG-9010367438-RC-9010367438-1-SURRENDER_CLAIM-C0-20180628-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000024,RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,QDC-RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,ESG-9010367438-RC-9010367438-1-SURRENDER_CLAIM-C1-20190701-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000025,RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,QDC-RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,ESG-9010367438-RC-9010367438-1-SURRENDER_CLAIM-C2-20200701-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000026,RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,QDC-RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,ESG-9010367438-RC-9010367438-1-SURRENDER_CLAIM-C3-20210701-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000027,RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,QDC-RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,ESG-9010367438-RC-9010367438-1-SURRENDER_CLAIM-C4-20211110-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000028,RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,QDC-RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,ESG-9010376522-RC-9010376522-1-SURRENDER_CLAIM-C0-20181006-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000029,RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,QDC-RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,ESG-9010376522-RC-9010376522-1-SURRENDER_CLAIM-C1-20191006-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000030,RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,QDC-RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,ESG-9010376522-RC-9010376522-1-SURRENDER_CLAIM-C2-20201006-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000031,RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,QDC-RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,ESG-9010376529-RC-9010376529-1-SURRENDER_CLAIM-C0-20180914-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000032,RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C0-20181113-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000033,RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C1-20191113-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000034,RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C2-20201113-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
