derivation_candidate_id,canonical_payment_stage_id,reconstructed_claim_id,prototype_claimnum,mpolicy,mseq,mamount,orphan_issues,is_orphan
QDC-CPS-RC-9010150740-1-DEATH_CLAIM-C0-20230509-P1,CPS-RC-9010150740-1-DEATH_CLAIM-C0-20230509-P1,RC-9010150740-1-DEATH_CLAIM-C0-20230509,,9010150740,1,3213.59,MISSING_CLAIM_HEADER,Y
QDC-CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P1,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P1,RC-9010150910-1-DEATH_CLAIM-C0-20200423,,9010150910,1,283.65,MISSING_CLAIM_HEADER,Y
QDC-CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P2,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P2,RC-9010150910-1-DEATH_CLAIM-C0-20200423,,9010150910,2,283.64,MISSING_CLAIM_HEADER,Y
QDC-CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P3,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P3,RC-9010150910-1-DEATH_CLAIM-C0-20200423,,9010150910,3,283.64,MISSING_CLAIM_HEADER,Y
QDC-CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P4,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P4,RC-9010150910-1-DEATH_CLAIM-C0-20200423,,9010150910,4,283.64,MISSING_CLAIM_HEADER,Y
QDC-CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P1,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P1,RC-9010331157-1-DEATH_CLAIM-C0-20190315,,9010331157,1,3889.33,MISSING_CLAIM_HEADER,Y
QDC-CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P2,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P2,RC-9010331157-1-DEATH_CLAIM-C0-20190315,,9010331157,2,3889.33,MISSING_CLAIM_HEADER,Y
QDC-CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P3,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P3,RC-9010331157-1-DEATH_CLAIM-C0-20190315,,9010331157,3,3889.32,MISSING_CLAIM_HEADER,Y
QDC-CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P4,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P4,RC-9010331157-1-DEATH_CLAIM-C0-20190315,,9010331157,4,3889.32,MISSING_CLAIM_HEADER,Y
QDC-CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P5,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P5,RC-9010331157-1-DEATH_CLAIM-C0-20190315,,9010331157,5,3889.32,MISSING_CLAIM_HEADER,Y
