metric_group,metric_name,metric_value,governance_status
ACCEPTED,prototype_claims,5182.0,AUTO_APPROVED
ACCEPTED,prototype_payments,1910.0,AUTO_APPROVED
REJECTED_CLAIMS,UNBALANCED,4995.0,BUSINESS_REVIEW_REQUIRED
REJECTED_PAYMENTS,GATING_FAILURE,60.0,QA_REVIEW_REQUIRED
REJECTED_PAYMENTS,TRUSTEE_ROUTING,243.0,NEEDS_RULE_REFINEMENT
REJECTED_PAYMENTS,INFERRED_PAYEE,87.0,BUSINESS_REVIEW_REQUIRED
ORPHAN_PAYMENTS,MISSING_CLAIM_HEADER,743.0,PRODUCTION_BLOCKED
DUPLICATE_MSEQ,LEGITIMATE_MULTI_PAYEE,52.0,NEEDS_RULE_REFINEMENT
RECONCILIATION_FAILURE,PAYMENT_COUNT_MISMATCH,181.0,QA_REVIEW_REQUIRED
RECONCILIATION_FAILURE,NET_BALANCING_VARIANCE,458.0,QA_REVIEW_REQUIRED
ORPHAN_RECOVERABILITY,recoverable_pct,100.0,QA_REVIEW_REQUIRED
