mpolicy,mseq,duplicate_count,classification,sequence_collision_risk,severity,remediability,governance_status,recommended_remediation,production_numbering_risk,production_dbf_flag
9010376540,1,2,LEGITIMATE_MULTI_PAYEE,LOW,MEDIUM,PARTIALLY_RECOVERABLE,NEEDS_RULE_REFINEMENT,Review MSEQ derivation per claim; ensure sequence uniqueness within MPOLICY+MPHASE scope,N,N
9010385491,1,2,LEGITIMATE_MULTI_PAYEE,LOW,MEDIUM,PARTIALLY_RECOVERABLE,NEEDS_RULE_REFINEMENT,Review MSEQ derivation per claim; ensure sequence uniqueness within MPOLICY+MPHASE scope,N,N
9010434747,1,2,LEGITIMATE_MULTI_PAYEE,LOW,MEDIUM,PARTIALLY_RECOVERABLE,NEEDS_RULE_REFINEMENT,Review MSEQ derivation per claim; ensure sequence uniqueness within MPOLICY+MPHASE scope,N,N
9010434747,2,2,LEGITIMATE_MULTI_PAYEE,LOW,MEDIUM,PARTIALLY_RECOVERABLE,NEEDS_RULE_REFINEMENT,Review MSEQ derivation per claim; ensure sequence uniqueness within MPOLICY+MPHASE scope,N,N
9010434747,3,2,LEGITIMATE_MULTI_PAYEE,LOW,MEDIUM,PARTIALLY_RECOVERABLE,NEEDS_RULE_REFINEMENT,Review MSEQ derivation per claim; ensure sequence uniqueness within MPOLICY+MPHASE scope,N,N
9010434747,4,2,LEGITIMATE_MULTI_PAYEE,LOW,MEDIUM,PARTIALLY_RECOVERABLE,NEEDS_RULE_REFINEMENT,Review MSEQ derivation per claim; ensure sequence uniqueness within MPOLICY+MPHASE scope,N,N
9010454002,1,2,LEGITIMATE_MULTI_PAYEE,LOW,MEDIUM,PARTIALLY_RECOVERABLE,NEEDS_RULE_REFINEMENT,Review MSEQ derivation per claim; ensure sequence uniqueness within MPOLICY+MPHASE scope,N,N
9010469430,1,2,LEGITIMATE_MULTI_PAYEE,LOW,MEDIUM,PARTIALLY_RECOVERABLE,NEEDS_RULE_REFINEMENT,Review MSEQ derivation per claim; ensure sequence uniqueness within MPOLICY+MPHASE scope,N,N
9010764834,1,2,LEGITIMATE_MULTI_PAYEE,LOW,MEDIUM,PARTIALLY_RECOVERABLE,NEEDS_RULE_REFINEMENT,Review MSEQ derivation per claim; ensure sequence uniqueness within MPOLICY+MPHASE scope,N,N
9010768069,1,3,LEGITIMATE_MULTI_PAYEE,LOW,MEDIUM,PARTIALLY_RECOVERABLE,NEEDS_RULE_REFINEMENT,Review MSEQ derivation per claim; ensure sequence uniqueness within MPOLICY+MPHASE scope,N,N
