audit_timestamp,reconstructed_claim_id,derivation_candidate_id,enhanced_settlement_group_id,claim_family,applied_balancing_profile,revised_balancing_status,revised_balancing_difference,balancing_confidence,balancing_notes,excluded_transaction_codes,optional_components_missing,root_cause,production_dbf_flag,failure_pattern,severity,remediability,governance_status,recommended_remediation,replay_simulation_eligible,balancing_difference_abs,lifecycle_only_excluded
2026-05-24T19:18:38Z,RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,QDC-RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,831.92,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,831.92,0.0
2026-05-24T19:18:38Z,RC-9010150740-1-DEATH_CLAIM-C0-20230509,QDC-RC-9010150740-1-DEATH_CLAIM-C0-20230509,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-1713.59,LOW,Excluded lifecycle-only amount 1713.59; Optional components absent (not forced),0038,0810|0820|0411|0412|1020|0630,UNBALANCED,N,LIFECYCLE_EXCLUSION_GAP,MEDIUM,RECOVERABLE,SAFE_TO_REPROCESS,Validate lifecycle-only exclusion (0038) handling in balancing replay,N,1713.59,1713.59
2026-05-24T19:18:38Z,RC-9010150910-1-DEATH_CLAIM-C0-20200423,QDC-RC-9010150910-1-DEATH_CLAIM-C0-20200423,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-134.57,LOW,Excluded lifecycle-only amount 7.05; Optional components absent (not forced),0038,0810|0820|0411|0412|1020|0630,UNBALANCED,N,LIFECYCLE_EXCLUSION_GAP,MEDIUM,RECOVERABLE,SAFE_TO_REPROCESS,Validate lifecycle-only exclusion (0038) handling in balancing replay,N,134.57,7.05
2026-05-24T19:18:38Z,RC-9010150910-3-DEATH_CLAIM-C0-20200423,QDC-RC-9010150910-3-DEATH_CLAIM-C0-20200423,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,127.52,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,127.52,0.0
2026-05-24T19:18:38Z,RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,QDC-RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,851.9,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,851.9,0.0
2026-05-24T19:18:38Z,RC-9010331157-1-DEATH_CLAIM-C0-20190315,QDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-9256.93,LOW,Excluded lifecycle-only amount 9256.93; Optional components absent (not forced),0038,0810|0820|0411|0412|1020,UNBALANCED,N,LIFECYCLE_EXCLUSION_GAP,MEDIUM,RECOVERABLE,SAFE_TO_REPROCESS,Validate lifecycle-only exclusion (0038) handling in balancing replay,N,9256.93,9256.93
2026-05-24T19:18:38Z,RC-9010335038-1-DEATH_CLAIM-C0-20180422,QDC-RC-9010335038-1-DEATH_CLAIM-C0-20180422,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-6777.05,LOW,Excluded lifecycle-only amount 6777.05; Optional components absent (not forced),0038,0810|0820|0411|0412|1020|0630,UNBALANCED,N,LIFECYCLE_EXCLUSION_GAP,MEDIUM,RECOVERABLE,SAFE_TO_REPROCESS,Validate lifecycle-only exclusion (0038) handling in balancing replay,N,6777.05,6777.05
2026-05-24T19:18:38Z,RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,QDC-RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,3129.06,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,3129.06,0.0
2026-05-24T19:18:38Z,RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,QDC-RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,3104.07,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,3104.07,0.0
2026-05-24T19:18:38Z,RC-9010363098-1-DEATH_CLAIM-C0-20220917,QDC-RC-9010363098-1-DEATH_CLAIM-C0-20220917,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-2770.08,LOW,Excluded lifecycle-only amount 4.35; Optional components absent (not forced),0038,0810|0820|0411|0412|1020|0630,UNBALANCED,N,LIFECYCLE_EXCLUSION_GAP,MEDIUM,RECOVERABLE,SAFE_TO_REPROCESS,Validate lifecycle-only exclusion (0038) handling in balancing replay,N,2770.08,4.35
