prototype_claimnum,sequence_number,reconstructed_claim_id,derivation_candidate_id,enhanced_settlement_group_id,policy_number,claim_family,derivation_confidence,lineage_source
CLM0000001,1,RC-9010150740-1-DEATH_CLAIM-C0-20230509,QDC-RC-9010150740-1-DEATH_CLAIM-C0-20230509,ESG-9010150740-RC-9010150740-1-DEATH_CLAIM-C0-20230509-SOLO,9010150740,DEATH_CLAIM,LOW_CONFIDENCE,phase10b_quikclms_derivation
CLM0000002,2,RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,QDC-RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,ESG-9010154425-RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203-SOLO,9010154425,DISBURSEMENT_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000003,3,RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,QDC-RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,ESG-9010235370-RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902-SOLO,9010235370,DISBURSEMENT_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000004,4,RC-9010331157-1-DEATH_CLAIM-C0-20190315,QDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315,ESG-9010331157-RC-9010331157-1-DEATH_CLAIM-C0-20190315-SOLO,9010331157,DEATH_CLAIM,LOW_CONFIDENCE,phase10b_quikclms_derivation
CLM0000005,5,RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C0-20180724-SOLO,9010331768,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000006,6,RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C1-20190724-SOLO,9010331768,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000007,7,RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C2-20200724-SOLO,9010331768,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000008,8,RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C3-20210724-SOLO,9010331768,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000009,9,RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C4-20220724-SOLO,9010331768,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000010,10,RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,QDC-RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C5-20230721-SOLO,9010331768,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000011,11,RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C6-20240724-SOLO,9010331768,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000012,12,RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,ESG-9010331768-RC-9010331768-1-SURRENDER_CLAIM-C7-20250724-SOLO,9010331768,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000013,13,RC-9010335038-1-DEATH_CLAIM-C0-20180422,QDC-RC-9010335038-1-DEATH_CLAIM-C0-20180422,ESG-9010335038-RC-9010335038-1-DEATH_CLAIM-C0-20180422-SOLO,9010335038,DEATH_CLAIM,LOW_CONFIDENCE,phase10b_quikclms_derivation
CLM0000014,14,RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,QDC-RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,ESG-9010335095-RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126-SOLO,9010335095,DISBURSEMENT_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000015,15,RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C0-20181118-SOLO,9010346921,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000016,16,RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C1-20191118-SOLO,9010346921,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000017,17,RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C2-20201118-SOLO,9010346921,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000018,18,RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C3-20211118-SOLO,9010346921,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000019,19,RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C4-20221118-SOLO,9010346921,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000020,20,RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,QDC-RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C5-20230221-SOLO,9010346921,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000021,21,RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C6-20231118-SOLO,9010346921,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000022,22,RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C7-20241118-SOLO,9010346921,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000023,23,RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,ESG-9010346921-RC-9010346921-1-SURRENDER_CLAIM-C8-20251118-SOLO,9010346921,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000024,24,RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,QDC-RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,ESG-9010348734-RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124-SOLO,9010348734,DISBURSEMENT_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000025,25,RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,QDC-RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,ESG-9010363098-RC-9010363098-1-SURRENDER_CLAIM-C0-20180201-SOLO,9010363098,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000026,26,RC-9010367438-1-DEATH_CLAIM-C0-20211110,QDC-RC-9010367438-1-DEATH_CLAIM-C0-20211110,ESG-9010367438-RC-9010367438-1-DEATH_CLAIM-C0-20211110-SOLO,9010367438,DEATH_CLAIM,LOW_CONFIDENCE,phase10b_quikclms_derivation
CLM0000027,27,RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,QDC-RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,ESG-9010367438-RC-9010367438-1-SURRENDER_CLAIM-C0-20180628-SOLO,9010367438,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000028,28,RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,QDC-RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,ESG-9010367438-RC-9010367438-1-SURRENDER_CLAIM-C1-20190701-SOLO,9010367438,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000029,29,RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,QDC-RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,ESG-9010367438-RC-9010367438-1-SURRENDER_CLAIM-C2-20200701-SOLO,9010367438,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000030,30,RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,QDC-RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,ESG-9010367438-RC-9010367438-1-SURRENDER_CLAIM-C3-20210701-SOLO,9010367438,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000031,31,RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,QDC-RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,ESG-9010367438-RC-9010367438-1-SURRENDER_CLAIM-C4-20211110-SOLO,9010367438,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000032,32,RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,QDC-RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,ESG-9010376522-RC-9010376522-1-SURRENDER_CLAIM-C0-20181006-SOLO,9010376522,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000033,33,RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,QDC-RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,ESG-9010376522-RC-9010376522-1-SURRENDER_CLAIM-C1-20191006-SOLO,9010376522,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
