credit_account,debit_account,row_count,distinct_policy_count,total_amount,min_amount,max_amount,avg_amount,earliest_effective_date,latest_effective_date
1097,XX0113R,40238,590,40542.14,0.01,30.12,1.0076,20180105,20260424
XX0113R,1018,30886,542,1412556.75,9.26,564.2,45.7345,20171214,20260427
XX0112R,1018,27465,254,550170.06,0.08,711.14,20.0317,20171225,20260428
2019,XXXXXX0049,26868,1432,2870091.06,4.0,8280.0,106.8219,20180102,20260424
XX0105R,1018,26792,372,778007.15,9.92,433.5,29.0388,20180102,20260424
1097,XX0112R,23056,297,9470.33,0.01,50.97,0.4108,20180105,20260331
XX0103R,1018,22618,341,252170.87,0.01,360.0,11.1491,20171201,20260428
XX0106R,1018,17935,240,327805.49,6.03,472.0,18.2774,20180102,20260424
7046,1017,14119,663,2857479.46,0.01,5170.15,202.3854,20171021,20280107
XX0108R,1018,12190,124,831992.82,0.01,2788.0,68.2521,20171215,20260427
XX0105R,2019,11281,676,1533649.68,-6.74,2794.0,135.9498,20170928,20260702
1017,7046,11031,598,1934718.77,0.01,3107.65,175.3892,20171102,20260424
XX0112R,2019,9964,243,461422.72,0.01,3686.0,46.309,20171021,20261210
1097,XX0106R,9815,58,12606.72,0.03,9.18,1.2844,20180131,20260331
XX0116R,1018,9741,195,268740.0,12.5,677.4,27.5885,20180102,20260421
XX0107R,1018,8358,101,1033099.1,0.06,1872.95,123.606,20180101,20260425
2019,XXXXXX0044,7997,1233,970701.79,1.96,29657.91,121.3832,20040326,20270326
XX0113R,2019,6254,275,449781.7,0.03,1666.0,71.919,20171101,20260701
XX0106R,2019,5732,224,317291.46,0.02,2930.75,55.3544,20171108,20260815
1097,XX0116R,4939,59,16889.8,0.06,20.8,3.4197,20180105,20260424
1097,XX0105R,4635,34,7933.95,0.03,6.32,1.7117,20180131,20260331
XX0107R,2019,4445,108,720531.27,0.05,4441.0,162.0993,20171007,20260503
1017,1018,4043,92,202148.38,1.09,2000.0,49.9996,20180105,20260423
2019,2031,3945,855,2671647.75,12.96,32740.96,677.2238,20170928,20260424
XX0108R,2019,3563,130,788783.73,0.01,8280.0,221.3819,20171203,20260528
1017,2019,3558,378,452697.45,0.01,29657.91,127.2337,20171227,50500904
2030,1017,3549,284,568971.93,6.44,73371.4,160.3189,20171102,20260223
2019,2030,3431,208,128218.24,6.44,5500.0,37.3705,20171102,20260223
XX0103R,2019,3177,168,106020.97,0.06,277.78,33.3714,20171001,20270101
XX0116R,2019,2862,411,459197.84,10.03,753.0,160.4465,20171201,20260423
2019,2039,2763,185,176591.96,0.16,8137.18,63.9131,20180104,20260423
2031,XX4005R,2557,367,908472.82,103.5,2794.0,355.2885,20170928,20260424
1058,2032,2115,1399,18639642.16,7.93,125000.0,8813.0696,20051003,20260402
XX6203S,XX6103R,2063,346,332156.34,7.13,498.25,161.0065,20180101,20260415
1097,XX0107R,1899,26,2617.8,0.06,22.21,1.3785,20180131,20260331
XX0119R,1018,1482,27,32579.44,11.56,45.5,21.9834,20180101,20260430
2032,XX0113R,1168,491,4062108.12,0.45,50000.0,3477.8323,20180101,20260330
1097,XX0119R,1164,24,3537.93,1.73,8.86,3.0395,20180131,20260331
8047,2019,1122,191,1969.48,0.01,548.0,1.7553,20171225,20260422
2031,XX4016R,1093,272,316717.7,142.1,753.0,289.7692,20171201,20260401
1097,XX0108R,1026,33,5628.73,0.54,34.23,5.4861,20180105,20260424
XX0170R,2019,894,63,5371.7,0.01,73.0,6.0086,20170101,20260428
2023,XX3703R,783,63,48847.5,0.01,972.89,62.3851,20180106,20260410
XX0109R,1018,773,9,10059.0,2.0,18.0,13.0129,20180101,20260421
2032,XX0116R,690,412,4590307.13,0.53,53371.03,6652.619,20180101,20251207
1056,2031,679,673,4978223.4,1.9,71843.33,7331.6987,20180101,20260421
2039,2019,612,174,538599.64,2.0,32740.96,880.0648,20180105,20260421
XX0113R,1097,546,292,482.92,0.01,20.95,0.8845,20180131,20260228
2032,XX0103R,519,192,1859589.38,0.09,30000.0,3583.0239,20180107,20260221
XX2500,XX3870R,469,28,637.54,0.01,4.89,1.3594,20170101,20270128
XX0109R,2019,463,7,8705.0,5.0,54.0,18.8013,20171215,20260423
2031,XX4105R,410,213,2890014.51,36.48,48624.0,7048.8159,20180108,20260421
1056,2019,368,289,685943.8,1.96,26569.4,1863.9777,20180105,20260401
XX0119R,2019,351,11,10585.39,0.06,267.4,30.1578,20180101,20251107
5007CFR,2019,276,4,-592.03,-2.99,-1.8,-2.145,20171215,20260216
1017,2031,236,217,1345434.52,2.32,42637.61,5700.9937,20171104,20260421
2032,XX0105R,212,104,3303816.03,1.07,148656.0,15584.0379,20180206,20260227
2019,XX2500,206,34,2714.78,0.82,155.85,13.1785,20170101,20260428
2023,XX5003R,198,39,21286.32,6.98,398.6,107.5067,20180106,20260301
2019,8047,186,143,4396.24,0.01,3000.0,23.6357,20180101,20260327
2031,XX4116R,177,92,1054330.52,39.0,22146.16,5956.6696,20180116,20260323
2032,XX3816R,172,165,12636.53,1.0,1066.05,73.4682,20180107,20250918
2031,XX4103R,171,89,460735.13,12.01,22796.56,2694.3575,20180116,20260413
2032,XX3813R,165,150,9903.85,1.75,1131.35,60.0233,20180120,20260330
2019,1018,151,36,5067.22,0.42,455.44,33.5577,20180109,20260407
2031,XX4112R,147,109,390315.67,3.71,13912.8,2655.2086,20180105,20260403
2032,XX0106R,139,65,2149663.83,0.93,100000.0,15465.2074,20180127,20260402
1056,XX4803R,136,23,19944.62,20.28,263.55,146.6516,20180110,20260401
2019,XX0305R,131,6,9044.89,35.77,340.2,69.045,20180203,20260401
XX0305R,2019,131,6,9044.89,35.77,340.2,69.045,20180203,20260401
2028,XX0105R,126,37,5701.47,0.1,469.48,45.2498,20171002,20250102
1097,XX0109R,123,4,135.96,0.9,2.7,1.1054,20180131,20250630
2032,XX0170R,122,37,46070.78,0.01,3000.0,377.6293,20051003,20251201
2031,XX3903R,118,69,254756.95,25.64,9033.21,2158.9572,20180101,20260413
2031,XX0112R,117,59,1925.6,0.09,260.86,16.4581,20180105,20260403
