transaction_code,credit_row_count,debit_row_count,combined_row_count,combined_total_amount,absolute_total_amount,min_amount,max_amount,avg_amount,median_amount,malformed_amount_count
110,204139,2357,206496,9260646.56,9262111.42,-2.99,8280.0,44.8466,21.51,0
46,2,162613,162615,5708719.93,5709000.73,-1.8,2788.0,35.1057,20.44,0
12,46445,55922,102367,16692030.71,16693228.25,-6.74,46125.62,163.0607,43.31,0
50,86895,755,87650,100035.94,100035.94,0.01,50.97,1.1413,0.51,0
1111,631,68491,69122,68871.75,68871.75,0.01,34.23,0.9964,0.39,0
49,35,26871,26906,2874415.94,2874415.94,0.02,8280.0,106.8318,48.42,0
451,14119,11032,25151,4792282.58,4792282.58,0.01,5170.15,190.5404,104.1,0
412,11031,14119,25150,4792198.23,4792198.23,0.01,5170.15,190.5447,104.105,0
1110,124,18404,18528,31164.19,31164.19,0.03,50.97,1.682,1.21,0
13,5654,4994,10648,19454494.76,19454494.76,0.01,91999.48,1827.0562,333.7,0
413,7985,38,8023,2785199.86,2785199.86,0.01,73541.13,347.1519,39.67,0
44,19,7998,8017,972492.16,972492.16,1.96,29657.91,121.3037,52.16,0
37,3553,3549,7102,1157443.86,1157443.86,6.44,73371.4,162.9744,15.62,0
38,3735,2336,6071,39863006.27,39863006.27,0.01,150000.0,6566.1351,3382.9,0
561,2,3662,3664,1244149.92,1244149.92,103.5,13650.0,339.5606,269.65,0
126,3625,16,3641,1223857.31,1223870.79,-6.74,4260.0,336.1322,269.65,0
411,0,3549,3549,568971.93,568971.93,6.44,73371.4,160.3189,15.62,0
61,649,2853,3502,1238726.92,1238726.92,0.16,32740.96,353.7199,23.5,0
94,2217,86,2303,19786127.67,19786127.67,3.6,125000.0,8591.458,5030.88,0
112,2084,4,2088,343214.37,343214.37,7.13,6749.98,164.3747,151.45,0
517,1,2072,2073,347286.08,347286.08,7.13,7329.17,167.5283,152.5,0
530,73,1709,1782,20311479.31,20311479.31,0.01,150000.0,11398.1365,6463.4,0
710,1129,195,1324,7842.21,7842.21,0.01,3000.0,5.9231,0.54,0
560,100,1096,1196,6238921.81,6238921.81,3.71,48624.0,5216.4898,3498.765,0
310,983,27,1010,177374.7,177374.7,0.01,11935.58,175.6185,35.875,0
641,0,783,783,48847.5,48847.5,0.01,972.89,62.3851,33.04,0
210,516,225,741,7438.7,7438.7,0.01,312.95,10.0387,2.32,0
92,679,16,695,5019679.17,5019679.17,1.9,71843.33,7222.56,4581.78,0
630,33,575,608,54854.74,54854.74,0.38,3176.92,90.2216,37.955,0
20,250,331,581,2787086.02,2787086.02,0.01,50000.0,4797.0499,3023.21,0
150,545,5,550,39076.7,39076.7,2.0,340.85,71.0485,52.38,0
580,3,494,497,38983.8,38983.8,2.0,340.85,78.4382,57.13,0
610,0,495,495,649.42,649.42,0.01,5.27,1.312,0.75,0
564,160,271,431,2083483.07,2083483.07,0.43,39700.0,4834.0674,3650.0,0
2,416,7,423,18793.95,18793.95,0.28,1872.95,44.4301,23.02,0
21,274,103,377,25552.66,25552.66,0.01,651.6,67.7789,38.15,0
90,357,20,377,773994.42,773994.42,1.96,26569.4,2053.0356,78.88,0
113,207,105,312,1496109.03,1496109.03,17.12,32740.96,4795.2213,3175.12,0
514,0,198,198,21286.32,21286.32,6.98,398.6,107.5067,44.87,0
515,2,174,176,25079.72,25079.72,7.53,263.55,142.4984,154.42,0
96,147,4,151,20998.96,20998.96,20.28,263.55,139.066,153.52,0
562,13,125,138,295221.0,295221.0,25.64,9033.21,2139.2826,1713.695,0
91,116,6,122,456153.69,456153.69,100.0,73371.4,3738.9647,2000.0,0
1020,7,109,116,678647.92,678647.92,75.44,91999.48,5850.4131,1748.125,0
520,21,84,105,550448.81,550448.81,0.01,91999.48,5242.3696,3906.65,0
62,12,34,46,2597.17,2597.17,16.53,257.67,56.4602,26.64,0
256,15,24,39,220649.14,220649.14,6.46,22500.0,5657.6703,3162.72,0
516,1,30,31,4846.21,4846.21,90.95,204.42,156.3294,164.07,0
220,26,2,28,30905.98,30905.98,56.05,10323.28,1103.785,81.695,0
620,0,25,25,2590.38,2590.38,56.05,183.09,103.6152,77.49,0
565,5,18,23,104601.5,104601.5,33.81,24266.67,4547.8913,3981.23,0
115,17,4,21,115666.39,115666.39,1670.0,24266.67,5507.9233,4120.37,0
47,0,20,20,1037.88,1037.88,10.08,163.79,51.894,25.5,0
43,0,13,13,8.45,8.45,0.1,1.0,0.65,0.9,0
11,3,3,6,4273.66,4273.66,5.4,2031.33,712.2767,100.1,0
254,0,4,4,18636.98,18636.98,55.78,9977.92,4659.245,4301.64,0
45,0,2,2,2122.97,2122.97,91.64,2031.33,1061.485,1061.485,0
95,2,0,2,51.7,51.7,25.48,26.22,25.85,25.85,0
39,0,1,1,100.1,100.1,100.1,100.1,100.1,100.1,0
715,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0
