transaction_code,known_description,claim_relevant_flag,claim_family,financial_component,lifecycle_role,payment_indicator,tax_indicator,interest_indicator,loan_offset_indicator,surrender_indicator,reversal_sensitive_flag,observed_credit_count,observed_debit_count,observed_total_amount,observed_pairings,confidence_level,notes
0038,0038 Death Clearing,Y,DEATH_CLAIM_CLEARING,CLEARING,CLEARING_HUB,N,N,N,N,N,Y,3735,2336,39863006.27,94|38(2115);38|530(1696);38|110(1423);38|630(552);413|38(112);12|38(89);38|12(19);38|94(19),HIGH,"Observed clearing hub for death benefit (530), interest (630), and payout (94) pairings."
0090,0090 Cash Disbursements,Y,CASH_DISBURSEMENT,DISBURSEMENT,PAYMENT_OUT,Y,N,N,N,N,Y,357,20,773994.42,90|12(357);12|90(13);38|90(3);20|90(2);2|90(1);560|90(1),HIGH,Primary cash-out disbursement code; commonly paired with account 12.
0094,0094 Death Claim Payout,Y,DEATH_CLAIM_PAYOUT,PAYOUT,PAYMENT_OUT,Y,N,N,N,N,Y,2217,86,19786127.67,94|38(2115);94|12(99);20|94(61);38|94(19);12|94(2);530|94(2);94|20(2);110|94(1),HIGH,Death claim payee distribution; dominant pairing with 38 clearing.
0411,0411 Loan Principal,Y,LOAN_PRINCIPAL_OFFSET,LOAN_OFFSET,OFFSET,N,N,N,Y,N,Y,0,3549,568971.93,37|411(3549),HIGH,Loan principal offset at claim/surrender; debit-only in observed extract.
0412,0412 Loan Interest Capitalized,Y,LOAN_INTEREST_OFFSET,LOAN_OFFSET,OFFSET,N,N,Y,Y,N,Y,11031,14119,4792198.23,451|412(14119);412|451(11031),HIGH,Capitalized loan interest offset; frequently paired with 451.
0519,0519 Death Claim Prorata Surrender,Y,DEATH_CLAIM_PRORATA_SURRENDER,SURRENDER,BENEFIT_ADJUSTMENT,N,N,N,N,Y,Y,0,0,0.0,,MEDIUM,Not observed in current extract; seeded from LifePRO reference documentation.
0530,0530 Death Benefit,Y,DEATH_BENEFIT,BENEFIT,BENEFIT_ESTABLISHMENT,N,N,N,N,N,Y,73,1709,20311479.31,38|530(1696);530|20(61);256|530(8);530|256(5);530|38(4);20|530(3);12|530(2);530|94(2),HIGH,Core death benefit amount; dominant pairing CREDIT 38 / DEBIT 530.
0560,0560 Total Cash,Y,TOTAL_CASH,SURRENDER,BENEFIT_ESTABLISHMENT,N,N,N,N,Y,Y,100,1096,6238921.81,13|560(1095);560|13(93);560|20(6);20|560(1);560|90(1),HIGH,Full surrender cash value; commonly paired with CREDIT 13.
0561,0561 Partial Surrender,Y,PARTIAL_SURRENDER,SURRENDER,BENEFIT_ESTABLISHMENT,N,N,N,N,Y,Y,2,3662,1244149.92,13|561(3651);12|561(9);126|561(2);561|12(1);561|21(1),HIGH,Partial surrender; primarily debit-side with CREDIT 13 pairing.
0567,0567 Claim Payments,Y,CLAIM_PAYMENT,PAYMENT,PAYMENT_OUT,Y,N,N,N,N,Y,0,0,0.0,,MEDIUM,Not observed in current extract; expected QUIKCLMP payment mapping candidate.
0630,0630 Interest on Death Benefit,Y,DEATH_BENEFIT_INTEREST,INTEREST,INTEREST_ACCRUAL,N,N,Y,N,N,Y,33,575,54854.74,38|630(552);630|20(25);12|630(20);630|12(6);20|630(2);256|630(1);630|38(1);630|94(1),HIGH,Death benefit interest component; paired with 38 clearing.
0810,0810 Federal Non Withholding,Y,FEDERAL_NON_WITHHOLDING,TAX,TAX_TREATMENT,N,Y,N,N,N,Y,0,0,0.0,,MEDIUM,Not observed in current extract; seeded from LifePRO reference documentation.
0820,0820 Federal Int Withholding,Y,FEDERAL_INTEREST_WITHHOLDING,TAX,TAX_TREATMENT,N,Y,Y,N,N,Y,0,0,0.0,,MEDIUM,Not observed in current extract; seeded from LifePRO reference documentation.
1020,1020 Surrender Charge,Y,SURRENDER_CHARGE,CHARGE,FEE_DEDUCTION,N,N,N,N,Y,Y,7,109,678647.92,13|1020(109);1020|20(7),HIGH,Surrender charge deduction; paired with CREDIT 13 in observed extract.
1900,1900 Claim Cash Disbursements,Y,CLAIM_CASH_DISBURSEMENT,DISBURSEMENT,PAYMENT_OUT,Y,N,N,N,N,Y,0,0,0.0,,MEDIUM,Not observed in current extract; seeded from LifePRO reference documentation.
