reconstructed_claim_id,gross_benefit_amount,interest_amount,loan_principal_offset,loan_interest_offset,surrender_charge_amount,withholding_amount,total_cash_amount,partial_surrender_amount,reconstructed_net_payment,raw_transaction_total,balancing_difference,balancing_status,confidence_level
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,0.0,0.0,0.0,0.0,0.0,0.0,831.92,0.0,831.92,831.92,831.92,UNBALANCED,LOW
RC-9010150740-1-DEATH_CLAIM-C0-20230509,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,6427.18,-1713.59,UNBALANCED,LOW
RC-9010150910-1-DEATH_CLAIM-C0-20200423,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2141.62,-134.57,UNBALANCED,LOW
RC-9010150910-3-DEATH_CLAIM-C0-20200423,127.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.52,127.52,127.52,UNBALANCED,LOW
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2107.95,-2107.95,UNBALANCED,LOW
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,0.0,0.0,0.0,0.0,0.0,0.0,851.9,0.0,851.9,851.9,851.9,UNBALANCED,LOW
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3517.03,-3517.03,UNBALANCED,LOW
RC-9010331157-1-DEATH_CLAIM-C0-20190315,10000.0,189.69,0.0,0.0,0.0,0.0,0.0,0.0,10189.69,38893.24,-9256.93,UNBALANCED,LOW
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,0.0,602.44,0.0,602.44,0.0,0.0,0.0,0.0,0.0,602.44,0.0,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,0.0,629.65,0.0,629.65,0.0,0.0,0.0,0.0,0.0,629.65,0.0,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,0.0,634.15,0.0,634.15,0.0,0.0,0.0,0.0,0.0,634.15,0.0,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,0.0,610.51,0.0,610.51,0.0,0.0,0.0,0.0,0.0,610.51,0.0,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,0.0,635.4,0.0,635.4,0.0,0.0,0.0,0.0,0.0,635.4,0.0,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,0.0,202.33,0.0,202.33,0.0,0.0,0.0,0.0,0.0,202.33,0.0,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,0.0,603.83,0.0,603.83,0.0,0.0,0.0,0.0,0.0,603.83,0.0,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,0.0,589.3,0.0,589.3,0.0,0.0,0.0,0.0,0.0,589.3,0.0,BALANCED,HIGH
RC-9010335038-1-DEATH_CLAIM-C0-20180422,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,23554.1,-6777.05,UNBALANCED,LOW
RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2474.02,-2474.02,UNBALANCED,LOW
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,0.0,70.9,0.0,70.9,0.0,0.0,0.0,0.0,0.0,70.9,0.0,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,0.0,214.74,0.0,214.74,0.0,0.0,0.0,0.0,0.0,214.74,0.0,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,0.0,218.24,0.0,218.24,0.0,0.0,0.0,0.0,0.0,218.24,0.0,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,0.0,74.64,0.0,74.64,0.0,0.0,0.0,0.0,0.0,74.64,0.0,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,0.0,224.83,0.0,224.83,0.0,0.0,0.0,0.0,0.0,224.83,0.0,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,0.0,109.78,0.0,109.78,0.0,0.0,0.0,0.0,0.0,109.78,0.0,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,0.0,204.43,0.0,204.43,0.0,0.0,0.0,0.0,0.0,204.43,0.0,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,0.0,213.9,0.0,213.9,0.0,0.0,0.0,0.0,0.0,213.9,0.0,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,0.0,208.75,0.0,208.75,0.0,0.0,0.0,0.0,0.0,208.75,0.0,BALANCED,HIGH
RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.85,-56.85,MINOR_VARIANCE,MEDIUM
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,0.0,0.0,0.0,0.0,0.0,0.0,3129.06,0.0,3129.06,3129.06,3129.06,UNBALANCED,LOW
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,0.0,0.0,0.0,0.0,0.0,0.0,3104.07,0.0,3104.07,3104.07,3104.07,UNBALANCED,LOW
RC-9010363098-1-DEATH_CLAIM-C0-20220917,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,12774.43,-2770.08,UNBALANCED,LOW
RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,0.0,258.25,0.0,258.25,0.0,0.0,0.0,0.0,0.0,258.25,0.0,BALANCED,HIGH
RC-9010363098-5-DEATH_CLAIM-C0-20220917,2765.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2765.73,2765.73,2765.73,UNBALANCED,LOW
RC-9010367438-1-DEATH_CLAIM-C0-20211110,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,9624.99,-889.37,UNBALANCED,LOW
RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,0.0,74.67,0.0,74.67,0.0,0.0,0.0,0.0,0.0,74.67,0.0,BALANCED,HIGH
RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,0.0,77.32,0.0,77.32,0.0,0.0,0.0,0.0,0.0,77.32,0.0,BALANCED,HIGH
RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,0.0,81.39,0.0,81.39,0.0,0.0,0.0,0.0,0.0,81.39,0.0,BALANCED,HIGH
RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,0.0,403.33,0.0,403.33,0.0,0.0,0.0,0.0,0.0,403.33,0.0,BALANCED,HIGH
RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,0.0,52.45,0.0,52.45,0.0,0.0,0.0,0.0,0.0,52.45,0.0,BALANCED,HIGH
RC-9010367438-2-DEATH_CLAIM-C0-20211110,2464.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2464.99,2464.99,2464.99,UNBALANCED,LOW
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,0.0,0.0,0.0,0.0,0.0,0.0,3043.61,0.0,3043.61,3043.61,3043.61,UNBALANCED,LOW
RC-9010368703-1-DEATH_CLAIM-C0-20210114,6865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6865.0,19761.48,-6025.67,UNBALANCED,LOW
RC-9010368703-2-DEATH_CLAIM-C0-20210114,6019.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.86,6019.86,6019.86,UNBALANCED,LOW
RC-9010371171-1-DEATH_CLAIM-C0-20240624,6430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6430.0,19286.34,-6404.01,UNBALANCED,LOW
RC-9010371171-2-DEATH_CLAIM-C0-20240624,6381.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6381.68,6381.68,6381.68,UNBALANCED,LOW
RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,0.0,0.0,0.0,0.0,0.0,0.0,11120.23,0.0,11120.23,11120.23,11120.23,UNBALANCED,LOW
RC-9010374779-1-DEATH_CLAIM-C0-20200530,4348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4348.0,12701.43,-4005.43,UNBALANCED,LOW
RC-9010374779-2-DEATH_CLAIM-C0-20200530,4005.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.43,4005.43,4005.43,UNBALANCED,LOW
RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,0.0,1011.56,95.6,1011.56,0.0,0.0,0.0,0.0,-95.6,1107.16,-95.6,MINOR_VARIANCE,MEDIUM
RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,0.0,1080.41,95.6,1080.41,0.0,0.0,0.0,0.0,-95.6,1176.01,-95.6,MINOR_VARIANCE,MEDIUM
RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,0.0,1152.9,95.6,1152.9,0.0,0.0,0.0,0.0,-95.6,1248.5,-95.6,MINOR_VARIANCE,MEDIUM
