reconstructed_claim_id,policy_number,benefit_seq,claim_family,claim_subtype,reconstructed_lifecycle_status,first_activity_date,latest_activity_date,claim_activity_row_count,claim_relevant_transaction_codes,possible_reversal_flag,confidence_level,reconstruction_notes
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,9010149834,1,SURRENDER_CLAIM,TOTAL_CASH,FUNDED,20180302,20180302,1,0560,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_CLAIM_CLEARING|DEATH_CLAIM_PAYOUT,SETTLED,20230509,20230509,4,0038|0094|0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_CLAIM_CLEARING|DEATH_CLAIM_PAYOUT,SETTLED,20200423,20200423,6,0038|0094|0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,3,DEATH_CLAIM,DEATH_BENEFIT,FUNDED,20200423,20200423,1,0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,9010154425,1,DISBURSEMENT_CLAIM,CASH_DISBURSEMENT,PAID,20201203,20201203,1,0090,N,LOW,Prototype grouping by policy/benefit_seq/DISBURSEMENT_CLAIM with 60-day date cluster window
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,9010185592,1,SURRENDER_CLAIM,TOTAL_CASH,FUNDED,20191211,20191211,2,0560,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,9010235370,1,DISBURSEMENT_CLAIM,CASH_DISBURSEMENT,PAID,20210902,20210902,1,0090,N,LOW,Prototype grouping by policy/benefit_seq/DISBURSEMENT_CLAIM with 60-day date cluster window
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_BENEFIT_INTEREST|DEATH_CLAIM_CLEARING|DEATH_CLAIM_PAYOUT,SETTLED,20190315,20190315,9,0038|0094|0530|0630,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,9010331768,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20180724,20180824,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,9010331768,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20190724,20190731,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,9010331768,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20200724,20200727,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,9010331768,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20210724,20210817,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,9010331768,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20220724,20220726,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,9010331768,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20230721,20230724,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,9010331768,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20240724,20240731,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,9010331768,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20250724,20250725,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_CLAIM_CLEARING|DEATH_CLAIM_PAYOUT,SETTLED,20180422,20180422,4,0038|0094|0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,9010335095,1,DISBURSEMENT_CLAIM,CASH_DISBURSEMENT,PAID,20191126,20191126,1,0090,N,LOW,Prototype grouping by policy/benefit_seq/DISBURSEMENT_CLAIM with 60-day date cluster window
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,9010346921,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20181118,20181118,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,9010346921,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20191118,20191202,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,9010346921,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20201118,20201123,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,9010346921,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20211118,20211118,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,9010346921,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20221118,20221205,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,9010346921,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20230221,20230221,2,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,9010346921,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20231118,20240111,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,9010346921,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20241118,20241218,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,9010346921,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20251118,20251230,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,9010348734,1,DISBURSEMENT_CLAIM,CASH_DISBURSEMENT,PAID,20220124,20220124,1,0090,N,MEDIUM,Prototype grouping by policy/benefit_seq/DISBURSEMENT_CLAIM with 60-day date cluster window
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,9010360289,1,SURRENDER_CLAIM,TOTAL_CASH,FUNDED,20260401,20260401,2,0560,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,9010360290,1,SURRENDER_CLAIM,TOTAL_CASH,FUNDED,20260326,20260326,2,0560,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_CLAIM_CLEARING|DEATH_CLAIM_PAYOUT,SETTLED,20220917,20220917,3,0038|0094|0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,9010363098,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20180201,20181005,25,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
