reconstructed_claim_id,policy_number,likely_payee_name_id,likely_payee_relationship,payee_resolution_method,fallback_strategy_used,address_available_flag,tax_id_available_flag,trust_indicator,business_indicator,confidence_level,resolution_notes
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,9010149834,590264,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,696234,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,710188,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,710188,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,9010154425,590277,PE,PACTG_PAYEE_RELA_CODE,PO|B1|IN|PE,Y,Y,N,N,HIGH,missing_payee_relationship
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,9010185592,590307,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,9010235370,590311,PE,PACTG_PAYEE_RELA_CODE,PO|B1|IN|PE,Y,Y,N,N,HIGH,missing_payee_relationship
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,709556,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,9010331768,590340,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,9010331768,590340,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,9010331768,590340,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,9010331768,590340,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,9010331768,590340,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,9010331768,590340,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,9010331768,590340,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,9010331768,590340,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,581281,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,9010335095,590355,PE,PACTG_PAYEE_RELA_CODE,PO|B1|IN|PE,Y,Y,N,N,HIGH,missing_payee_relationship
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,9010346921,590357,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,9010346921,590357,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,9010346921,590357,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,9010346921,590357,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,9010346921,590357,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,9010346921,590357,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,9010346921,590357,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,9010346921,590357,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,9010346921,590357,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,9010348734,590361,PE,PACTG_PAYEE_RELA_CODE,PO|B1|IN|PE,Y,Y,N,N,HIGH,missing_payee_relationship
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,9010360289,587630,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,9010360290,587631,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,696406,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,9010363098,696406,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,696406,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
