policy_number,name_id,relate_code,address_present_flag,city_present_flag,state_present_flag,zip_present_flag,foreign_address_flag,incomplete_address_flag
9010149834,17593,BK,N,Y,Y,Y,N,Y
9010150031,560682,B1,N,N,N,N,N,Y
9010150910,590268,IN,Y,N,Y,Y,N,Y
9010150910,590268,PA,Y,N,Y,Y,N,Y
9010150910,590268,PO,Y,N,Y,Y,N,Y
9010154425,17569,BK,N,Y,Y,N,N,Y
9010158001,15084,BK,N,Y,Y,Y,N,Y
9010161748,13959,BK,N,Y,Y,N,N,Y
9010310404,12479,BK,N,Y,Y,N,N,Y
9010346921,2816,BK,N,Y,Y,N,N,Y
9010348734,12059,BK,N,Y,Y,N,N,Y
9010350577,14245,BK,N,Y,Y,N,N,Y
9010360289,28188,BK,N,Y,Y,Y,N,Y
9010360290,28188,BK,N,Y,Y,Y,N,Y
9010363098,8548,BK,N,Y,Y,N,N,Y
9010367704,17515,BK,N,Y,Y,N,N,Y
9010367705,17635,BK,N,Y,Y,N,N,Y
9010368703,284296,BK,N,Y,Y,Y,N,Y
9010368703,284296,BK,N,Y,Y,Y,N,Y
9010371171,10420,BK,N,Y,Y,N,N,Y
9010371171,10420,BK,N,Y,Y,N,N,Y
9010371356,705010,B1,Y,Y,N,Y,N,Y
9010371356,705010,B1,Y,Y,N,Y,N,Y
9010371356,14251,BK,N,Y,Y,N,N,Y
9010371356,14251,BK,N,Y,Y,N,N,Y
9010374779,10696,BK,N,Y,Y,N,N,Y
9010374779,10696,BK,N,Y,Y,N,N,Y
9010374837,10696,BK,N,Y,Y,N,N,Y
9010374838,10696,BK,N,Y,Y,N,N,Y
9010376529,14059,BK,N,Y,Y,N,N,Y
9010376529,14059,BK,N,Y,Y,N,N,Y
9010376540,14251,BK,N,Y,Y,N,N,Y
9010376540,14251,BK,N,Y,Y,N,N,Y
9010377918,28784,BK,N,Y,Y,Y,N,Y
9010377918,28784,BK,N,Y,Y,Y,N,Y
9010378710,15932,BK,N,Y,Y,Y,N,Y
9010378829,15932,BK,N,Y,Y,Y,N,Y
9010378830,12381,BK,N,Y,Y,N,N,Y
9010379405,11995,BK,N,Y,Y,N,N,Y
9010379477,15557,BK,N,Y,Y,Y,N,Y
9010379478,15557,BK,N,Y,Y,Y,N,Y
9010381745,17223,BK,N,Y,Y,N,N,Y
9010381745,17223,BK,N,Y,Y,N,N,Y
9010382426,14251,BK,N,Y,Y,N,N,Y
9010382426,31303,SA,Y,N,Y,Y,N,Y
9010385491,14187,BK,N,Y,Y,N,N,Y
9010385491,14187,BK,N,Y,Y,N,N,Y
9010389651,17569,BK,N,Y,Y,N,N,Y
9010391004,17530,BK,N,Y,Y,N,N,Y
9010391004,17530,BK,N,Y,Y,N,N,Y
9010391359,16099,BK,N,Y,Y,Y,N,Y
9010391359,16099,BK,N,Y,Y,Y,N,Y
9010391411,17157,BK,N,Y,Y,N,N,Y
9010391411,17157,BK,N,Y,Y,N,N,Y
9010391422,17801,BK,N,Y,Y,N,N,Y
9010391582,17612,BK,N,Y,Y,N,N,Y
9010391679,14187,BK,N,Y,Y,N,N,Y
9010391840,16201,BK,N,Y,Y,N,N,Y
9010391840,16201,BK,N,Y,Y,N,N,Y
9010391895,15614,BK,N,Y,Y,Y,N,Y
9010391895,15614,BK,N,Y,Y,Y,N,Y
9010392117,17040,BK,N,Y,Y,N,N,Y
9010392138,15949,BK,N,Y,Y,Y,N,Y
9010392138,15949,BK,N,Y,Y,Y,N,Y
9010392493,10102,BK,N,Y,Y,N,N,Y
9010392493,10102,BK,N,Y,Y,N,N,Y
9010392763,15427,BK,N,Y,Y,N,N,Y
9010392763,15427,BK,N,Y,Y,N,N,Y
9010393401,14060,BK,N,Y,Y,Y,N,Y
9010393401,14060,BK,N,Y,Y,Y,N,Y
9010393899,697442,B2,N,N,N,N,N,Y
9010393899,697442,B2,N,N,N,N,N,Y
9010394249,615519,B2,N,N,N,N,N,Y
9010394249,615519,B2,N,N,N,N,N,Y
9010394353,697442,B2,N,N,N,N,N,Y
9010394662,17529,BK,N,Y,Y,Y,N,Y
9010395211,11352,BK,N,Y,Y,Y,N,Y
9010395211,11352,BK,N,Y,Y,Y,N,Y
9010395382,697442,B2,N,N,N,N,N,Y
9010395382,697442,B2,N,N,N,N,N,Y
9010395382,695487,BK,N,Y,Y,Y,N,Y
9010395382,695487,BK,N,Y,Y,Y,N,Y
9010395761,17362,BK,N,Y,Y,N,N,Y
9010395878,615519,B2,N,N,N,N,N,Y
9010395878,615519,B2,N,N,N,N,N,Y
9010396147,12307,BK,N,Y,Y,N,N,Y
9010396147,12307,BK,N,Y,Y,N,N,Y
9010396186,17459,BK,N,Y,Y,Y,N,Y
9010396425,12301,BK,N,Y,Y,N,N,Y
9010396425,12301,BK,N,Y,Y,N,N,Y
9010397118,10725,BK,N,Y,Y,Y,N,Y
9010397118,10725,BK,N,Y,Y,Y,N,Y
9010397493,12305,BK,N,Y,Y,Y,N,Y
9010397493,12305,BK,N,Y,Y,Y,N,Y
9010397945,710965,B1,Y,N,N,Y,N,Y
9010397945,17529,BK,N,Y,Y,Y,N,Y
9010397945,710965,PE,Y,N,N,Y,N,Y
9010397945,710965,PO,Y,N,N,Y,N,Y
9010398274,15741,BK,N,Y,Y,N,N,Y
9010398274,15741,BK,N,Y,Y,N,N,Y
9010399927,17681,BK,N,Y,Y,Y,N,Y
9010400462,11940,BK,N,Y,Y,N,N,Y
9010401181,16037,BK,N,Y,Y,Y,N,Y
9010401210,16064,BK,N,Y,Y,Y,N,Y
9010401210,16064,BK,N,Y,Y,Y,N,Y
9010402014,560066,B2,N,N,N,N,N,Y
9010402014,560066,B2,N,N,N,N,N,Y
9010402060,697442,B2,N,N,N,N,N,Y
9010402060,697442,B2,N,N,N,N,N,Y
9010402060,16064,BK,N,Y,Y,Y,N,Y
9010402060,16064,BK,N,Y,Y,Y,N,Y
9010402061,697442,B2,N,N,N,N,N,Y
9010402061,697442,B2,N,N,N,N,N,Y
9010402061,16064,BK,N,Y,Y,Y,N,Y
9010402061,16064,BK,N,Y,Y,Y,N,Y
9010402105,697442,B2,N,N,N,N,N,Y
9010402105,697442,B2,N,N,N,N,N,Y
9010402105,16064,BK,N,Y,Y,Y,N,Y
9010402105,16064,BK,N,Y,Y,Y,N,Y
9010403117,16202,BK,N,Y,Y,N,N,Y
9010403117,16202,BK,N,Y,Y,N,N,Y
9010403222,697442,B2,N,N,N,N,N,Y
9010403222,12035,BK,N,Y,Y,N,N,Y
9010403516,15593,BK,Y,N,N,N,N,Y
9010403516,15593,BK,N,Y,Y,Y,N,Y
9010403789,697442,B2,N,N,N,N,N,Y
9010403789,15622,BK,N,Y,Y,N,N,Y
9010403922,12796,BK,N,Y,Y,N,N,Y
9010403922,12796,BK,N,Y,Y,N,N,Y
9010404600,697442,B2,N,N,N,N,N,Y
9010404600,15622,BK,N,Y,Y,N,N,Y
9010404857,11995,BK,N,Y,Y,N,N,Y
9010405440,10364,BK,N,Y,Y,Y,N,Y
9010405642,697442,B2,N,N,N,N,N,Y
9010405802,16202,BK,N,Y,Y,N,N,Y
9010405802,16202,BK,N,Y,Y,N,N,Y
9010405858,17681,BK,N,Y,Y,Y,N,Y
9010405858,17681,BK,N,Y,Y,Y,N,Y
9010406576,17227,BK,N,Y,Y,N,N,Y
9010406795,10344,BK,N,Y,Y,N,N,Y
9010407023,12392,BK,N,Y,Y,Y,N,Y
9010407533,10632,BK,N,Y,Y,Y,N,Y
9010407670,11907,BK,N,Y,Y,N,N,Y
9010407670,11907,BK,N,Y,Y,N,N,Y
9010407925,697442,B2,N,N,N,N,N,Y
9010407925,15593,BK,Y,N,N,N,N,Y
9010407925,15593,BK,N,Y,Y,Y,N,Y
9010408371,12729,BK,Y,N,N,Y,N,Y
9010408371,12729,BK,Y,N,N,Y,N,Y
9010410616,10637,BK,N,Y,Y,N,N,Y
9010410616,10637,BK,N,Y,Y,N,N,Y
9010411499,12796,BK,N,Y,Y,N,N,Y
9010411499,12796,BK,N,Y,Y,N,N,Y
9010411577,12484,BK,N,Y,Y,N,N,Y
9010411577,12484,BK,N,Y,Y,N,N,Y
9010411727,16497,BK,N,Y,Y,N,N,Y
9010411920,12914,BK,N,Y,Y,N,N,Y
9010412522,12392,BK,N,Y,Y,Y,N,Y
9010412522,12392,BK,N,Y,Y,Y,N,Y
9010412525,10637,BK,N,Y,Y,N,N,Y
9010412526,10637,BK,N,Y,Y,N,N,Y
9010413421,560066,B2,N,N,N,N,N,Y
9010413421,560066,B2,N,N,N,N,N,Y
9010413421,10542,BK,N,Y,Y,N,N,Y
9010413421,10542,BK,N,Y,Y,N,N,Y
9010413628,560066,B2,N,N,N,N,N,Y
9010413628,560066,B2,N,N,N,N,N,Y
9010413628,17615,BK,N,Y,Y,N,N,Y
9010413628,17615,BK,N,Y,Y,N,N,Y
9010414235,615519,B2,N,N,N,N,N,Y
9010414235,615519,B2,N,N,N,N,N,Y
9010414235,17615,BK,N,Y,Y,N,N,Y
9010414235,17615,BK,N,Y,Y,N,N,Y
9010415834,176621,BK,N,Y,Y,Y,N,Y
9010415834,176621,BK,N,Y,Y,Y,N,Y
9010418088,17466,BK,N,Y,Y,Y,N,Y
9010418562,12708,BK,N,Y,Y,N,N,Y
9010418562,12708,BK,N,Y,Y,N,N,Y
9010419054,12517,BK,N,Y,Y,Y,N,Y
9010419054,12517,BK,N,Y,Y,Y,N,Y
9010420853,2772,BK,N,Y,Y,Y,N,Y
9010420983,17771,BK,N,Y,Y,Y,N,Y
9010420983,17771,BK,N,Y,Y,Y,N,Y
9010422417,17466,BK,N,Y,Y,Y,N,Y
9010422722,12776,BK,N,Y,Y,Y,N,Y
9010422722,12776,BK,N,Y,Y,Y,N,Y
9010422977,696354,B1,Y,N,Y,Y,N,Y
9010422977,696354,B1,Y,N,Y,Y,N,Y
9010422977,590346,B2,Y,N,Y,Y,N,Y
9010422977,590346,B2,Y,N,Y,Y,N,Y
9010422977,17040,BK,N,Y,Y,N,N,Y
9010422977,17040,BK,N,Y,Y,N,N,Y
9010422977,342153,IN,Y,N,Y,Y,N,Y
9010422977,342153,IN,Y,N,Y,Y,N,Y
9010422977,342153,PA,Y,N,Y,Y,N,Y
9010422977,342153,PA,Y,N,Y,Y,N,Y
9010422977,342153,PO,Y,N,Y,Y,N,Y
9010422977,342153,PO,Y,N,Y,Y,N,Y
9010425718,2412,BK,N,Y,Y,Y,N,Y
9010425928,12776,BK,N,Y,Y,Y,N,Y
9010425928,12776,BK,N,Y,Y,Y,N,Y
9010425944,16064,BK,N,Y,Y,Y,N,Y
9010426657,10683,BK,N,Y,Y,N,N,Y
9010426657,10683,BK,N,Y,Y,N,N,Y
9010426858,12305,BK,N,Y,Y,Y,N,Y
9010426858,12305,BK,N,Y,Y,Y,N,Y
9010426859,12381,BK,N,Y,Y,N,N,Y
9010426859,12381,BK,N,Y,Y,N,N,Y
9010426961,12059,BK,N,Y,Y,N,N,Y
9010427456,12776,BK,N,Y,Y,Y,N,Y
9010427456,12776,BK,N,Y,Y,Y,N,Y
9010427457,12776,BK,N,Y,Y,Y,N,Y
9010427457,12776,BK,N,Y,Y,Y,N,Y
9010429259,17925,BK,N,Y,Y,N,N,Y
9010429532,16807,BK,N,Y,Y,N,N,Y
9010429532,16807,BK,N,Y,Y,N,N,Y
9010429558,3365,BK,N,Y,Y,N,N,Y
9010429710,17802,BK,N,Y,Y,Y,N,Y
9010429711,29303,BK,N,Y,Y,Y,N,Y
9010429958,3419,BK,N,Y,Y,N,N,Y
9010429958,3419,BK,N,Y,Y,N,N,Y
9010429965,2886,BK,N,Y,Y,N,N,Y
9010429965,2886,BK,N,Y,Y,N,N,Y
9010430017,3419,BK,N,Y,Y,N,N,Y
9010430017,3419,BK,N,Y,Y,N,N,Y
9010430023,2778,BK,N,Y,Y,N,N,Y
9010430023,2778,BK,N,Y,Y,N,N,Y
9010430086,2855,BK,N,Y,Y,N,N,Y
9010430086,2855,BK,N,Y,Y,N,N,Y
9010430296,28784,BK,N,Y,Y,Y,N,Y
9010430993,2862,BK,N,Y,Y,N,N,Y
9010430993,2862,BK,N,Y,Y,N,N,Y
9010431510,11921,BK,N,Y,Y,N,N,Y
9010432120,697442,B2,N,N,N,N,N,Y
9010432120,697442,B2,N,N,N,N,N,Y
9010432254,2951,BK,N,Y,Y,N,N,Y
9010432254,2951,BK,N,Y,Y,N,N,Y
9010432414,16984,BK,N,Y,Y,N,N,Y
9010432414,16984,BK,N,Y,Y,N,N,Y
9010432631,10273,BK,N,Y,Y,N,N,Y
9010432782,18134,BK,N,Y,Y,N,N,Y
9010432865,3419,BK,N,Y,Y,N,N,Y
9010432865,3419,BK,N,Y,Y,N,N,Y
9010432866,3419,BK,N,Y,Y,N,N,Y
9010432866,3419,BK,N,Y,Y,N,N,Y
9010433630,3365,BK,N,Y,Y,N,N,Y
9010433786,3365,BK,N,Y,Y,N,N,Y
9010434092,14060,BK,N,Y,Y,Y,N,Y
9010434419,3419,BK,N,Y,Y,N,N,Y
9010434419,3419,BK,N,Y,Y,N,N,Y
9010434421,2916,BK,N,Y,Y,N,N,Y
9010434421,2916,BK,N,Y,Y,N,N,Y
9010434422,2916,BK,N,Y,Y,N,N,Y
9010434422,2916,BK,N,Y,Y,N,N,Y
9010434424,2916,BK,N,Y,Y,N,N,Y
9010434424,2916,BK,N,Y,Y,N,N,Y
9010434544,3419,BK,N,Y,Y,N,N,Y
9010434544,3419,BK,N,Y,Y,N,N,Y
9010434659,2916,BK,N,Y,Y,N,N,Y
9010434659,2916,BK,N,Y,Y,N,N,Y
9010434747,14327,BK,N,Y,Y,N,N,Y
9010434876,2864,BK,Y,Y,Y,N,N,Y
9010434876,2864,BK,Y,Y,Y,N,N,Y
9010435248,560066,B2,N,N,N,N,N,Y
9010435248,14268,BK,N,Y,Y,N,N,Y
9010435248,588564,IN,N,Y,Y,Y,N,Y
9010435248,588564,PA,N,Y,Y,Y,N,Y
9010435248,588564,PE,N,Y,Y,Y,N,Y
9010435248,588564,PO,N,Y,Y,Y,N,Y
9010435466,15456,BK,N,Y,Y,N,N,Y
9010435609,14327,BK,N,Y,Y,N,N,Y
9010435671,14078,BK,N,Y,Y,N,N,Y
9010435672,14078,BK,N,Y,Y,N,N,Y
