reconstructed_claim_id,policy_number,claim_family,reconstructed_net_payment,raw_transaction_total,balancing_difference,balancing_gap_percent,balancing_gap_category,likely_missing_components,likely_grouping_issue,likely_reversal_issue,confidence_level,reconciliation_notes
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,9010331768,SURRENDER_CLAIM,0.0,602.44,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,9010331768,SURRENDER_CLAIM,0.0,629.65,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,9010331768,SURRENDER_CLAIM,0.0,634.15,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,9010331768,SURRENDER_CLAIM,0.0,610.51,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,9010331768,SURRENDER_CLAIM,0.0,635.4,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,9010331768,SURRENDER_CLAIM,0.0,202.33,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,9010331768,SURRENDER_CLAIM,0.0,603.83,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,9010331768,SURRENDER_CLAIM,0.0,589.3,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,9010346921,SURRENDER_CLAIM,0.0,70.9,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,9010346921,SURRENDER_CLAIM,0.0,214.74,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,9010346921,SURRENDER_CLAIM,0.0,218.24,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,9010346921,SURRENDER_CLAIM,0.0,74.64,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,9010346921,SURRENDER_CLAIM,0.0,224.83,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,9010346921,SURRENDER_CLAIM,0.0,109.78,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,9010346921,SURRENDER_CLAIM,0.0,204.43,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,9010346921,SURRENDER_CLAIM,0.0,213.9,0.0,0.0,BALANCED,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,N,N,HIGH,Components reconcile within tolerance
