reconstructed_claim_id,policy_number,claim_family,funding_codes,payout_codes,in_group_lag_days,cross_claim_linked_id,cross_claim_payout_total,cross_claim_lag_days,delayed_linkage_candidate,linkage_basis,confidence_level
RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,9010367438,SURRENDER_CLAIM,,,0,RC-9010367438-1-DEATH_CLAIM-C0-20211110,4469.37,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010382931-1-SURRENDER_CLAIM-C4-20220117,9010382931,SURRENDER_CLAIM,,,24,RC-9010382931-1-DEATH_CLAIM-C0-20220210,17290.3,24,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010391359-1-SURRENDER_CLAIM-C4-20211119,9010391359,SURRENDER_CLAIM,,,0,RC-9010391359-1-DEATH_CLAIM-C0-20211119,1260.06,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010392493-1-SURRENDER_CLAIM-C0-20200210,9010392493,SURRENDER_CLAIM,0560,,0,RC-9010392493-1-DISBURSEMENT_CLAIM-C0-20200210,18738.3,0,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010393181-1-SURRENDER_CLAIM-C1-20190701,9010393181,SURRENDER_CLAIM,0560,,0,RC-9010393181-1-DISBURSEMENT_CLAIM-C0-20190702,2393.21,1,Y,CROSS_CLAIM,INFERRED
RC-9010393931-1-SURRENDER_CLAIM-C0-20251208,9010393931,SURRENDER_CLAIM,0560,,0,RC-9010393931-1-DISBURSEMENT_CLAIM-C0-20251215,9141.86,7,Y,CROSS_CLAIM,INFERRED
RC-9010395382-1-SURRENDER_CLAIM-C6-20240528,9010395382,SURRENDER_CLAIM,,,0,RC-9010395382-1-DEATH_CLAIM-C0-20240528,4012.31,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010404857-1-SURRENDER_CLAIM-C0-20180118,9010404857,SURRENDER_CLAIM,,,0,RC-9010404857-1-DEATH_CLAIM-C0-20180118,6292.7,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010417200-1-SURRENDER_CLAIM-C2-20200501,9010417200,SURRENDER_CLAIM,,,20,RC-9010417200-1-DEATH_CLAIM-C0-20200521,3283.18,20,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010426657-1-DISBURSEMENT_CLAIM-C0-20221122,9010426657,DISBURSEMENT_CLAIM,,0090,0,RC-9010426657-1-DEATH_CLAIM-C0-20220923,484.5,7,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010434747-1-DISBURSEMENT_CLAIM-C0-20190719,9010434747,DISBURSEMENT_CLAIM,,0090,0,RC-9010434747-1-DEATH_CLAIM-C1-20190719,8205.6,0,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010438821-1-SURRENDER_CLAIM-C1-20190315,9010438821,SURRENDER_CLAIM,,,18,RC-9010438821-1-DEATH_CLAIM-C0-20190402,15476.47,18,Y,CROSS_CLAIM,LOW_CONFIDENCE
