reconstructed_claim_id,policy_number,claim_family,payout_event_count,payout_total,funding_total,staged_settlement_flag,beneficiary_distribution_ready,confidence_level,notes
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,DEATH_CLAIM,4,1134.57,1000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,DEATH_CLAIM,5,19446.62,10189.69,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,DEATH_CLAIM,3,4469.37,3580.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,DEATH_CLAIM,2,11706.76,10009.54,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,DEATH_CLAIM,4,11999.81,11000.33,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010392493-1-DISBURSEMENT_CLAIM-C0-20200210,9010392493,DISBURSEMENT_CLAIM,3,18738.3,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010392763-1-DEATH_CLAIM-C0-20220408,9010392763,DEATH_CLAIM,4,5098.01,4188.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010395879-1-DEATH_CLAIM-C0-20230114,9010395879,DEATH_CLAIM,7,4916.26,4348.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010397318-1-DEATH_CLAIM-C0-20200409,9010397318,DEATH_CLAIM,2,3626.03,3626.03,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010398274-1-DEATH_CLAIM-C0-20240313,9010398274,DEATH_CLAIM,4,15088.91,8009.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010398591-1-DEATH_CLAIM-C0-20190827,9010398591,DEATH_CLAIM,9,11683.11,6225.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
