reconstructed_claim_id,policy_number,claim_family,settlement_chain_id,chain_status,confidence_level,confidence_rationale,funding_total,payout_total,effective_payout_total,offset_total,lifecycle_only_total,lag_days,cross_claim_linked_id,cross_claim_lag_days,first_activity_date,latest_activity_date,original_balancing_status,revised_balancing_status,balancing_impact_observation,settlement_notes
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,9010149834,SURRENDER_CLAIM,RC-9010149834-1-SURRENDER_CLAIM-C0-20180302-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,831.92,0.0,0.0,0.0,0.0,0,,,20180302,20180302,UNBALANCED,UNBALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,DEATH_CLAIM,RC-9010150740-1-DEATH_CLAIM-C0-20230509-SC,PARTIAL_CHAIN,MODERATE_CONFIDENCE,Funding and payout linked but amounts diverge beyond tolerance,1500.0,3213.59,3213.59,0.0,1713.59,0,,,20230509,20230509,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,DEATH_CLAIM,RC-9010150910-1-DEATH_CLAIM-C0-20200423-SC,MULTI_PAYOUT_CHAIN,MODERATE_CONFIDENCE,Multiple payout events in settlement chain,1000.0,1134.57,1134.57,0.0,7.05,0,,,20200423,20200423,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,DEATH_CLAIM,RC-9010150910-3-DEATH_CLAIM-C0-20200423-SC,FUNDED_NO_DISBURSEMENT,LOW_CONFIDENCE,Funding without observed payout linkage,127.52,0.0,0.0,0.0,0.0,0,,,20200423,20200423,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,9010154425,DISBURSEMENT_CLAIM,RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203-SC,PAYOUT_ONLY,HIGH_CONFIDENCE,Disbursement payout-only profile; semantic alignment confirmed,0.0,2107.95,2107.95,0.0,0.0,0,,,20201203,20201203,UNBALANCED,BALANCED,UNBALANCED -> BALANCED,Payout-only event chain; no gross funding reconstruction required.
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,9010185592,SURRENDER_CLAIM,RC-9010185592-1-SURRENDER_CLAIM-C0-20191211-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,851.9,0.0,0.0,0.0,0.0,0,,,20191211,20191211,UNBALANCED,UNBALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,9010235370,DISBURSEMENT_CLAIM,RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902-SC,PAYOUT_ONLY,HIGH_CONFIDENCE,Disbursement payout-only profile; semantic alignment confirmed,0.0,3517.03,3517.03,0.0,0.0,0,,,20210902,20210902,UNBALANCED,BALANCED,UNBALANCED -> BALANCED,Payout-only event chain; no gross funding reconstruction required.
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,DEATH_CLAIM,RC-9010331157-1-DEATH_CLAIM-C0-20190315-SC,MULTI_PAYOUT_CHAIN,MODERATE_CONFIDENCE,Multiple payout events in settlement chain,10189.69,19446.62,19446.62,0.0,9256.93,0,,,20190315,20190315,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,9010331768,SURRENDER_CLAIM,RC-9010331768-1-SURRENDER_CLAIM-C0-20180724-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,602.44,0.0,31,,,20180724,20180824,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,9010331768,SURRENDER_CLAIM,RC-9010331768-1-SURRENDER_CLAIM-C1-20190724-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,629.65,0.0,7,,,20190724,20190731,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,9010331768,SURRENDER_CLAIM,RC-9010331768-1-SURRENDER_CLAIM-C2-20200724-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,634.15,0.0,3,,,20200724,20200727,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,9010331768,SURRENDER_CLAIM,RC-9010331768-1-SURRENDER_CLAIM-C3-20210724-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,610.51,0.0,24,,,20210724,20210817,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,9010331768,SURRENDER_CLAIM,RC-9010331768-1-SURRENDER_CLAIM-C4-20220724-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,635.4,0.0,2,,,20220724,20220726,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,9010331768,SURRENDER_CLAIM,RC-9010331768-1-SURRENDER_CLAIM-C5-20230721-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,202.33,0.0,3,,,20230721,20230724,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
