reconstructed_claim_id,policy_number,payee_distribution_status,confidence_level,relationship_code_quality,payout_count_alignment,address_completeness,tax_id_completeness,confidence_rationale
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,MULTI_BENEFICIARY_SPLIT,MODERATE_CONFIDENCE,STRONG,MATCH,Y,Y,MULTI_BENEFICIARY_SPLIT with relationship hierarchy support
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,SINGLE_PAYEE_MATCH,INFERRED,STRONG,MATCH,Y,N,Rule-based default payee distribution inference
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,N,No deterministic payee assignment available
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010382931-2-DEATH_CLAIM-C0-20220210,9010382931,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010385491-1-DEATH_CLAIM-C1-20210707,9010385491,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010385491-2-DEATH_CLAIM-C0-20190501,9010385491,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010389651-1-DEATH_CLAIM-C0-20240727,9010389651,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010389651-2-DEATH_CLAIM-C0-20240727,9010389651,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010391359-1-DEATH_CLAIM-C0-20211119,9010391359,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010391359-2-DEATH_CLAIM-C0-20211119,9010391359,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
