reconstructed_claim_id,policy_number,payee_distribution_status,payout_sequence,payout_code,payout_date,payout_amount,assigned_name_id,assigned_relate_code,assignment_basis,inferred_share_pct,confidence_level
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,SINGLE_PAYEE_MATCH,1,0094,20230509,3213.59,696234,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,MULTI_BENEFICIARY_SPLIT,1,0094,20200423,283.65,710185,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,MULTI_BENEFICIARY_SPLIT,2,0094,20200423,283.64,710186,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,MULTI_BENEFICIARY_SPLIT,3,0094,20200423,283.64,710187,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,MULTI_BENEFICIARY_SPLIT,4,0094,20200423,283.64,710188,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,MULTI_BENEFICIARY_SPLIT,1,0094,20190315,3889.33,709555,PE,MULTI_BENEFICIARY_ORDER,20.00,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,MULTI_BENEFICIARY_SPLIT,2,0094,20190315,3889.33,709556,PE,MULTI_BENEFICIARY_ORDER,20.00,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,MULTI_BENEFICIARY_SPLIT,3,0094,20190315,3889.32,709557,PE,MULTI_BENEFICIARY_ORDER,20.00,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,MULTI_BENEFICIARY_SPLIT,4,0094,20190315,3889.32,709558,PE,MULTI_BENEFICIARY_ORDER,20.00,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,MULTI_BENEFICIARY_SPLIT,5,0094,20190315,3889.32,709559,PE,MULTI_BENEFICIARY_ORDER,20.00,HIGH_CONFIDENCE
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,SINGLE_PAYEE_MATCH,1,0094,20180422,11777.05,581281,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,SINGLE_PAYEE_MATCH,1,0094,20220917,7770.08,696406,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,MULTI_BENEFICIARY_SPLIT,1,0094,20211110,1489.79,696433,PE,MULTI_BENEFICIARY_ORDER,33.33,HIGH_CONFIDENCE
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,MULTI_BENEFICIARY_SPLIT,2,0094,20211110,1489.79,711405,PE,MULTI_BENEFICIARY_ORDER,33.33,HIGH_CONFIDENCE
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,MULTI_BENEFICIARY_SPLIT,3,0094,20211110,1489.79,711406,PE,MULTI_BENEFICIARY_ORDER,33.33,HIGH_CONFIDENCE
