reconstructed_claim_id,policy_number,trustee_name_id,trustee_relate_code,payout_event_count,payout_total,trustee_managed_flag,payee_distribution_status,confidence_level
RC-9010392763-1-DEATH_CLAIM-C0-20220408,9010392763,704465,PW,4,5098.01,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010392763-2-DEATH_CLAIM-C0-20220408,9010392763,704465,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010397318-1-DEATH_CLAIM-C0-20200409,9010397318,707078,PW,2,3626.03,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010403922-1-DEATH_CLAIM-C0-20240412,9010403922,709992,PW,1,9666.78,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010403922-1-DEATH_CLAIM-C0-20240412,9010403922,709993,PW,1,9666.78,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010403922-2-DEATH_CLAIM-C0-20240412,9010403922,709992,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010403922-2-DEATH_CLAIM-C0-20240412,9010403922,709993,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010406795-1-DEATH_CLAIM-C0-20180706,9010406795,691613,PW,1,8750.51,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010406795-2-DEATH_CLAIM-C0-20180706,9010406795,691613,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010410714-1-DEATH_CLAIM-C0-20190611,9010410714,693737,PW,1,6140.25,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010410714-1-DEATH_CLAIM-C0-20190611,9010410714,709390,PW,1,6140.25,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010410714-2-DEATH_CLAIM-C0-20190611,9010410714,693737,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010410714-2-DEATH_CLAIM-C0-20190611,9010410714,709390,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010445131-1-DEATH_CLAIM-C0-20201201,9010445131,705266,PW,1,5644.66,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010449559-1-DEATH_CLAIM-C0-20190126,9010449559,698611,PW,1,7316.82,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010449559-2-DEATH_CLAIM-C0-20190126,9010449559,698611,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010457291-1-DEATH_CLAIM-C0-20211126,9010457291,707101,PW,1,8829.12,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010457291-1-DEATH_CLAIM-C0-20211126,9010457291,707102,PW,1,8829.12,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010457291-2-DEATH_CLAIM-C0-20211126,9010457291,707101,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010457291-2-DEATH_CLAIM-C0-20211126,9010457291,707102,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010464870-1-DEATH_CLAIM-C0-20240121,9010464870,696694,PW,4,2959.7,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010464870-1-DEATH_CLAIM-C0-20240121,9010464870,712407,PW,4,2959.7,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010464870-2-DEATH_CLAIM-C0-20240121,9010464870,696694,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010464870-2-DEATH_CLAIM-C0-20240121,9010464870,712407,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010473137-1-DEATH_CLAIM-C0-20190807,9010473137,702950,PW,1,5224.98,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010473137-2-DEATH_CLAIM-C0-20190807,9010473137,702950,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010476803-1-DEATH_CLAIM-C0-20180107,9010476803,694577,PW,6,4859.27,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010476803-1-DEATH_CLAIM-C0-20180107,9010476803,694576,PW,6,4859.27,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010476803-2-DEATH_CLAIM-C0-20180107,9010476803,694576,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010476803-2-DEATH_CLAIM-C0-20180107,9010476803,694577,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010498153-1-DEATH_CLAIM-C0-20240405,9010498153,704288,PW,2,8136.19,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010498153-2-DEATH_CLAIM-C0-20240405,9010498153,704288,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010607249-1-DEATH_CLAIM-C0-20221102,9010607249,705459,PW,3,9672.81,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010607249-2-DEATH_CLAIM-C0-20221102,9010607249,705459,PW,0,0.0,N,PAYEE_UNRESOLVED,LOW_CONFIDENCE
RC-9010741943-1-DEATH_CLAIM-C0-20250718,9010741943,691142,PW,1,39515.55,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010744412-1-DEATH_CLAIM-C0-20221103,9010744412,710656,PW,1,11674.77,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010745344-1-DEATH_CLAIM-C0-20180225,9010745344,314287,PW,2,40170.01,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010745640-1-DEATH_CLAIM-C0-20230901,9010745640,695463,PW,3,15076.12,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010747241-1-DEATH_CLAIM-C0-20180806,9010747241,708021,PW,4,14770.08,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010748404-1-DEATH_CLAIM-C0-20181106,9010748404,646372,PW,8,20088.04,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010748404-1-DEATH_CLAIM-C1-20190131,9010748404,646372,PW,1,10000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010749054-1-DEATH_CLAIM-C0-20190313,9010749054,704359,PW,1,10174.71,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010757542-1-DEATH_CLAIM-C0-20180120,9010757542,697184,PW,5,8156.69,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010757551-1-DEATH_CLAIM-C0-20250918,9010757551,712658,PW,1,11149.15,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010759559-1-DEATH_CLAIM-C0-20190525,9010759559,598475,PW,4,10019.36,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010759559-1-DEATH_CLAIM-C1-20190826,9010759559,598475,PW,2,27500.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010759932-1-DEATH_CLAIM-C0-20220518,9010759932,709545,PW,1,25000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010759932-1-DEATH_CLAIM-C0-20220518,9010759932,709546,PW,1,25000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010761943-1-DEATH_CLAIM-C0-20200109,9010761943,689412,PW,4,8975.78,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010761943-1-DEATH_CLAIM-C0-20200109,9010761943,689413,PW,4,8975.78,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010769032-1-DEATH_CLAIM-C0-20200602,9010769032,706843,PW,1,10000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010769032-1-DEATH_CLAIM-C0-20200602,9010769032,706844,PW,1,10000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010771654-1-DEATH_CLAIM-C0-20240227,9010771654,708059,PW,1,14220.53,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010772683-1-DEATH_CLAIM-C0-20230618,9010772683,708486,PW,1,5017.47,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010772683-1-DEATH_CLAIM-C0-20230618,9010772683,708485,PW,1,5017.47,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010774109-1-DEATH_CLAIM-C0-20201120,9010774109,705023,PW,2,9942.49,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010774109-1-DEATH_CLAIM-C0-20201120,9010774109,705024,PW,2,9942.49,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010784045-1-DEATH_CLAIM-C0-20180702,9010784045,706223,PW,1,5000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010784529-1-DEATH_CLAIM-C0-20231210,9010784529,707672,PW,1,17802.73,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010784529-1-DEATH_CLAIM-C0-20231210,9010784529,707673,PW,1,17802.73,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010789348-1-DEATH_CLAIM-C0-20250516,9010789348,710994,PW,1,8505.58,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010790176-1-DEATH_CLAIM-C0-20240318,9010790176,712516,PW,1,20000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010791078-1-DEATH_CLAIM-C0-20211222,9010791078,688020,PW,1,7638.55,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010796325-1-DEATH_CLAIM-C0-20250323,9010796325,711804,PW,1,9102.19,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010796325-1-DEATH_CLAIM-C0-20250323,9010796325,711805,PW,1,9102.19,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010799472-1-DEATH_CLAIM-C0-20180107,9010799472,694576,PW,6,20255.35,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010799472-1-DEATH_CLAIM-C0-20180107,9010799472,694577,PW,6,20255.35,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010799821-1-DEATH_CLAIM-C0-20210602,9010799821,704477,PW,4,16647.17,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010799821-1-DEATH_CLAIM-C0-20210602,9010799821,704476,PW,4,16647.17,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010800667-1-DEATH_CLAIM-C0-20181022,9010800667,360914,PW,1,9218.66,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010801398-1-DEATH_CLAIM-C0-20230317,9010801398,710038,PW,2,29306.86,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010801734-1-DEATH_CLAIM-C0-20200922,9010801734,708795,PW,3,14694.65,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010801734-1-DEATH_CLAIM-C1-20210526,9010801734,708795,PW,2,7347.34,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010802188-1-DEATH_CLAIM-C0-20200614,9010802188,709183,PW,1,11112.47,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010803244-1-DEATH_CLAIM-C0-20180127,9010803244,590592,PW,1,9831.54,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010803993-1-DEATH_CLAIM-C0-20240625,9010803993,712561,PW,1,15856.57,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010810612-1-DEATH_CLAIM-C0-20180817,9010810612,707851,PW,1,8897.31,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010811652-1-DEATH_CLAIM-C0-20180501,9010811652,687220,PW,2,15000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010811652-1-DEATH_CLAIM-C0-20180501,9010811652,687221,PW,2,15000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010813391-1-DEATH_CLAIM-C0-20220408,9010813391,704465,PW,5,14642.33,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010816156-1-DEATH_CLAIM-C0-20191029,9010816156,705154,PW,1,7362.63,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010820386-1-DEATH_CLAIM-C0-20191225,9010820386,709920,PW,1,11558.93,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010826532-1-DEATH_CLAIM-C0-20191114,9010826532,700757,PW,1,13588.35,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010826532-1-DEATH_CLAIM-C0-20191114,9010826532,700761,PW,1,13588.35,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010833639-1-DEATH_CLAIM-C0-20180322,9010833639,704254,PW,1,11172.69,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010840776-1-DEATH_CLAIM-C0-20180920,9010840776,684026,PW,2,10000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010842541-1-DEATH_CLAIM-C0-20180311,9010842541,706026,PW,1,5000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010848085-1-DEATH_CLAIM-C0-20211114,9010848085,708413,PW,2,10083.36,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010850270-1-DEATH_CLAIM-C0-20180127,9010850270,698318,PW,2,10065.1,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010851577-1-DEATH_CLAIM-C0-20190423,9010851577,706858,PW,2,9304.5,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010859462-1-DEATH_CLAIM-C0-20201118,9010859462,706812,PW,4,16877.14,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010860970-1-DEATH_CLAIM-C0-20200126,9010860970,709887,PW,1,11846.23,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010869452-1-DEATH_CLAIM-C0-20190106,9010869452,708274,PW,1,11096.13,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010881974-1-DEATH_CLAIM-C0-20220529,9010881974,707435,PW,1,5051.63,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010881974-1-DEATH_CLAIM-C0-20220529,9010881974,707434,PW,1,5051.63,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010881974-1-DEATH_CLAIM-C0-20220529,9010881974,707433,PW,1,5051.63,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010881975-1-DEATH_CLAIM-C0-20220730,9010881975,706752,PW,1,11620.3,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010883245-1-DEATH_CLAIM-C0-20211216,9010883245,711315,PW,1,5981.37,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010883246-1-DEATH_CLAIM-C0-20241225,9010883246,711315,PW,1,5043.29,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010888338-1-DEATH_CLAIM-C0-20220806,9010888338,694538,PW,1,6395.7,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010890622-1-DEATH_CLAIM-C0-20191026,9010890622,709621,CU,1,10016.78,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010893949-1-DEATH_CLAIM-C0-20201224,9010893949,707393,PW,1,13939.31,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010893949-1-DEATH_CLAIM-C0-20201224,9010893949,707394,PW,1,13939.31,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010896915-1-DEATH_CLAIM-C0-20191022,9010896915,707184,PW,1,9449.99,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010898692-1-DEATH_CLAIM-C0-20210827,9010898692,710247,PW,1,5000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010898692-1-DEATH_CLAIM-C0-20210827,9010898692,710248,PW,1,5000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010902761-1-DEATH_CLAIM-C0-20240714,9010902761,700286,PW,1,9776.89,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010915533-1-DEATH_CLAIM-C0-20190525,9010915533,707367,PW,1,50016.34,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010947866-1-DEATH_CLAIM-C0-20240825,9010947866,712607,PW,1,20000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010948195-1-DEATH_CLAIM-C0-20231211,9010948195,682557,PW,1,5826.66,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010979722-1-DEATH_CLAIM-C0-20191231,9010979722,709943,PW,1,7418.51,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010981739-1-DEATH_CLAIM-C0-20211114,9010981739,620838,PW,1,8176.67,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9010983828-1-DEATH_CLAIM-C0-20190525,9010983828,707367,PW,1,100142.5,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011001984-1-DEATH_CLAIM-C0-20181017,9011001984,706657,PW,1,6000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011002095-1-DEATH_CLAIM-C0-20210112,9011002095,701862,PW,1,7305.37,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011002664-1-DEATH_CLAIM-C0-20181207,9011002664,707314,PW,1,5016.05,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011014276-1-DEATH_CLAIM-C0-20200514,9011014276,710177,PW,1,10658.42,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011014276-1-DEATH_CLAIM-C0-20200514,9011014276,710178,PW,1,10658.42,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011014276-1-DEATH_CLAIM-C0-20200514,9011014276,710179,PW,1,10658.42,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011014276-1-DEATH_CLAIM-C0-20200514,9011014276,710180,PW,1,10658.42,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011015419-1-DEATH_CLAIM-C0-20210707,9011015419,710827,PW,2,15837.36,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011017841-1-DEATH_CLAIM-C0-20201014,9011017841,708621,PW,1,5000.0,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011035773-1-DEATH_CLAIM-C0-20180514,9011035773,703600,PW,1,9015.32,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011043749-1-DEATH_CLAIM-C0-20230707,9011043749,710764,PW,1,7000.44,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011045407-1-DEATH_CLAIM-C0-20210319,9011045407,710340,PW,1,6307.26,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011047402-1-DEATH_CLAIM-C0-20240121,9011047402,696694,PW,1,18306.2,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011047402-1-DEATH_CLAIM-C0-20240121,9011047402,712407,PW,1,18306.2,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011064567-1-DEATH_CLAIM-C0-20250521,9011064567,713165,PW,1,8755.87,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011069093-1-DEATH_CLAIM-C0-20221103,9011069093,710656,PW,1,4895.09,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
RC-9011073231-1-DEATH_CLAIM-C0-20201130,9011073231,710072,PW,2,12606.45,Y,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE
