AUTHORITY,CODE,LABEL
MSTATUS,10,Status 10
MSTATUS,12,Status 12
MSTATUS,21,Status 21
MSTATUS,22,Active
MSTATUS,32,Status 32
MSTATUS,41,Status 41
MSTATUS,42,Status 42
MSTATUS,44,ETI
MSTATUS,45,RPU
MSTATUS,50,Status 50
MSTATUS,53,Status 53
MSTATUS,54,Lapse
MSTATUS,55,Surrender
MSTATUS,56,Status 56
MSTATUS,57,Status 57
MSTATUS,90,Status 90
MBILLFRM,1,Direct
MBILLFRM,2,Bank draft / PAC
MBILLFRM,3,Group list
MBILLFRM,4,APL
MBILLFRM,A,Form A
MBILLFRM,C,Form C
MBILLFRM,X,Form X
MMODE,01,Annual
MMODE,03,Quarterly
MMODE,06,Semi-annual
MMODE,12,Monthly
MMODE,13,Mode 13
MMODE,24,Mode 24
MMODE,26,Mode 26
MMODE,52,Mode 52
MMODE,1,Annual (unpadded)
MMODE,3,Quarterly (unpadded)
MMODE,6,Semi-annual (unpadded)
MTYPE,I,Individual
MTYPE,B,Business / organization
MTAXIDTYPE,S,SSN
MTAXIDTYPE,E,EIN / employer tax ID
MLANGUAGE,E,English
MRELATION,INSD,Insured
MRELATION,OWNR,Owner
MRELATION,OWNC,Owner company
MRELATION,PAYR,Payer
MRELATION,PRIM,Primary
MRELATION,ASGN,Assignee
MRELATION,BENP,Primary beneficiary
MRELATION,BENC,Contingent beneficiary
MRELATION,BANK,Bank
MRELATION,CUST,Custodian
MRELATION,GRUP,Group
MRELATION,GUAR,Guardian
MRELATION,JOIN,Joint
MRELATION,MAIL,Mailing
MRELATION,SERV,Servicer
MRELATION,TRST,Trust
MRELATION,WAIT,Wait
MRELATION,PW,PW relationship
MRELATION,O1,O1 relationship
MNFOPT,0,None / default
MNFOPT,1,Option 1
MNFOPT,2,ETI
MNFOPT,3,RPU
MISSCLASS,00,Default class
MISSCNTRY,0000,Default country
