Area,Table,Record,Problem,Current Value,Required Value,Type,Reference
Plan Values,Cash Values,517F10 / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517F20 / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517F30 / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517P10 / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517P20 / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517P30 / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517R10 / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517R1F / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517T10 / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517T1R / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517T20 / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517T2R / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517T30 / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517T3R / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,517YRT / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,5RACTG / 0 / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
