Area,Table,Record,Problem,Current Value,Required Value,Type,Reference
Plan Setup,Annuity Expense Setup,AMINOR,Annuity plan AMINOR does not have a Annuity Expense Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Expense Setup,ASCWO1,Annuity plan ASCWO1 does not have a Annuity Expense Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Expense Setup,ASCWO2,Annuity plan ASCWO2 does not have a Annuity Expense Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Expense Setup,ASCWO3,Annuity plan ASCWO3 does not have a Annuity Expense Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Expense Setup,ASCWO4,Annuity plan ASCWO4 does not have a Annuity Expense Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Expense Setup,ASCWOL,Annuity plan ASCWOL does not have a Annuity Expense Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Guarantee Setup,A84723,Annuity plan A84723 does not have a Annuity Guarantee Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Guarantee Setup,A84919,Annuity plan A84919 does not have a Annuity Guarantee Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Guarantee Setup,A84925,Annuity plan A84925 does not have a Annuity Guarantee Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Guarantee Setup,A84929,Annuity plan A84929 does not have a Annuity Guarantee Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Guarantee Setup,A99916,Annuity plan A99916 does not have a Annuity Guarantee Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Guarantee Setup,ASCWLC,Annuity plan ASCWLC does not have a Annuity Guarantee Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Guarantee Setup,ASCWO1,Annuity plan ASCWO1 does not have a Annuity Guarantee Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Guarantee Setup,ASCWO2,Annuity plan ASCWO2 does not have a Annuity Guarantee Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Guarantee Setup,ASCWO3,Annuity plan ASCWO3 does not have a Annuity Guarantee Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Guarantee Setup,ASCWOL,Annuity plan ASCWOL does not have a Annuity Guarantee Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A23A42,Annuity plan A23A42 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A23A45,Annuity plan A23A45 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A23A49,Annuity plan A23A49 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A23A52,Annuity plan A23A52 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A23A55,Annuity plan A23A55 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A23A59,Annuity plan A23A59 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A23A62,Annuity plan A23A62 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
