mplan,parent_coverage,seq,segt_id,psetg_types,psetg_found
1658C1,658 CEN I,1,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658C1,658 CEN I,2,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658C1,658 CEN I,3,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658C1,658 CEN I,4,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658C1,658 CEN I,9,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658C1,658 CEN I,10,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658C1,658 CEN I,19,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658C1,658 CEN I,20,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658C1,658 CEN I,22,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658C1,658 CEN I,25,DEFRA,UL,Y
1658C1,658 CEN I,26,1576 658,PR|UM,Y
1658C1,658 CEN I,27,AA9B2,CC|CM,Y
1658C1,658 CEN I,28,BMA658,,N
1658C1,658 CEN I,29,BMA658,,N
1658C1,658 CEN I,30,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658C1,658 CEN I,31,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658C1,658 CEN I,33,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658C1,658 CEN I,34,IBA01 45,C1|IB,Y
1658C1,658 CEN I,35,L14,C2|CV|ET|IB|LN|NB|NF|NO|NP|PR|PU|RD|RV|TP|TX,Y
1658C1,658 CEN I,36,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658C1,658 CEN I,38,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658C1,658 CEN I,41,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658C1,658 CEN I,44,LIFEWCV,L0|L1|L2,Y
1658C1,658 CEN I,48,LIFE,BS|BT|DO,Y
1658CS,658 CEN SD,1,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658CS,658 CEN SD,2,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658CS,658 CEN SD,3,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658CS,658 CEN SD,4,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658CS,658 CEN SD,9,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658CS,658 CEN SD,10,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658CS,658 CEN SD,19,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658CS,658 CEN SD,20,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658CS,658 CEN SD,22,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658CS,658 CEN SD,25,DEFRA,UL,Y
1658CS,658 CEN SD,26,1576 658,PR|UM,Y
1658CS,658 CEN SD,27,GA4,CC|CM,Y
1658CS,658 CEN SD,28,BMA658,,N
1658CS,658 CEN SD,29,BMA658,,N
1658CS,658 CEN SD,30,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658CS,658 CEN SD,31,658 CEN SD,BP|CV|NP|RV,Y
1658CS,658 CEN SD,33,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658CS,658 CEN SD,34,IBA01 45,C1|IB,Y
1658CS,658 CEN SD,35,L14,C2|CV|ET|IB|LN|NB|NF|NO|NP|PR|PU|RD|RV|TP|TX,Y
1658CS,658 CEN SD,36,658 CEN SD,BP|CV|NP|RV,Y
1658CS,658 CEN SD,38,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1658CS,658 CEN SD,41,658 CEN I,BP|CV|NC|NF|NP|RD|RN|RV|RY|U6|UG|UH,Y
1658CS,658 CEN SD,44,LIFEWCV,L0|L1|L2,Y
1658CS,658 CEN SD,48,LIFE,BS|BT|DO,Y
1659C2,659 CEN II,1,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,2,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,3,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,4,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,9,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,10,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,19,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,20,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,22,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,25,DEFRA,UL,Y
1659C2,659 CEN II,26,1576 659,PR|UM,Y
1659C2,659 CEN II,27,AA9B1,CC|CM,Y
1659C2,659 CEN II,30,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,31,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,33,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,34,IBA01 45,C1|IB,Y
1659C2,659 CEN II,35,L14,C2|CV|ET|IB|LN|NB|NF|NO|NP|PR|PU|RD|RV|TP|TX,Y
1659C2,659 CEN II,36,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659C2,659 CEN II,38,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
