coverage_id,mplan,segment_code,qla_area,paagerat,pdage,rate_table_april,total
658 CEN I,1658C1,A1,QUIKUINT,0,0,0,0
658 CEN SD,1658CS,A1,QUIKUINT,0,0,0,0
659 CEN II,1659C2,A1,QUIKUINT,0,0,0,0
659 CEN SR,1659CR,A1,QUIKUINT,0,0,0,0
659 CEN SD,1659CS,A1,QUIKUINT,0,0,0,0
659 SR GD,1659SR,A1,QUIKUINT,0,0,0,0
669 SR GD,1669SR,A1,QUIKUINT,0,0,0,0
679 CEN SD,1679CS,A1,QUIKUINT,0,0,0,0
658 CEN I,1658C1,G1,QUIKUINT,0,0,0,0
658 CEN SD,1658CS,G1,QUIKUINT,0,0,0,0
659 CEN II,1659C2,G1,QUIKUINT,0,0,0,0
659 CEN SR,1659CR,G1,QUIKUINT,0,0,0,0
659 CEN SD,1659CS,G1,QUIKUINT,0,0,0,0
659 SR GD,1659SR,G1,QUIKUINT,0,0,0,0
669 SR GD,1669SR,G1,QUIKUINT,0,0,0,0
679 CEN SD,1679CS,G1,QUIKUINT,0,0,0,0
658 CEN I,1658C1,LN,QUIKUINT,0,0,0,0
658 CEN SD,1658CS,LN,QUIKUINT,0,0,0,0
659 CEN II,1659C2,LN,QUIKUINT,0,0,0,0
659 CEN SR,1659CR,LN,QUIKUINT,0,0,0,0
659 CEN SD,1659CS,LN,QUIKUINT,0,0,0,0
659 SR GD,1659SR,LN,QUIKUINT,0,0,0,0
669 SR GD,1669SR,LN,QUIKUINT,0,0,0,0
679 CEN SD,1679CS,LN,QUIKUINT,0,0,0,0
658 CEN I,1658C1,UF,Expenses,0,0,0,0
658 CEN SD,1658CS,UF,Expenses,0,0,0,0
659 CEN II,1659C2,UF,Expenses,0,12,1,13
659 CEN SR,1659CR,UF,Expenses,0,0,0,0
659 CEN SD,1659CS,UF,Expenses,0,0,0,0
659 SR GD,1659SR,UF,Expenses,0,0,0,0
669 SR GD,1669SR,UF,Expenses,0,0,0,0
679 CEN SD,1679CS,UF,Expenses,0,0,0,0
658 CEN I,1658C1,U1,Expenses,0,0,0,0
658 CEN SD,1658CS,U1,Expenses,0,0,0,0
659 CEN II,1659C2,U1,Expenses,0,0,0,0
659 CEN SR,1659CR,U1,Expenses,0,0,0,0
659 CEN SD,1659CS,U1,Expenses,0,0,0,0
659 SR GD,1659SR,U1,Expenses,0,0,0,0
669 SR GD,1669SR,U1,Expenses,0,0,0,0
679 CEN SD,1679CS,U1,Expenses,0,0,0,0
658 CEN I,1658C1,U2,Expenses,0,0,0,0
658 CEN SD,1658CS,U2,Expenses,0,0,0,0
659 CEN II,1659C2,U2,Expenses,0,0,0,0
659 CEN SR,1659CR,U2,Expenses,0,0,0,0
659 CEN SD,1659CS,U2,Expenses,0,0,0,0
659 SR GD,1659SR,U2,Expenses,0,0,0,0
669 SR GD,1669SR,U2,Expenses,0,0,0,0
679 CEN SD,1679CS,U2,Expenses,0,0,0,0
658 CEN I,1658C1,U3,Expenses,0,0,0,0
658 CEN SD,1658CS,U3,Expenses,0,0,0,0
659 CEN II,1659C2,U3,Expenses,0,0,0,0
659 CEN SR,1659CR,U3,Expenses,0,0,0,0
659 CEN SD,1659CS,U3,Expenses,0,0,0,0
659 SR GD,1659SR,U3,Expenses,0,0,0,0
669 SR GD,1669SR,U3,Expenses,0,0,0,0
679 CEN SD,1679CS,U3,Expenses,0,0,0,0
658 CEN I,1658C1,G2,Expenses,0,0,0,0
658 CEN SD,1658CS,G2,Expenses,0,0,0,0
659 CEN II,1659C2,G2,Expenses,0,0,0,0
659 CEN SR,1659CR,G2,Expenses,0,0,0,0
659 CEN SD,1659CS,G2,Expenses,0,0,0,0
659 SR GD,1659SR,G2,Expenses,0,0,0,0
669 SR GD,1669SR,G2,Expenses,0,0,0,0
