qla_area,segment_code,mplan,coverage_id,pcovrsgt_slot_count,pcovrsgt_active_segt_count,pcomp_component_count,hex_blob_code_hit,hex_hit_paths,paagerat_rows,pdage_rows,rate_table_rows,total_rate_rows,inferred_source_table,hierarchy_confirmed,pset_extract_present
QUIKUINT,A1,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKUINT,A1,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKUINT,A1,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKUINT,A1,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKUINT,A1,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKUINT,A1,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKUINT,A1,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKUINT,A1,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKUINT,G1,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKUINT,G1,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKUINT,G1,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKUINT,G1,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKUINT,G1,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKUINT,G1,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKUINT,G1,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKUINT,G1,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKUINT,LN,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKUINT,LN,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKUINT,LN,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKUINT,LN,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKUINT,LN,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKUINT,LN,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKUINT,LN,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKUINT,LN,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,UF,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,UF,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,UF,1659C2,659 CEN II,56,24,20,N,,0,12,1,13,PDAGE,Partial,N
Expenses,UF,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UF,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UF,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UF,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,UF,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,U1,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,U1,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,U1,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,U1,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,U1,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,U1,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,U1,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,U1,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,U2,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,U2,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,U2,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,U2,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,U2,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,U2,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,U2,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,U2,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,U3,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
