segment_code,mplan,coverage_id,psetg_slots,sample_segt_ids,paagerat_rows,pdage_rows,rate_table_rows,hierarchy_authoritative
U5,1658C1,658 CEN I,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U5,1658CS,658 CEN SD,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U5,1659C2,659 CEN II,17,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U5,1659CR,659 CEN SR,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U5,1659CS,659 CEN SD,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U5,1659SR,659 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U5,1669SR,669 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U5,1679CS,679 CEN SD,10,659 CEN II; 659 CEN II; 678 CEN SD,200,0,0,Y
U6,1658C1,658 CEN I,15,658 CEN I; 658 CEN I; 659 CEN II,0,0,0,Y
U6,1658CS,658 CEN SD,13,658 CEN I; 658 CEN I; 659 CEN II,400,0,0,Y
U6,1659C2,659 CEN II,17,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U6,1659CR,659 CEN SR,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U6,1659CS,659 CEN SD,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U6,1659SR,659 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U6,1669SR,669 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U6,1679CS,679 CEN SD,10,659 CEN II; 659 CEN II; 678 CEN SD,400,0,0,Y
BP,1658C1,658 CEN I,15,658 CEN I; 658 CEN I; 659 CEN II,0,0,0,Y
BP,1658CS,658 CEN SD,15,658 CEN I; 658 CEN I; 659 CEN II,444,0,0,Y
BP,1659C2,659 CEN II,17,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
BP,1659CR,659 CEN SR,17,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
BP,1659CS,659 CEN SD,17,659 CEN II; 659 CEN II; 659 CEN II,152,0,0,Y
BP,1659SR,659 SR GD,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
BP,1669SR,669 SR GD,15,659 CEN II; 659 CEN II; 659 CEN II,172,0,0,Y
BP,1679CS,679 CEN SD,15,679 CEN SD; 679 CEN SD; 659 CEN II,396,0,0,Y
CV,1658C1,658 CEN I,16,658 CEN I; 658 CEN I; 659 CEN II,0,2112,18124,Y
CV,1658CS,658 CEN SD,16,658 CEN I; 658 CEN I; 659 CEN II,0,1824,9113,Y
CV,1659C2,659 CEN II,18,659 CEN II; 659 CEN II; 659 CEN II,0,1104,9678,Y
CV,1659CR,659 CEN SR,18,659 CEN II; 659 CEN II; 659 CEN II,0,2064,9678,Y
CV,1659CS,659 CEN SD,18,659 CEN II; 659 CEN II; 659 CEN II,0,1824,9288,Y
CV,1659SR,659 SR GD,18,659 CEN II; 659 CEN II; 659 CEN II,0,1500,9700,Y
CV,1669SR,669 SR GD,18,659 CEN II; 659 CEN II; 659 CEN II,0,864,2340,Y
CV,1679CS,679 CEN SD,16,679 CEN SD; 679 CEN SD; 659 CEN II,0,792,4350,Y
A1,1658C1,658 CEN I,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
A1,1658CS,658 CEN SD,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
A1,1659C2,659 CEN II,17,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
A1,1659CR,659 CEN SR,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
A1,1659CS,659 CEN SD,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
A1,1659SR,659 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
A1,1669SR,669 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
A1,1679CS,679 CEN SD,7,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
G1,1658C1,658 CEN I,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
G1,1658CS,658 CEN SD,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
G1,1659C2,659 CEN II,17,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
G1,1659CR,659 CEN SR,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
G1,1659CS,659 CEN SD,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
G1,1659SR,659 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
G1,1669SR,669 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
G1,1679CS,679 CEN SD,7,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
LN,1658C1,658 CEN I,9,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
LN,1658CS,658 CEN SD,9,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
LN,1659C2,659 CEN II,18,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
LN,1659CR,659 CEN SR,16,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
LN,1659CS,659 CEN SD,16,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
LN,1659SR,659 SR GD,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
LN,1669SR,669 SR GD,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
LN,1679CS,679 CEN SD,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SR,1658C1,658 CEN I,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SR,1658CS,658 CEN SD,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SR,1659C2,659 CEN II,17,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SR,1659CR,659 CEN SR,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SR,1659CS,659 CEN SD,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SR,1659SR,659 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SR,1669SR,669 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SR,1679CS,679 CEN SD,7,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SL,1658C1,658 CEN I,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SL,1658CS,658 CEN SD,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SL,1659C2,659 CEN II,17,659 CEN II; 659 CEN II; 659 CEN II,0,12,14,Y
SL,1659CR,659 CEN SR,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SL,1659CS,659 CEN SD,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SL,1659SR,659 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SL,1669SR,669 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
SL,1679CS,679 CEN SD,7,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
UF,1658C1,658 CEN I,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
UF,1658CS,658 CEN SD,8,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
UF,1659C2,659 CEN II,17,659 CEN II; 659 CEN II; 659 CEN II,0,12,1,Y
UF,1659CR,659 CEN SR,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
UF,1659CS,659 CEN SD,15,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
UF,1659SR,659 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
UF,1669SR,669 SR GD,14,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
UF,1679CS,679 CEN SD,7,659 CEN II; 659 CEN II; 659 CEN II,0,0,0,Y
U1,1658C1,658 CEN I,0,,0,0,0,N
U1,1658CS,658 CEN SD,0,,0,0,0,N
U1,1659C2,659 CEN II,0,,0,0,0,N
U1,1659CR,659 CEN SR,0,,0,0,0,N
U1,1659CS,659 CEN SD,0,,0,0,0,N
U1,1659SR,659 SR GD,0,,0,0,0,N
U1,1669SR,669 SR GD,0,,0,0,0,N
U1,1679CS,679 CEN SD,0,,0,0,0,N
U2,1658C1,658 CEN I,0,,0,0,0,N
U2,1658CS,658 CEN SD,0,,0,0,0,N
U2,1659C2,659 CEN II,0,,0,0,0,N
