internal_path,filename,lines_scanned,matched_terms,total_hits,error,columns,sample_rows,iswl_rows,iswl_column,level_guess
PPHSTTYP_PolicyBenefitHistoryTYP_Extract_20260530.csv,PPHSTTYP_PolicyBenefitHistoryTYP_Extract_20260530.csv,131276,659 CEN:76620; 659 CEN SR:63899; 659 CEN II:12528; 658 CEN:3260; 658 CEN I:3120; 659 SR GD:1190; 659 CEN SD:193; 669 SR:174; 669 SR GD:174; 658 CEN SD:140; 679 CEN SD:66; 679 CEN:66,161430,,COMPANY_CODE|POLICY_NUMBER|SEQ|CHANGE_DATE|CHANGE_TIME|BENEFIT_SEQ|BENEFIT_TYPE|PROCESSED_TO_DATE|STATUS_CODE|STATUS_REASON|STATUS_DATE|PLAN_CODE|ISSUE_DATE|PARENT_BENEFIT_SEQ|PAY_UP_DATE|MATURE_EXPIRE_DATE|PROCESSING_CYCLE|INF_RIDER_SEQ|BEN_CHG_DATE|BEN_CHG_TIME|DATE_BIRTH|ISSUE_AGE|UWCLS|SEX_CODE|DEATH_IND|DATE_BIRTH_2ND_INS|ISSUE_AGE_2ND_INS|UWCLS_2ND_INS|SEX_CODE_2ND_INS|DEATH_IND_2ND_INS,"[{""COMPANY_CODE"": ""------------"", ""POLICY_NUMBER"": ""-------------"", ""SEQ"": ""------"", ""CHANGE_DATE"": ""-----------"", ""CHANGE_TIME"": ""-----------"", ""BENEFIT_SEQ"": ""-----------"", ""BENEFIT_TYPE"": ""------------"", ""PROCESSED_TO_DATE"": ""-----------------"", ""STATUS_CODE"": ""-----------"", ""STATUS_REASON"": ""-------------"", ""STATUS_DATE"": ""-----------"", ""PLAN_CODE"": ""----------"", ""ISSUE_DATE"": ""-----------"", ""PARENT_BENEFIT_SEQ"": ""------------------"", ""PAY_UP_DATE"": ""-----------"", ""MATURE_EXPIRE_DATE"": ""------------------"", ""PROCESSING_CYCLE"": ""----------------"", ""INF_RIDER_SEQ"": ""-------------"", ""BEN_CHG_DATE"": ""------------"", ""BEN_CHG_TIME"": ""------------"", ""DATE_BIRTH"": ""-----------"", ""ISSUE_AGE"": ""---------"", ""UWCLS"": ""-----"", ""SEX_CODE"": ""--------"", ""DEATH_IND"": ""---------"", ""DATE_BIRTH_2ND_INS"": ",81310,PLAN_CODE,benefit-level
PPOLX_PolicyExhibitDetail_Extract_20260530.csv,PPOLX_PolicyExhibitDetail_Extract_20260530.csv,103551,659 CEN:74267; 659 CEN SR:63726; 659 CEN II:10368; 659 SR GD:1200; 658 CEN:843; 658 CEN I:805; 669 SR:177; 669 SR GD:177; 659 CEN SD:173; 679 CEN SD:60; 679 CEN:60; 658 CEN SD:38; 1659C2:18,151912,,COMPANY_CODE|ISSUE_STATE|TRANSACTION_CODE|POLICY_NUMBER|BENEFIT_SEQUENCE|CHANGE_DATE|CHANGE_TIME|RES_STATE|LINE_OF_BUSINESS|BENEFIT_TYPE|STATUS_CODE|STATUS_REASON|PRODUCT_TYPE|POLX_PLAN|FACE_AMT_CHANGE|TRACKING_STATUS|TRACKING_REASON|TRACKING_CODER|PP_PT_EXH_TYPE|POLX_UPD_COUNT|POLX_KEY0|ROW_COLUMN,"[{""COMPANY_CODE"": ""------------"", ""ISSUE_STATE"": ""-----------"", ""TRANSACTION_CODE"": ""----------------"", ""POLICY_NUMBER"": ""-------------"", ""BENEFIT_SEQUENCE"": ""----------------"", ""CHANGE_DATE"": ""-----------"", ""CHANGE_TIME"": ""-----------"", ""RES_STATE"": ""---------"", ""LINE_OF_BUSINESS"": ""----------------"", ""BENEFIT_TYPE"": ""------------"", ""STATUS_CODE"": ""-----------"", ""STATUS_REASON"": ""-------------"", ""PRODUCT_TYPE"": ""------------"", ""POLX_PLAN"": ""----------"", ""FACE_AMT_CHANGE"": ""---------------"", ""TRACKING_STATUS"": ""---------------"", ""TRACKING_REASON"": ""---------------"", ""TRACKING_CODER"": ""--------------"", ""PP_PT_EXH_TYPE"": ""--------------"", ""POLX_UPD_COUNT"": ""--------------"", ""POLX_KEY0"": ""--------------------------------------------------------------------------"", ""ROW_COLUMN"": ""-------------",0,,unknown
PLOAN_LoanInformation_Extract_20260530.csv,PLOAN_LoanInformation_Extract_20260530.csv,93859,659 CEN:29529; 659 CEN II:24175; 658 CEN:19671; 658 CEN I:18598; 659 CEN SR:5094; 658 CEN SD:1073; 659 CEN SD:260; 679 CEN SD:68; 679 CEN:68; 659 SR GD:2,98538,,COMPANY_CODE|POLICY_NUMBER|ACCRUAL_DATE|STATUS_CODE|TYPE_CODE|PLAN_CODE|ORIG_LOAN_AMOUNT|LOAN_AMT_ADDED|LOAN_BALANCE|ACCRUED_INT_AMT|INTEREST_RATE|INTEREST_TYPE|INT_METHOD|LAST_REPAY_DATE|LAST_REPAY_AMOUNT|CAPITALIZED_DATE|CAPITALIZED_AMOUNT|TAXABLE_AMOUNT|SPEC_CLS_LOAN_BAL|SPEC_CLS_INT_RATE|SPEC_CLS_CAPD_AMT|LAST_CHG_DATE|LAST_CHG_TIME|ENTRY_OPERATOR|ACTG_CNTRL_NUMBER|BANKERS_YEAR_IND|SPEC_CLS_LOAN_CHNG|ACTG_TYPE|LOAN_BASIS|INT_START_DATE,"[{""COMPANY_CODE"": ""------------"", ""POLICY_NUMBER"": ""-------------"", ""ACCRUAL_DATE"": ""------------"", ""STATUS_CODE"": ""-----------"", ""TYPE_CODE"": ""---------"", ""PLAN_CODE"": ""----------"", ""ORIG_LOAN_AMOUNT"": ""----------------"", ""LOAN_AMT_ADDED"": ""--------------"", ""LOAN_BALANCE"": ""------------"", ""ACCRUED_INT_AMT"": ""---------------"", ""INTEREST_RATE"": ""-------------"", ""INTEREST_TYPE"": ""-------------"", ""INT_METHOD"": ""----------"", ""LAST_REPAY_DATE"": ""---------------"", ""LAST_REPAY_AMOUNT"": ""-----------------"", ""CAPITALIZED_DATE"": ""----------------"", ""CAPITALIZED_AMOUNT"": ""------------------"", ""TAXABLE_AMOUNT"": ""--------------"", ""SPEC_CLS_LOAN_BAL"": ""-----------------"", ""SPEC_CLS_INT_RATE"": ""-----------------"", ""SPEC_CLS_CAPD_AMT"": ""-----------------"", ""LAST_CHG_DATE"": ""-------------"", ""LAST_CHG_TIME""",49270,PLAN_CODE,rate-level
PDAGE_AgeDuration_Rates_Extract_20260530.csv,PDAGE_AgeDuration_Rates_Extract_20260530.csv,250770,659 CEN:21309; 658 CEN:14880; 659 CEN II:9645; 658 CEN I:9408; 659 CEN SR:6192; 658 CEN SD:5472; 659 CEN SD:5472; 659 SR GD:3238; 669 SR:864; 669 SR GD:864; 679 CEN SD:792; 679 CEN:792,78928,,COVERAGE_ID|TYPE_CODE|AGE|SEX|BAND|UWCLS|DURATION|VALUE1|VALUE2|VALUE3|VALUE4|VALUE5|VALUE6|VALUE7|VALUE8|VALUE9|VALUE10|VALUE1_FLOAT|VALUE2_FLOAT|VALUE3_FLOAT|VALUE4_FLOAT|VALUE5_FLOAT|VALUE6_FLOAT|VALUE7_FLOAT|VALUE8_FLOAT|VALUE9_FLOAT|VALUE10_FLOAT|MOD_CODER|MOD_DATE|MOD_TIME,"[{""COVERAGE_ID"": ""-----------"", ""TYPE_CODE"": ""---------"", ""AGE"": ""------"", ""SEX"": ""---"", ""BAND"": ""----"", ""UWCLS"": ""-----"", ""DURATION"": ""--------"", ""VALUE1"": ""----------------"", ""VALUE2"": ""----------------"", ""VALUE3"": ""----------------"", ""VALUE4"": ""----------------"", ""VALUE5"": ""----------------"", ""VALUE6"": ""----------------"", ""VALUE7"": ""----------------"", ""VALUE8"": ""----------------"", ""VALUE9"": ""----------------"", ""VALUE10"": ""----------------"", ""VALUE1_FLOAT"": ""------------------------"", ""VALUE2_FLOAT"": ""------------------------"", ""VALUE3_FLOAT"": ""------------------------"", ""VALUE4_FLOAT"": ""------------------------"", ""VALUE5_FLOAT"": ""------------------------"", ""VALUE6_FLOAT"": ""------------------------"", ""VALUE7_FLOAT"": ""------------------------"", ""VALUE8_FLOAT"": ""------------------------"", ",41083,COVERAGE_ID,rate-level
PPHSTCON_PolicyBenefitHistoryCON_Extract_20260530.csv,PPHSTCON_PolicyBenefitHistoryCON_Extract_20260530.csv,48295,659 CEN:16703; 659 CEN II:10467; 659 CEN SR:6038; 658 CEN:5747; 658 CEN I:5480; 658 CEN SD:267; 659 CEN SD:198; 659 SR GD:114; 679 CEN SD:33; 679 CEN:33,45080,,COMPANY_CODE|POLICY_NUMBER|SEQ|CHANGE_DATE|CHANGE_TIME|COUPON_POLICY_FLAG|COUPON_ANN_FLAG|COUPON_LOAN_FLAG|POLICY_CODE|LINE_OF_BUSINESS|PRODUCT_CODE|TOTAL_BEN_COUNT|TOTAL_LOAN_COUNT|POL_CHG_DATE|POL_CHG_TIME|POL_CHANGE_OPER|MISC_BILLING_IND|UL_PREMIUM_TYPE|LAST_SYS_ACT_DATE|LAST_SYS_ACT_CODE|CONTRACT_CODE|CONTRACT_REASON|CONTRACT_DATE|BILLING_CODE|BILLING_REASON|BILLING_DATE|PAYMENT_CODE|PAYMENT_REASON|PAY_DATE|POLICY_BILL_DAY,"[{""COMPANY_CODE"": ""------------"", ""POLICY_NUMBER"": ""-------------"", ""SEQ"": ""------"", ""CHANGE_DATE"": ""-----------"", ""CHANGE_TIME"": ""-----------"", ""COUPON_POLICY_FLAG"": ""------------------"", ""COUPON_ANN_FLAG"": ""---------------"", ""COUPON_LOAN_FLAG"": ""----------------"", ""POLICY_CODE"": ""-----------"", ""LINE_OF_BUSINESS"": ""----------------"", ""PRODUCT_CODE"": ""------------"", ""TOTAL_BEN_COUNT"": ""---------------"", ""TOTAL_LOAN_COUNT"": ""----------------"", ""POL_CHG_DATE"": ""------------"", ""POL_CHG_TIME"": ""------------"", ""POL_CHANGE_OPER"": ""---------------"", ""MISC_BILLING_IND"": ""----------------"", ""UL_PREMIUM_TYPE"": ""---------------"", ""LAST_SYS_ACT_DATE"": ""-----------------"", ""LAST_SYS_ACT_CODE"": ""-----------------"", ""CONTRACT_CODE"": ""-------------"", ""CONTRACT_REASON"": ""---------------"", ""CONTRACT_DATE"": ",22597,PRODUCT_CODE,benefit-level
PPENDNBU_PendingPolicyDataNBU_Extract_20260530.csv,PPENDNBU_PendingPolicyDataNBU_Extract_20260530.csv,20367,659 CEN:7501; 659 CEN SR:4939; 659 CEN II:2517; 658 CEN:859; 658 CEN I:828; 659 SR GD:209; 659 CEN SD:45; 658 CEN SD:31; 679 CEN SD:4; 679 CEN:4,16937,,COMPANY_CODE|POLICY_NUMBER|REDEF_TYPE|SEQ_NO|REQ_INSURED|REQ_SEQUENCE|BIRTH_PLACE|HEIGHT_FEET|HEIGHT_INCHES|WEIGHT|MARITAL_STATUS|CASH_WITH_APPL|CONTINGENT_IND|RELATION_1|RELATION_2|MEDICAL_TABLE|UL_YEAR_1|UL_YEAR_2|UL_YEAR_3|UL_YEAR_4|UL_YEAR_5|UL_AMOUNT_1|UL_AMOUNT_2|UL_AMOUNT_3|UL_AMOUNT_4|UL_AMOUNT_5|UL_MARKET_CODE|COMM_OPTION|INS_ID1|INS_ID2,"[{""COMPANY_CODE"": ""------------"", ""POLICY_NUMBER"": ""-------------"", ""REDEF_TYPE"": ""----------"", ""SEQ_NO"": ""------"", ""REQ_INSURED"": ""-----------"", ""REQ_SEQUENCE"": ""------------"", ""BIRTH_PLACE"": ""--------------------"", ""HEIGHT_FEET"": ""-----------"", ""HEIGHT_INCHES"": ""-------------"", ""WEIGHT"": ""------"", ""MARITAL_STATUS"": ""--------------"", ""CASH_WITH_APPL"": ""--------------"", ""CONTINGENT_IND"": ""--------------"", ""RELATION_1"": ""---------------"", ""RELATION_2"": ""---------------"", ""MEDICAL_TABLE"": ""-------------"", ""UL_YEAR_1"": ""---------"", ""UL_YEAR_2"": ""---------"", ""UL_YEAR_3"": ""---------"", ""UL_YEAR_4"": ""---------"", ""UL_YEAR_5"": ""---------"", ""UL_AMOUNT_1"": ""-----------"", ""UL_AMOUNT_2"": ""-----------"", ""UL_AMOUNT_3"": ""-----------"", ""UL_AMOUNT_4"": ""-----------"", ""UL_AMOUNT_5"": ""-----------"", ""UL_MARKET_",0,,unknown
PBILL_BillingDetail_Extract_20260530.csv,PBILL_BillingDetail_Extract_20260530.csv,14538,659 CEN:4008; 659 CEN II:3500; 658 CEN:2351; 658 CEN I:2257; 659 CEN SR:386; 659 CEN SD:122; 658 CEN SD:94; 659 SR GD:9; 669 SR:1; 669 SR GD:1,12729,,NEXT_ACTION_DATE|PAYOR_ID|GROUP_NUMBER|BILL_DATE|COMPANY_CODE|POLICY_NUMBER|RECORD_CREATE_DATE|RECORD_CREATE_TIME|BIL_CONTROL_NUMBER|BATCH_NUMBER|BEN_SEQ_NO|BILLING_MODE|BILLING_FORM|BILLED_TO_DATE|PAID_TO_DATE|PLAN_CODE|ISSUE_DATE|ISSUE_STATE|RESIDENCE_STATE|NF_OPTION|DIVIDEND_OPTION|PAYMENT_TYPE|PAYMENT_AMOUNT|PRODUCE_BILL|NEW_EFF_MODE_PREM|NEW_EFF_DATE|NEW_VALUE_PER_UNIT|AMOUNT_PAID|PROCESSED_FLAG|APL_PROCESS,"[{""NEXT_ACTION_DATE"": ""----------------"", ""PAYOR_ID"": ""-----------"", ""GROUP_NUMBER"": ""------------"", ""BILL_DATE"": ""-----------"", ""COMPANY_CODE"": ""------------"", ""POLICY_NUMBER"": ""-------------"", ""RECORD_CREATE_DATE"": ""------------------"", ""RECORD_CREATE_TIME"": ""------------------"", ""BIL_CONTROL_NUMBER"": ""--------------------"", ""BATCH_NUMBER"": ""------------"", ""BEN_SEQ_NO"": ""----------"", ""BILLING_MODE"": ""------------"", ""BILLING_FORM"": ""------------"", ""BILLED_TO_DATE"": ""--------------"", ""PAID_TO_DATE"": ""------------"", ""PLAN_CODE"": ""----------"", ""ISSUE_DATE"": ""-----------"", ""ISSUE_STATE"": ""-----------"", ""RESIDENCE_STATE"": ""---------------"", ""NF_OPTION"": ""---------"", ""DIVIDEND_OPTION"": ""---------------"", ""PAYMENT_TYPE"": ""------------"", ""PAYMENT_AMOUNT"": ""--------------"", ""PRODUCE_BILL"": ""------",6369,PLAN_CODE,unknown
PPBEN_PolicyBenefit_Extract_20260530.csv,PPBEN_PolicyBenefit_Extract_20260530.csv,11700,659 CEN:4082; 659 CEN II:3422; 659 CEN SR:645; 658 CEN:451; 658 CEN I:438; 659 CEN SD:15; 659 SR GD:13; 658 CEN SD:13; 669 SR:2; 669 SR GD:2; 679 CEN SD:2; 679 CEN:2,9087,,COMPANY_CODE|POLICY_NUMBER|BENEFIT_SEQ|BENEFIT_TYPE|PROCESSED_TO_DATE|STATUS_CODE|STATUS_REASON|STATUS_DATE|PLAN_CODE|ISSUE_DATE|PARENT_BENEFIT_SEQ|PAY_UP_DATE|MATURE_EXPIRE_DATE|PROCESSING_CYCLE|INF_RIDER_SEQ|LAST_CHG_DATE|LAST_CHG_TIME|DATE_OF_BIRTH|ISSUE_AGE|UNDERWRITING_CLASS|SEX_CODE|INSURED_DEATH_IND|SECOND_INSURED_DOB|SEC_INS_ISS_AGE|SEC_INS_UWCLS|SEC_INS_SEX_CODE|SEC_INS_DEATH_IND|VALUE_PER_UNIT|NUMBER_OF_UNITS|ANN_PREM_PER_UNIT,"[{""COMPANY_CODE"": ""------------"", ""POLICY_NUMBER"": ""-------------"", ""BENEFIT_SEQ"": ""-----------"", ""BENEFIT_TYPE"": ""------------"", ""PROCESSED_TO_DATE"": ""-----------------"", ""STATUS_CODE"": ""-----------"", ""STATUS_REASON"": ""-------------"", ""STATUS_DATE"": ""-----------"", ""PLAN_CODE"": ""----------"", ""ISSUE_DATE"": ""-----------"", ""PARENT_BENEFIT_SEQ"": ""------------------"", ""PAY_UP_DATE"": ""-----------"", ""MATURE_EXPIRE_DATE"": ""------------------"", ""PROCESSING_CYCLE"": ""----------------"", ""INF_RIDER_SEQ"": ""-------------"", ""LAST_CHG_DATE"": ""-------------"", ""LAST_CHG_TIME"": ""-------------"", ""DATE_OF_BIRTH"": ""-------------"", ""ISSUE_AGE"": ""---------"", ""UNDERWRITING_CLASS"": ""------------------"", ""SEX_CODE"": ""--------"", ""INSURED_DEATH_IND"": ""-----------------"", ""SECOND_INSURED_DOB"": ""------------------"", ""SEC",4550,PLAN_CODE,benefit-level
PAAGERAT_AttainedAge_Rates_Extract_20260530.csv,PAAGERAT_AttainedAge_Rates_Extract_20260530.csv,24426,659 CEN:1756; 659 CEN II:1432; 658 CEN:1399; 658 CEN I:1249; 659 CEN SR:172; 659 CEN SD:152; 658 CEN SD:150; 679 CEN SD:132; 679 CEN:132,6574,,COVERAGE_ID|TYPE_CODE|SEX|BAND|UWCLS|RECORD_SEQ|SEQ|VALUE_INFO|VALUE_FLOAT|AAGE_KEY0,"[{""COVERAGE_ID"": ""-----------"", ""TYPE_CODE"": ""---------"", ""SEX"": ""---"", ""BAND"": ""----"", ""UWCLS"": ""-----"", ""RECORD_SEQ"": ""----------"", ""SEQ"": ""------"", ""VALUE_INFO"": ""----------------"", ""VALUE_FLOAT"": ""------------------------"", ""AAGE_KEY0"": ""--------------------------------------------""}, {""COVERAGE_ID"": ""0822 620   "", ""TYPE_CODE"": ""PR       "", ""SEX"": ""M  "", ""BAND"": ""1   "", ""UWCLS"": ""0    "", ""RECORD_SEQ"": ""         1"", ""SEQ"": ""     1"", ""VALUE_INFO"": ""       1.5000000"", ""VALUE_FLOAT"": ""                     0.0"", ""AAGE_KEY0"": ""0x3038323220363230202050524D3130303130303031""}]",3287,COVERAGE_ID,rate-level
PPOLC_PolicyMaster_Extract_20260530.csv,PPOLC_PolicyMaster_Extract_20260530.csv,5085,659 CEN:1803; 659 CEN II:1147; 659 CEN SR:641; 658 CEN:448; 658 CEN I:435; 659 CEN SD:15; 658 CEN SD:13; 659 SR GD:13; 679 CEN SD:2; 679 CEN:2,4519,,COMPANY_CODE|POLICY_NUMBER|COUPON_POLICY_FLAG|COUPON_ANN_FLAG|COUPON_LOAN_FLAG|POLICY_CODE|LINE_OF_BUSINESS|PRODUCT_CODE|TOTAL_BEN_COUNT|TOTAL_LOAN_COUNT|LAST_CHANGE_DATE|LAST_CHANGE_TIME|LAST_CHANGE_OPER|MISC_BILLING_IND|UL_PREMIUM_TYPE|LAST_SYS_ACT_DATE|LAST_SYS_ACT_CODE|CONTRACT_CODE|CONTRACT_REASON|CONTRACT_DATE|BILLING_CODE|BILLING_REASON|BILLING_DATE|PAYMENT_CODE|PAYMENT_REASON|PAYMENT_DATE|POLICY_BILL_DAY|LOAN_BILL_DAY|AR_BILL_DAY|AR_BENEFIT_SEQ,"[{""COMPANY_CODE"": ""------------"", ""POLICY_NUMBER"": ""-------------"", ""COUPON_POLICY_FLAG"": ""------------------"", ""COUPON_ANN_FLAG"": ""---------------"", ""COUPON_LOAN_FLAG"": ""----------------"", ""POLICY_CODE"": ""-----------"", ""LINE_OF_BUSINESS"": ""----------------"", ""PRODUCT_CODE"": ""------------"", ""TOTAL_BEN_COUNT"": ""---------------"", ""TOTAL_LOAN_COUNT"": ""----------------"", ""LAST_CHANGE_DATE"": ""----------------"", ""LAST_CHANGE_TIME"": ""----------------"", ""LAST_CHANGE_OPER"": ""----------------"", ""MISC_BILLING_IND"": ""----------------"", ""UL_PREMIUM_TYPE"": ""---------------"", ""LAST_SYS_ACT_DATE"": ""-----------------"", ""LAST_SYS_ACT_CODE"": ""-----------------"", ""CONTRACT_CODE"": ""-------------"", ""CONTRACT_REASON"": ""---------------"", ""CONTRACT_DATE"": ""-------------"", ""BILLING_CODE"": ""------------"", ""BILLING_R",2266,PRODUCT_CODE,policy-level
