POLICY_NUMBER,MPOLICY,MBENTYP,MDATE,MBEN,PACTG_CODE,CREDIT_CODE,DEBIT_CODE,LOAN_CODE_SIDE
9010331768,010331768C,11,20180724,216.05,0412,0451,0412,DEBIT
9010331768,010331768C,11,20180824,188.26,0412,0451,0412,DEBIT
9010331768,010331768C,12,20180824,198.13,0412,0412,0451,CREDIT
9010331768,010331768C,12,20180824,205.25,0413,0413,0012,CREDIT
9010331768,010331768C,11,20190724,216.10,0412,0451,0412,DEBIT
9010331768,010331768C,12,20190731,212.07,0412,0412,0451,CREDIT
9010331768,010331768C,12,20190731,205.25,0413,0413,0012,CREDIT
9010331768,010331768C,11,20190731,201.48,0412,0451,0412,DEBIT
9010331768,010331768C,11,20200724,216.11,0412,0451,0412,DEBIT
9010331768,010331768C,12,20200727,214.38,0412,0412,0451,CREDIT
9010331768,010331768C,12,20200727,205.31,0413,0413,0012,CREDIT
9010331768,010331768C,11,20200727,203.66,0412,0451,0412,DEBIT
9010331768,010331768C,11,20210724,216.11,0412,0451,0412,DEBIT
9010331768,010331768C,12,20210817,202.24,0412,0412,0451,CREDIT
9010331768,010331768C,12,20210817,205.31,0413,0413,0012,CREDIT
9010331768,010331768C,11,20210817,192.16,0412,0451,0412,DEBIT
9010331768,010331768C,11,20220724,216.15,0412,0451,0412,DEBIT
9010331768,010331768C,12,20220726,215.00,0412,0412,0451,CREDIT
9010331768,010331768C,12,20220726,205.35,0413,0413,0012,CREDIT
9010331768,010331768C,11,20220726,204.25,0412,0451,0412,DEBIT
9010331768,010331768C,12,20230721,1.73,0412,0412,0451,CREDIT
9010331768,010331768C,12,20230721,325.60,0413,0413,0012,CREDIT
9010331768,010331768C,11,20230721,1.59,0412,0451,0412,DEBIT
9010331768,010331768C,11,20230724,199.01,0412,0451,0412,DEBIT
9010331768,010331768C,11,20240724,209.49,0412,0451,0412,DEBIT
9010331768,010331768C,12,20240731,205.57,0412,0412,0451,CREDIT
9010331768,010331768C,12,20240731,325.60,0413,0413,0012,CREDIT
9010331768,010331768C,11,20240731,188.77,0412,0451,0412,DEBIT
9010331768,010331768C,11,20250724,202.49,0412,0451,0412,DEBIT
9010331768,010331768C,12,20250725,201.95,0412,0412,0451,CREDIT
9010331768,010331768C,12,20250725,325.60,0413,0413,0012,CREDIT
9010331768,010331768C,11,20250725,184.86,0412,0451,0412,DEBIT
9010346921,010346921C,11,20181118,70.90,0412,0451,0412,DEBIT
9010346921,010346921C,11,20191118,74.63,0412,0451,0412,DEBIT
9010346921,010346921C,12,20191202,71.85,0412,0412,0451,CREDIT
9010346921,010346921C,12,20191202,70.90,0413,0413,0012,CREDIT
9010346921,010346921C,11,20191202,68.26,0412,0451,0412,DEBIT
9010346921,010346921C,11,20201118,74.64,0412,0451,0412,DEBIT
9010346921,010346921C,12,20201123,73.64,0412,0412,0451,CREDIT
9010346921,010346921C,12,20201123,70.90,0413,0413,0012,CREDIT
9010346921,010346921C,11,20201123,69.96,0412,0451,0412,DEBIT
9010346921,010346921C,11,20211118,74.64,0412,0451,0412,DEBIT
9010346921,010346921C,11,20221118,78.57,0412,0451,0412,DEBIT
9010346921,010346921C,12,20221205,75.00,0412,0412,0451,CREDIT
9010346921,010346921C,12,20221205,74.64,0413,0413,0012,CREDIT
9010346921,010346921C,11,20221205,71.26,0412,0451,0412,DEBIT
9010346921,010346921C,12,20230221,55.59,0412,0412,0451,CREDIT
9010346921,010346921C,12,20230221,36.16,0413,0413,0012,CREDIT
9010346921,010346921C,11,20230221,54.19,0412,0451,0412,DEBIT
9010346921,010346921C,11,20231118,76.60,0412,0451,0412,DEBIT
9010346921,010346921C,12,20240111,65.54,0412,0412,0451,CREDIT
9010346921,010346921C,12,20240111,72.77,0413,0413,0012,CREDIT
9010346921,010346921C,11,20240111,62.29,0412,0451,0412,DEBIT
9010346921,010346921C,11,20241118,76.63,0412,0451,0412,DEBIT
9010346921,010346921C,12,20241218,70.48,0412,0412,0451,CREDIT
9010346921,010346921C,12,20241218,76.63,0413,0413,0012,CREDIT
9010346921,010346921C,11,20241218,66.79,0412,0451,0412,DEBIT
9010346921,010346921C,11,20251118,76.44,0412,0451,0412,DEBIT
9010346921,010346921C,12,20251230,72.62,0413,0413,0012,CREDIT
9010346921,010346921C,11,20251230,64.47,0412,0451,0412,DEBIT
9010346921,010346921C,12,20251230,67.84,0412,0412,0451,CREDIT
9010363098,010363098C,12,20180201,14.62,0412,0412,0451,CREDIT
9010363098,010363098C,12,20180201,68.40,0413,0413,0012,CREDIT
9010363098,010363098C,11,20180201,13.44,0412,0451,0412,DEBIT
9010363098,010363098C,12,20180227,10.57,0412,0412,0451,CREDIT
9010363098,010363098C,12,20180227,75.00,0413,0413,0012,CREDIT
9010363098,010363098C,11,20180227,9.57,0412,0451,0412,DEBIT
9010363098,010363098C,12,20180402,6.16,0412,0412,0451,CREDIT
9010363098,010363098C,12,20180402,75.00,0413,0413,0012,CREDIT
