SOURCE_POLICY,MPOLICY,PLAN_CODE,QLA_PLAN,MLOANINTX,MLOANINTX_SOURCE,MLOANINTX_RAW_QUIKPLAN,NOTE
9010300689,010300689C,960 PO,1960PO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010310404,010310404C,960 PO,1960PO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010331768,010331768C,960 PO,1960PO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010346921,010346921C,980 END65,280END,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010363098,010363098C,960 LP85-M,196085,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010367438,010367438C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010374099,010374099C,960 PO,1960PO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010376522,010376522C,960 PO,1960PO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010376529,010376529C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010377918,010377918C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010378485,010378485C,960 LP65,196065,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010380049,010380049C,960 PO,1960PO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010380627,010380627C,960 LP65,196065,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010381745,010381745C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010382426,010382426C,960 PO,1960PO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010382520,010382520C,960 LP65,196065,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010382931,010382931C,960 PO,1960PO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010385636,010385636C,960 PO,1960PO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010391004,010391004C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010391228,010391228C,970 JEB,1970JB,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010391359,010391359C,980 END65,280END,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010391422,010391422C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010391876,010391876C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010391878,010391878C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010391895,010391895C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010392138,010392138C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010392763,010392763C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010393181,010393181C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010395098,010395098C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010395382,010395382C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010395761,010395761C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010395879,010395879C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010396186,010396186C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010396425,010396425C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010397118,010397118C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010397318,010397318C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010397583,010397583C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010397945,010397945C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010400462,010400462C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010401565,010401565C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010402014,010402014C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010402105,010402105C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010403109,010403109C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010403789,010403789C,670 GL85-M,17085M,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010404600,010404600C,670 GL85-8,170858,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
