MPOLICY,MLOANPRIN,MLOANBAL,MLOANINT,MLOANINTX,MLOANIDT,MLOANDATE,MLOANACCR,MLOANBILL
010331768C,3707.11,3707.11,5.00,A,20250725,20250725,0.00,0.00
010346921C,1452.76,1452.76,5.00,A,20251230,20251230,0.00,0.00
010363098C,0.08,0.08,5.00,A,20181005,20181005,0.00,0.00
010380049C,5299.98,5299.98,5.00,A,20251113,20251113,0.00,0.00
010380627C,157.65,157.65,5.00,A,20251125,20251125,0.00,0.00
010382426C,2704.84,2704.84,5.00,A,20250224,20250224,0.00,0.00
010391004C,4608.84,4608.84,5.00,A,20250528,20250528,0.00,0.00
010396186C,8353.63,8353.63,5.00,A,20250901,20250901,0.00,0.00
010396425C,1811.19,1811.19,5.00,A,20250917,20250917,0.00,0.00
010402105C,13981.71,13981.71,5.00,A,20251201,20251201,0.00,0.00
010403109C,98.35,98.35,5.00,A,20251231,20251231,0.00,0.00
010403789C,1265.58,1265.58,5.00,A,20251226,20251226,0.00,0.00
010404600C,17946.48,17946.48,5.00,A,20251201,20251201,0.00,0.00
010405440C,1222.73,1222.73,5.00,A,20251228,20251228,0.00,0.00
010407925C,4801.04,4801.04,5.00,A,20250423,20250423,0.00,0.00
010422417C,11.06,11.06,5.00,A,20041215,20041215,0.00,0.00
010422722C,7844.69,7844.69,5.00,A,20250701,20250701,0.00,0.00
010425941C,2039.97,2039.97,5.00,A,20250701,20250701,0.00,0.00
010429711C,1754.35,1754.35,5.00,A,20250923,20250923,0.00,0.00
010434092C,3690.85,3690.85,5.00,A,20251201,20251201,0.00,0.00
010435671C,13365.78,13365.78,5.00,A,20251207,20251207,0.00,0.00
010435672C,2029.93,2029.93,5.00,A,20251207,20251207,0.00,0.00
010437232C,14858.17,14858.17,5.00,A,20250215,20250215,0.00,0.00
010438556C,1222.03,1222.03,5.00,A,20250309,20250309,0.00,0.00
010439128C,411.54,411.54,5.00,A,20250401,20250401,0.00,0.00
010439156C,6023.79,6023.79,5.00,A,20260102,20260102,0.00,0.00
010439277C,992.01,992.01,5.00,A,20250314,20250314,0.00,0.00
010439435C,226.24,226.24,5.00,A,20250404,20250404,0.00,0.00
010439999C,3141.18,3141.18,5.00,A,20250410,20250410,0.00,0.00
010440000C,1741.83,1741.83,5.00,A,20250326,20250326,0.00,0.00
010443287C,6506.51,6506.51,5.00,A,20251226,20251226,0.00,0.00
010446852C,5615.38,5615.38,5.00,A,20251215,20251215,0.00,0.00
010448025C,3878.37,3878.37,5.00,A,20250201,20250201,0.00,0.00
010449417C,8950.56,8950.56,5.00,A,20250301,20250301,0.00,0.00
010449498C,90.10,90.10,5.00,A,20250224,20250224,0.00,0.00
010458526C,555.00,555.00,5.00,A,20251124,20251124,0.00,0.00
