POLICY_NUMBER,INTEREST_TYPE,INT_METHOD,NOTE
9010300689   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010310404   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010331768   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010346921   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010363098   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010367438   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010374099   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010376522   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010376529   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010377918   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010378485   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010380049   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010380627   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010381745   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010382426   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010382520   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010382931   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010385636   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010391004   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010391228   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010391359   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010391422   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010391876   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010391878   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010391895   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010392138   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010392763   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010393181   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010395098   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010395382   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010395761   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010395879   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010396186   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010396425   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010397118   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010397318   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010397583   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
