COMPANY_CODE,POLICY_NUMBER,ACCRUAL_DATE,STATUS_CODE,TYPE_CODE,PLAN_CODE,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,LOAN_BALANCE,ACCRUED_INT_AMT,INTEREST_RATE,INTEREST_TYPE,INT_METHOD,LAST_REPAY_DATE,LAST_REPAY_AMOUNT,CAPITALIZED_DATE,CAPITALIZED_AMOUNT,TAXABLE_AMOUNT,SPEC_CLS_LOAN_BAL,SPEC_CLS_INT_RATE,SPEC_CLS_CAPD_AMT,LAST_CHG_DATE,LAST_CHG_TIME,ENTRY_OPERATOR,ACTG_CNTRL_NUMBER,BANKERS_YEAR_IND,SPEC_CLS_LOAN_CHNG,ACTG_TYPE,LOAN_BASIS,INT_START_DATE,INT_DELAY_DAYS,LOAN_UPD_COUNT,LOAN_KEY0,ROW_COLUMN,_EXCLUDE_REASON,_LOAN_BALANCE_NUM,_ACCRUAL_DATE_TS,_LAST_CHG_DATE_TS,_LAST_REPAY_DATE_TS,_CAPITALIZED_DATE_TS,_INT_START_DATE_TS,_LAST_CHG_TIME_TS,_LATEST_BALANCE_CLASS
03          ,9010300689   ,    20100801,H          ,         ,960 PO    ,         8202.29,      -8202.29,         .00,            .00,        .0500,F            ,D         ,       20100801,          8202.29,               0,               .00,           .00,              .00,            .0000,              .00,     20101008,        90646,MENA          ,        405410906443,N               ,               .00,         ,C         ,      20100801,             0,             1,0x303339303130333030363839202032303130303830313230313031303038303930363436,0x30333930313033303036383920203230313030383031480039363020504F2020202005840C00FB7BF3FF000000000000000000500C4644323031303038303105840C00303030303030303000000000000000000000000000000C0000000032303130313030383039303634364D454E410405410906443F4E00000000204332303130303830312020202020202020202020202020202020202020202020202020202020202020202020202020202020,,0.0,2010-08-01,2010-10-08,2010-08-01,,2010-08-01,,ZERO_BALANCE_HOLD
03          ,9010310404   ,    20131216,H          ,R        ,960 PO    ,           81.80,        -81.80,         .00,            .00,        .0500,F            ,D         ,       20131216,            81.80,               0,               .00,           .00,              .00,            .0000,              .00,     20131217,        74422,MENA          ,        417090744211,N               ,               .00,         ,          ,      20131216,             0,             1,0x303339303130333130343034202032303133313231363230313331323137303734343232,0x30333930313033313034303420203230313331323136485239363020504F20202020F41F00000CE0FFFF000000000000000000500C46443230313331323136F41F0000303030303030303000000000000000000000000000000C0000000032303133313231373037343432324D454E410417090744211F4E00000000202032303133313231362020202020202020202020202020202020202020202020202020202020202020202020202020202020,,0.0,2013-12-16,2013-12-17,2013-12-16,,2013-12-16,,ZERO_BALANCE_HOLD
03          ,9010367438   ,    20211110,H          ,         ,670 GL85-M,         1575.62,      -1575.62,         .00,            .00,        .0500,F            ,D         ,       20211110,          1575.62,               0,               .00,           .00,              .00,            .0000,              .00,     20220111,       142158,PAKA          ,        446631421569,N               ,               .00,         ,          ,      20211110,             0,             1,0x303339303130333637343338202032303231313131303230323230313131313432313538,0x30333930313033363734333820203230323131313130480036373020474C38352D4D7A6702008698FDFF000000000000000000500C464432303231313131307A670200303030303030303000000000000000000000000000000C00000000323032323031313131343231353850414B410446631421569F4E00000000202032303231313131302020202020202020202020202020202020202020202020202020202020202020202020202020202020,,0.0,2021-11-10,2022-01-11,2021-11-10,,2021-11-10,1421-05-08,ZERO_BALANCE_HOLD
03          ,9010374099   ,    20090921,H          ,         ,960 PO    ,         2274.18,      -2274.18,         .00,            .00,        .0500,F            ,D         ,       20090921,          2274.18,               0,               .00,           .00,              .00,            .0000,              .00,     20091120,       214319,C03A          ,        402182143178,N               ,               .00,         ,C         ,      20090921,             0,             1,0x303339303130333734303939202032303039303932313230303931313230323134333139,0x30333930313033373430393920203230303930393231480039363020504F202020205A780300A687FCFF000000000000000000500C464432303039303932315A780300303030303030303000000000000000000000000000000C000000003230303931313230323134333139433033410402182143178F4E00000000204332303039303932312020202020202020202020202020202020202020202020202020202020202020202020202020202020,,0.0,2009-09-21,2009-11-20,2009-09-21,,2009-09-21,2143-01-09,ZERO_BALANCE_HOLD
03          ,9010376522   ,    20211006,H          ,         ,960 PO    ,         7753.11,      -7753.11,         .00,            .00,        .0500,F            ,D         ,       20211006,          7753.11,               0,               .00,           .00,              .00,            .0000,              .00,     20211012,       101134,CADA          ,        445711011324,                ,               .00,         ,C         ,      20211006,             0,             1,0x303339303130333736353232202032303231313030363230323131303132313031313334,0x30333930313033373635323220203230323131303036480039363020504F202020208FD40B00712BF4FF000000000000000000500C464432303231313030368FD40B00303030303030303000000000000000000000000000000C000000003230323131303132313031313334434144410445711011324F2000000000204332303231313030362030202020202020202020202020202020202020202020202020202020202020202020202020202020,,0.0,2021-10-06,2021-10-12,2021-10-06,,2021-10-06,1011-03-04,ZERO_BALANCE_HOLD
03          ,9010376529   ,    20190614,H          ,         ,670 GL85-8,         3482.37,      -3482.37,         .00,            .00,        .0500,F            ,D         ,       20190614,          3482.37,               0,               .00,           .00,              .00,            .0000,              .00,     20190614,       150122,CADA          ,        437191501215,N               ,               .00,         ,C         ,      20190614,             0,             1,0x303339303130333736353239202032303139303631343230313930363134313530313232,0x30333930313033373635323920203230313930363134480036373020474C38352D384D500500B3AFFAFF000000000000000000500C464432303139303631344D500500303030303030303000000000000000000000000000000C000000003230313930363134313530313232434144410437191501215F4E00000000204332303139303631342020202020202020202020202020202020202020202020202020202020202020202020202020202020,,0.0,2019-06-14,2019-06-14,2019-06-14,,2019-06-14,1501-02-02,ZERO_BALANCE_HOLD
03          ,9010377918   ,    20031106,H          ,R        ,670 GL85-M,             .24,          -.24,         .00,            .00,        .0500,F            ,D         ,       20031106,              .24,               0,               .00,           .00,              .00,            .0000,              .00,     20031106,       155616,JIAA          ,        380081556157,N               ,               .00,         ,          ,      20031106,             0,             0,0x303339303130333737393138202032303033313130363230303331313036313535363136,0x30333930313033373739313820203230303331313036485236373020474C38352D4D18000000E8FFFFFF000000000000000000500C4644323030333131303618000000303030303030303000000000000000000000000000000C0000000032303033313130363135353631364A4941410380081556157F4E00000000202032303033313130362020202020202020202020202020202020202020202020202020202020202020202020202020202020,,0.0,2003-11-06,2003-11-06,2003-11-06,,2003-11-06,1556-01-06,ZERO_BALANCE_HOLD
03          ,9010378485   ,    20171021,H          ,         ,960 LP65  ,         8945.64,      -8945.64,         .00,            .00,        .0500,F            ,D         ,       20171021,          8945.64,               0,               .00,           .00,              .00,            .0000,              .00,     20171220,       175316,C03A          ,        431761753145,N               ,               .00,         ,C         ,      20171021,             0,             1,0x303339303130333738343835202032303137313032313230313731323230313735333136,0x303339303130333738343835202032303137313032314800393630204C503635202064A60D009C59F2FF000000000000000000500C4644323031373130323164A60D00303030303030303000000000000000000000000000000C000000003230313731323230313735333136433033410431761753145F4E00000000204332303137313032312020202020202020202020202020202020202020202020202020202020202020202020202020202020,,0.0,2017-10-21,2017-12-20,2017-10-21,,2017-10-21,1753-01-06,ZERO_BALANCE_HOLD
03          ,9010382520   ,    20110114,H          ,R        ,960 LP65  ,           89.31,        -89.31,         .00,            .00,        .0500,F            ,D         ,       20110114,            89.31,               0,               .00,           .00,              .00,            .0000,              .00,     20110127,       133945,MENA          ,        406531339436,N               ,               .00,         ,          ,      20110114,             0,             1,0x303339303130333832353230202032303131303131343230313130313237313333393435,0x303339303130333832353230202032303131303131344852393630204C5036352020E32200001DDDFFFF000000000000000000500C46443230313130313134E3220000303030303030303000000000000000000000000000000C0000000032303131303132373133333934354D454E410406531339436F4E00000000202032303131303131342020202020202020202020202020202020202020202020202020202020202020202020202020202020,,0.0,2011-01-14,2011-01-27,2011-01-14,,2011-01-14,1339-04-05,ZERO_BALANCE_HOLD
03          ,9010382931   ,    20220210,H          ,         ,960 PO    ,          339.10,       -339.10,         .00,            .00,        .0500,F            ,D         ,       20220210,           339.10,               0,               .00,           .00,              .00,            .0000,              .00,     20220314,        84625,PAKA          ,        447250846245,N               ,               .00,         ,          ,      20220210,             0,             1,0x303339303130333832393331202032303232303231303230323230333134303834363235,0x30333930313033383239333120203230323230323130480039363020504F20202020768400008A7BFFFF000000000000000000500C4644323032323032313076840000303030303030303000000000000000000000000000000C00000000323032323033313430383436323550414B410447250846245F4E00000000202032303232303231302020202020202020202020202020202020202020202020202020202020202020202020202020202020,,0.0,2022-02-10,2022-03-14,2022-02-10,,2022-02-10,,ZERO_BALANCE_HOLD
