dependency_id,consumer_table,consumer_field,provider_table,provider_field,dependency_type,severity_if_changed,notes,affected_row_count
DEP-quikridr-MPLAN,quikridr,MPLAN,quikplan,PLAN,FK_REFERENCE,ERROR,Every policy phase references a plan code; orphan MPLAN breaks rider linkage.,11698
DEP-quikactg-MPLAN,quikactg,MPLAN,quikplan,PLAN,FK_REFERENCE,HIGH,Accounting transaction rows carry plan code via PACTG.PLAN_CODE + Master_Crosswalk.,11698
DEP-quikplan-PLAN,quikplan,PLAN,validation_config,key_definitions.plan,PRIMARY_KEY,ERROR,PLAN is the sole uniqueness key for quikplan validation.,
DEP-quikplan-FORM,quikplan,FORM,QLAdmin,PolicyForm,BUSINESS_REFERENCE,HIGH,FORM identifies policy form; must align with crosswalk QL Form Number.,
DEP-quikplan-PLANNAME,quikplan,PLANNAME,QLAdmin,DisplayName,BUSINESS_REFERENCE,MEDIUM,Friendly display name; crosswalk QL Friendly Name is business authority.,
DEP-quikplan-DESCR,quikplan,DESCR,QLAdmin,PlanDescription,BUSINESS_REFERENCE,MEDIUM,Plan description shown in QLAdmin screens.,
DEP-quikplan-PLANTYPE,quikplan,PLANTYPE,QLAdmin,PlanType,BUSINESS_REFERENCE,HIGH,Currently blank in output; QLAdmin expects plan type classification.,
DEP-quikplan-HRIGPKEY,quikplan,HRIGPKEY,QuikPlbd,RateLookupKey,FUTURE_ACTUARIAL,CRITICAL,Logical gross premium rate lookup; not populated yet.,
DEP-quikplan-UWVARY*,quikplan,UWVARY*,QuikPlbd,UWClassVary,FUTURE_ACTUARIAL,HIGH,Underwriting class vary-by dimension for rate attachment.,
DEP-quikplan-BDVARY*,quikplan,BDVARY*,QuikPlbd,BandVary,FUTURE_ACTUARIAL,HIGH,Band vary-by dimension; QuikPlbd index key includes PLAN + BDCODE.,
DEP-quikplan-STVARY*,quikplan,STVARY*,QuikPlbd,StateVary,FUTURE_ACTUARIAL,HIGH,State/country vary-by dimension for rate tables.,
DEP-quikplan-GDVARY*,quikplan,GDVARY*,QuikPlbd,GenderVary,FUTURE_ACTUARIAL,HIGH,Gender vary-by dimension for rate tables.,
DEP-quikplan-MINUNIT/MAXUNIT,quikplan,MINUNIT/MAXUNIT,PCOMP,IssueAmounts,LOOKUP_JOIN,MEDIUM,Rulebook joins PCOMP on COVERAGE_ID for unit limits.,
DEP-quikridr-MPHASE,quikridr,MPHASE,BusinessRule,MPHASE=1 base,BUSINESS_RULE,CRITICAL,Confirmed: MPHASE 1 = base coverage; riders use MPHASE > 1.,
DEP-quikmstr-MPOLICY,quikmstr,MPOLICY,quikridr,MPOLICY,INDIRECT,MEDIUM,Policy master indirectly depends on plan catalog via quikridr MPLAN.,
DEP-DBF_generation-PLAN,DBF_generation,PLAN,quikplan.csv,PLAN,UAT_EMIT,HIGH,UAT DBF generation reads final emitted quikplan.csv.,
DEP-Master_Crosswalk.csv-Old_Value,Master_Crosswalk.csv,Old_Value,quikplan/quikridr,PLAN/MPLAN,LEGACY_MAPPING,CRITICAL,Currently contains ~240 plan mappings mixed with policy mappings — governance risk.,
DEP-MPLAN-USAGE-1659C2,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=1659C2 referenced by 3422 quikridr rows.,3422
DEP-MPLAN-USAGE-1659CR,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=1659CR referenced by 645 quikridr rows.,645
DEP-MPLAN-USAGE-1L10SO,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=1L10SO referenced by 449 quikridr rows.,449
DEP-MPLAN-USAGE-1658C1,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=1658C1 referenced by 438 quikridr rows.,438
DEP-MPLAN-USAGE-170PUA,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=170PUA referenced by 417 quikridr rows.,417
DEP-MPLAN-USAGE-1L1095,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=1L1095 referenced by 382 quikridr rows.,382
DEP-MPLAN-USAGE-170858,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=170858 referenced by 294 quikridr rows.,294
DEP-MPLAN-USAGE-1L14SC,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=1L14SC referenced by 232 quikridr rows.,232
DEP-MPLAN-USAGE-5L0110,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=5L0110 referenced by 220 quikridr rows.,220
DEP-MPLAN-USAGE-17085M,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=17085M referenced by 212 quikridr rows.,212
DEP-MPLAN-USAGE-976659,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=976659 referenced by 206 quikridr rows.,206
DEP-MPLAN-USAGE-5667AT,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=5667AT referenced by 198 quikridr rows.,198
DEP-MPLAN-USAGE-1668SP,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=1668SP referenced by 160 quikridr rows.,160
DEP-MPLAN-USAGE-1L10SR,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=1L10SR referenced by 159 quikridr rows.,159
DEP-MPLAN-USAGE-1SALMI,quikridr,MPLAN,quikplan,PLAN,RUNTIME_USAGE,HIGH,MPLAN=1SALMI referenced by 153 quikridr rows.,153
