lifepro_coverage_id,description,policy_form_num,exhibit_code,exhibit_classification,plan_type_lifepro,max_issue_as_rider,pcomp_component_type,pcomp_component_classification,pcomp_component_count,recommended_qla_domain,current_output_plan,current_output_form,quikridr_reference_count,quikridr_mphase1_rows,quikridr_mphase_gt1_rows,semantic_collision_flag,review_priority,business_review_notes
0822 620,Accidental Death Benefit,0822,SUP,SUPPLEMENTAL_COVERAGE,L,0,AD,RIDER_ACCIDENTAL_DEATH,1,QUIKRIDR_RIDER,920ADB,0822,9,0,9,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0822 665,Accidental Death Benefit,0822,SUP,SUPPLEMENTAL_COVERAGE,L,0,AD,RIDER_ACCIDENTAL_DEATH,1,QUIKRIDR_RIDER,920ADB,0822,9,0,9,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0822 960,Accidental Death Benefit,0822,SUP,SUPPLEMENTAL_COVERAGE,L,0,AD,RIDER_ACCIDENTAL_DEATH,5,QUIKRIDR_RIDER,920ADB,0822,9,0,9,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0822 960PO,Accidental Death Benefit,0822,SUP,SUPPLEMENTAL_COVERAGE,L,0,AD,RIDER_ACCIDENTAL_DEATH,1,QUIKRIDR_RIDER,920ADB,0822,9,0,9,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0823 665,Waiver of Premium,0823,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,9665WP,0823,1,0,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0823 896,Waiver of Premium,0823,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,9665WP,0823,1,0,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0823 96085,Waiver of Premium - LPU at 85/88,0823,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,9085WP,0823,2,0,2,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0823 960CH,Waiver of Premium - Child,0823,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,4,QUIKRIDR_RIDER,0823 960CH,0823,1,0,1,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0823 960LP,Waiver of Premium,0823,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,9665WP,0823,1,0,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0823 960OL,Waiver of Premium,0823,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,9665WP,0823,1,0,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0823 960PO,Waiver of Premium,0823,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,9665WP,0823,1,0,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0823 960SP,Waiver of Premium - Spouse,0823,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,3,QUIKRIDR_RIDER,960SWP,0823,2,0,2,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0824 P DIS,& Payor Disability Rider,0824,SUP,SUPPLEMENTAL_COVERAGE,L,0,PS,RIDER_PAID_UP_SPOUSE,1,QUIKRIDR_RIDER,0824 P DIS,0824,1,0,1,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
0824 P DTH,Payor Death,0824,SUP,SUPPLEMENTAL_COVERAGE,L,0,SC,RIDER_SPECIAL,1,QUIKRIDR_RIDER,90PDTH,0824,2,0,2,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
10827 CSI3,CSI Life $3000,10827,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,17CSI3,10827,7,7,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
10827 CSI5,CSI Life $5000,10827,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,17CSI5,10827,18,18,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
10827 CSI7,CSI Life $7500,10827,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,17CSI7,10827,10,10,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
10827 MN5K,CSI Life MN $5000,10827,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,10827 MN5K,10827,3,3,0,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1576 658,Disability Waiver of Premium Rider,1576,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,976658,1576,108,0,108,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1576 659,Disability Waiver of Premium Rider,1576,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,976658,1576,108,0,108,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1577 ADB,Accidental Death Benefit Rider,1577,SUP,SUPPLEMENTAL_COVERAGE,L,0,AD,RIDER_ACCIDENTAL_DEATH,2,QUIKRIDR_RIDER,977ADB,1577,114,0,114,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1578 CTR,Dependent Child Term Rider,1578,OTI,OTHER_TERM_ISSUE,L,0,CR,RIDER_CHILD,2,QUIKRIDR_RIDER,578CTR,1578,4,0,4,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1578 FTR,FAMILY TERM RIDER,1578,OTD,OTHER_TERM,L,0,FR,RIDER_FAMILY,3,QUIKRIDR_RIDER,778FTR,1578,32,0,32,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1578 SPSPU,Paid Up Spouse Term Rider,1578,TPD,TERM_PAID,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,1578 SPSPU,1578,4,4,0,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1578CTR WP,1578 CTR Waiver of Premium,NA,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,2,QUIKRIDR_RIDER,9CTRWP,,3,0,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1578FTR WP,1578 FTR Waiver of Premium,NA,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,2,QUIKRIDR_RIDER,9FTRWP,,10,0,10,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1579 GPO,Guaranteed Purchase Option Rider,1579,SUP,SUPPLEMENTAL_COVERAGE,L,0,GI,RIDER_GUARANTEED_INSURABILITY,1,QUIKRIDR_RIDER,1579 GPO,1579,1,0,1,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1580 JPO,Juvenile Future Purchase Option Rider,1580,SUP,SUPPLEMENTAL_COVERAGE,L,0,GI,RIDER_GUARANTEED_INSURABILITY,2,QUIKRIDR_RIDER,980JPO,1580,61,0,61,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1595,Disability Waiver of Premium,1596,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,9595WP,1596,38,0,38,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
