plan,field,baseline_value,overlay_value
0823 960CH,PLAN,0823 960CH,960CWP
0824 P DIS,PLAN,0824 P DIS,94PDIS
10827 MN5K,PLAN,10827 MN5K,1CSIMN
1578 SPSPU,PLAN,1578 SPSPU,578STR
1579 GPO,PLAN,1579 GPO,9GPO79
1596 667,PLAN,1596 667,967ADB
619 CH PU,PLAN,619 CH PU,719CTR
621 PUA,PLAN,621 PUA,121PUA
630 JEB,PLAN,630 JEB,130JEB
646 ART,PLAN,646 ART,5646AT
667 ART CR,PLAN,667 ART CR,57ATCR
669 SR GD,PLAN,669 SR GD,1669SR
686S 30MRG,PLAN,686S 30MRG,7686S3
687J 30MRG,PLAN,687J 30MRG,7687J3
690 DT 65,PLAN,690 DT 65,7690DT
8034 30MRG,PLAN,8034 30MRG,934SWP
8034 J30MT,PLAN,8034 J30MT,934JWP
8043CTR WP,PLAN,8043CTR WP,943CWP
8046 JPO,PLAN,8046 JPO,9JPO46
961 ME65,PLAN,961 ME65,2961ME
961 PUA,PLAN,961 PUA,261PUA
970 JEB,PLAN,970 JEB,1970JB
970 PUA,PLAN,970 PUA,1970PA
9DIS25,PLAN,9DIS25,9DIS24
DISCHO247B,PLAN,DISCHO247B,9DS24B
9DIS25,PLAN,9DIS25,9DS24C
DISCHO29,PLAN,DISCHO29,9DIS29
L01 10Y MA,PLAN,L01 10Y MA,5L01MA
L10 PRE97,PLAN,L10 PRE97,1L10OD
L10 PREUNI,PLAN,L10 PREUNI,1L10PR
L10 SPSWP,PLAN,L10 SPSWP,910SWP
L10 WP SRN,PLAN,L10 WP SRN,910RWP
WP 646,PLAN,WP 646,9WP646
920ADB,FORM,0822,0822 620
965ADB,FORM,0822,0822 665
960ADB,FORM,0822,0822 960
9POADB,FORM,0822,0822 960PO
9665WP,FORM,0823,0823 665
9896WP,FORM,0823,0823 896
9085WP,FORM,0823,0823 96085
0823 960CH,FORM,0823,0823 960CH
9065WP,FORM,0823,0823 960LP
90OLWP,FORM,0823,0823 960OL
90POWP,FORM,0823,0823 960PO
960SWP,FORM,0823,0823 960SP
0824 P DIS,FORM,0824,0824 P DIS
90PDTH,FORM,0824,0824 P DTH
17CSI3,FORM,10827,10827 CSI3
17CSI5,FORM,10827,10827 CSI5
17CSI7,FORM,10827,10827 CSI7
10827 MN5K,FORM,10827,10827 MN5K
976658,FORM,1576,1576 658
976659,FORM,1576,1576 659
977ADB,FORM,1577,1577 ADB
578CTR,FORM,1578,1578 CTR
778FTR,FORM,1578,1578 FTR
1578 SPSPU,FORM,1578,1578 SPSPU
9CTRWP,FORM,NA,1578CTR WP
9FTRWP,FORM,NA,1578FTR WP
1579 GPO,FORM,1579,1579 GPO
980JPO,FORM,1580,1580 JPO
9595WP,FORM,1596,1595
1596 667,FORM,1596,1596 667
901ADB,FORM,1596,1596 L01
619 CH PU,FORM,619,619 CH PU
7619DT,FORM,619,619 DT
719CDT,FORM,619,619 DT CH
719SDT,FORM,619,619 DT SP
7619PU,FORM,619,619 SPS PU
221END,FORM,620,621 END85
621 PUA,FORM,620,621 PUA
222END,FORM,620,622 END85
630 JEB,FORM,620,630 JEB
646 ART,FORM,667,646 ART
7647FP,FORM,647,647 FLP
7647CH,FORM,647,647 FLP CH
7647SP,FORM,647,647 FLP SP
1658C1,FORM,658,658 CEN I
1658CS,FORM,658,658 CEN SD
1659C2,FORM,659,659 CEN II
1659CS,FORM,659,659 CEN SD
1659CR,FORM,659,659 CEN SR
1659SR,FORM,659,659 SR GD
265PUA,FORM,665,665 PUA
2665ST,FORM,665,665 STME95
1666WL,FORM,666,666 WL
5667AT,FORM,667,667 ART
667 ART CR,FORM,667,667 ART CR
1668SP,FORM,668,668 SPWL
669 SR GD,FORM,659,669 SR GD
170858,FORM,960,670 GL85-8
170588,FORM,960,670 GL8588
17085M,FORM,960,670 GL85-M
170PUA,FORM,960,670 PUA
1679CS,FORM,679,679 CEN SD
686S 30MRG,FORM,686,686S 30MRG
687J 30MRG,FORM,687,687J 30MRG
690 DT 65,FORM,690,690 DT 65
8034 30MRG,FORM,8034,8034 30MRG
8034 J30MT,FORM,8034,8034 J30MT
542STR,FORM,8042,8042 STR
9STRWP,FORM,NA,8042STR WP
543CTR,FORM,8043,8043 CTR
8043CTR WP,FORM,NA,8043CTR WP
8046 JPO,FORM,8046,8046 JPO
9L01WP,FORM,8115,8115 L01
986JPO,FORM,8286,8286 GI 1
982JPO,FORM,8286,8286 GI 2+
960GIO,FORM,889,889 960
A96DAR,FORM,896,896 DAR
1666AI,FORM,666,897 666
165PUA,FORM,960,960 65 PUA
185PUA,FORM,960,960 LP PUA
196065,FORM,960,960 LP65
196085,FORM,960,960 LP85-M
1960OL,FORM,960,960 OL
1OLPUA,FORM,960,960 OL PUA
1960PO,FORM,960,960 PO
1POPUA,FORM,960,960 PO PUA
961 ME65,FORM,961,961 ME65
961 PUA,FORM,961,961 PUA
970 JEB,FORM,970,970 JEB
970 PUA,FORM,970,970 PUA
280END,FORM,980,980 END65
280PUA,FORM,960,980 PUA
1991PL,FORM,991,991 PWL
9DIS25,FORM,,DISCHO2475
DISCHO247B,FORM,,DISCHO247B
9DIS25,FORM,,DISCHO247C
DISCHO29,FORM,,DISCHO29
9DIS70,FORM,,DISCHO70
5L0110,FORM,L10,L01 10Y LT
L01 10Y MA,FORM,L10,L01 10Y MA
5L0510,FORM,L05,L05 10Y LT
5L075Y,FORM,L07,L07 5Y LT
9ADB10,FORM,8140,L10 ADB
5CDT10,FORM,8142,L10 CDT
9GPO10,FORM,8143,L10 GPO
9JPO10,FORM,8144,L10 JPO
1L1095,FORM,L10,L10 LP95
1L10SR,FORM,L10,L10 LP95SR
L10 PRE97,FORM,L10,L10 OLD
L10 PREUNI,FORM,L10 UNI,L10 PREUNI
7SDT10,FORM,8141,L10 SDT
L10 SPSWP,FORM,8139,L10 SPSWP
1L10SO,FORM,L10,L10 SR OLD
9WPL10,FORM,8139,L10 WP
9CDTWP,FORM,8139,L10 WP CDT
