old_value,new_value,mapping_class,mapping_subtype,is_policy_number,quarantine_candidate,governance_action
901122D991,01122D991C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901142D978,01142D978C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901154D174,01154D174C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901159D276,01159D276C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901185D536,01185D536C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901222DC,01222DCC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901222DD,01222DDC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9012FG8217,012FG8217C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901330D153,01330D153C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901353D732,01353D732C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9013FG8217,013FG8217C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014048,014048C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014059,014059C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014075A,014075AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014075B,014075BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014098A,014098AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014098B,014098BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014100B,014100BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014100C,014100CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014100D,014100DC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014100E,014100EC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014112,014112C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014126A,014126AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014130,014130C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901422D089,01422D089C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9014FG8217,014FG8217C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9015FG8217,015FG8217C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9016FG8217,016FG8217C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018009B,018009BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018021,018021C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018163,018163C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018166C,018166CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018167C,018167CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018167D,018167DC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018167E,018167EC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018185,018185C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018187,018187C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018222A,018222AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018222B,018222BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018234,018234C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018236B,018236BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018236C,018236CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018237C,018237CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018237D,018237DC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018237E,018237EC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018237F,018237FC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
