legacy_old_value,legacy_new_value,in_product_catalog_crosswalk,authoritative_plan,legacy_matches_authoritative,contains_spaces_old,contains_spaces_new,still_used_by_quikridr_path,p3c_status,dependency_type
901122D991,01122D991C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901142D978,01142D978C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901154D174,01154D174C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901159D276,01159D276C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901185D536,01185D536C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901222DC,01222DCC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901222DD,01222DDC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9012FG8217,012FG8217C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901330D153,01330D153C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901353D732,01353D732C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9013FG8217,013FG8217C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014048,014048C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014059,014059C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014075A,014075AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014075B,014075BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014098A,014098AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014098B,014098BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014100B,014100BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014100C,014100CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014100D,014100DC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014100E,014100EC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014112,014112C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014126A,014126AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014130,014130C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901422D089,01422D089C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9014FG8217,014FG8217C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9015FG8217,015FG8217C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9016FG8217,016FG8217C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018009B,018009BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018021,018021C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018163,018163C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018166C,018166CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018167C,018167CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018167D,018167DC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018167E,018167EC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018185,018185C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018187,018187C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018222A,018222AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018222B,018222BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018234,018234C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018236B,018236BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018236C,018236CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018237C,018237CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018237D,018237DC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018237E,018237EC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018237F,018237FC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018237G,018237GC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018252,018252C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018253,018253C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018253A,018253AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018253B,018253BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018258A,018258AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018258B,018258BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018258C,018258CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018270,018270C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018284A,018284AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
