mplan_code,quikridr_row_count,mphase_values,plan_contains_spaces,in_authoritative_catalog,in_quikplan_plan,in_p3c_closed_catalog,referential_status,risk_level,p3c_impact,rider_linkage_risk,claims_linkage_risk
0823 960CH,1,4,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
0824 P DIS,1,2,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
10827 MN5K,3,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
1578 SPSPU,4,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
1579 GPO,1,2,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
1596 667,8,2;3,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
1L15GD,11,1,N,N,N,N,ORPHAN_MPLAN,HIGH,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
1L16GD,2,1,N,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
619 CH PU,2,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
621 PUA,1,3,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
630 JEB,1,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
646 ART,1,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
667 ART CR,1,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
669 SR GD,2,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
686S 30MRG,3,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
687J 30MRG,2,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
690 DT 65,1,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
8034 30MRG,2,2,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
8034 J30MT,2,2,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
8043CTR WP,6,4,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
8046 JPO,10,2;3,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
961 ME65,1,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
961 PUA,1,3,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
970 JEB,1,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
970 PUA,1,2,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
9DIS25,34,2;3;4,N,N,N,N,ORPHAN_MPLAN,HIGH,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
9DIS80,7,2;3,N,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
9DIS90,12,2;3;4,N,N,N,N,ORPHAN_MPLAN,HIGH,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
DISCHO20 B,2,2,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
DISCHO247B,2,2,N,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
DISCHO29,2,2,N,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
L01 10Y MA,1,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
L10 PRE97,143,1;4,Y,N,N,N,ORPHAN_MPLAN,HIGH,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
L10 PREUNI,1,1,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
L10 SPSWP,2,5,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
L10 WP SRN,1,2,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
L16POLFEE,2,2,N,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
L17 BASE,20,1,Y,N,N,N,ORPHAN_MPLAN,HIGH,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,BASE_ONLY,LOW
WP 646,1,2,Y,N,N,N,ORPHAN_MPLAN,MEDIUM,MPLAN emitted by quikridr but absent from P3C closed-authority quikplan.PLAN,Y,LOW
(BLANK),2348,,N,N,N,N,BLANK_MPLAN,CRITICAL,Blank MPLAN on quikridr rows — not governed by P3C,UNKNOWN,LOW
10L171,7,sample_aligned,N,Y,Y,Y,ALIGNED_SAMPLE,LOW,Referential integrity satisfied,N,LOW
10L172,3,sample_aligned,N,Y,Y,Y,ALIGNED_SAMPLE,LOW,Referential integrity satisfied,N,LOW
117JPO,4,sample_aligned,N,Y,Y,Y,ALIGNED_SAMPLE,LOW,Referential integrity satisfied,N,LOW
1658C1,438,sample_aligned,N,Y,Y,Y,ALIGNED_SAMPLE,LOW,Referential integrity satisfied,N,LOW
1658CS,13,sample_aligned,N,Y,Y,Y,ALIGNED_SAMPLE,LOW,Referential integrity satisfied,N,LOW
