source_file,source_row_number,mpolicy,mphase,source_plan_code,candidate_mplan,resolved_mplan,is_authoritative,exists_in_quikplan,contains_spaces,is_blank,resolution_path,fallback_value,governance_status,error_category,remediation_hint,blank_classification
PPBEN.csv,2,010143726C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,3,010143726C,2,0822 620,920ADB,920ADB,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,920ADB,AUTHORIZED,,,
PPBEN.csv,4,010148272C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,5,010148272C,2,0822 620,920ADB,920ADB,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,920ADB,AUTHORIZED,,,
PPBEN.csv,6,010148856C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,7,010148856C,2,0822 620,920ADB,920ADB,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,920ADB,AUTHORIZED,,,
PPBEN.csv,8,010149295C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,9,010149834C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,10,010149834C,2,0822 620,920ADB,920ADB,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,920ADB,AUTHORIZED,,,
PPBEN.csv,11,010150031C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,12,010150740C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,13,010150740C,2,0822 620,920ADB,920ADB,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,920ADB,AUTHORIZED,,,
PPBEN.csv,14,010150910C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,15,010150910C,2,0822 620,920ADB,920ADB,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,920ADB,AUTHORIZED,,,
PPBEN.csv,16,010150910C,3,621 PUA,621 PUA,121PUA,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,621 PUA,AUTHORIZED,,,
PPBEN.csv,17,010154425C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,18,010157076C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,19,010157076C,2,0822 620,920ADB,920ADB,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,920ADB,AUTHORIZED,,,
PPBEN.csv,20,010158001C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,21,010158001C,2,0822 620,920ADB,920ADB,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,920ADB,AUTHORIZED,,,
PPBEN.csv,22,010161748C,1,621 END85,221END,221END,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,221END,AUTHORIZED,,,
PPBEN.csv,23,010161748C,2,0822 620,920ADB,920ADB,Y,Y,N,N,CATALOG_SOURCE_PLAN_CODE,920ADB,AUTHORIZED,,,
