TABLE_NAME,FIELD_ORDER,FIELD_NAME,TYPE,LENGTH,DECIMALS,IS_KEY_FIELD,LIKELY_BUSINESS_MEANING,NOTES
QuikGps,1,PLAN,C,6,0,Y,Authoritative 6-char QLAdmin plan code (root of all rate lookup),
QuikGps,2,AGE,C,2,0,Y,Issue age (or 00 when grid varies by policy-year/duration only),
QuikGps,3,CNTL,C,2,0,Y,Duration page: column n = duration (CNTL*10 + n). CONFIRMED,
QuikGps,4,GP0,C,7,0,N,gross premium factor for duration (CNTL*10 + 0); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikGps,5,GP1,C,7,0,N,gross premium factor for duration (CNTL*10 + 1); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikGps,6,GP2,C,7,0,N,gross premium factor for duration (CNTL*10 + 2); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikGps,7,GP3,C,7,0,N,gross premium factor for duration (CNTL*10 + 3); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikGps,8,GP4,C,7,0,N,gross premium factor for duration (CNTL*10 + 4); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikGps,9,GP5,C,7,0,N,gross premium factor for duration (CNTL*10 + 5); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikGps,10,GP6,C,7,0,N,gross premium factor for duration (CNTL*10 + 6); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikGps,11,GP7,C,7,0,N,gross premium factor for duration (CNTL*10 + 7); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikGps,12,GP8,C,7,0,N,gross premium factor for duration (CNTL*10 + 8); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikGps,13,GP9,C,7,0,N,gross premium factor for duration (CNTL*10 + 9); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikGps,14,GENDER,C,1,0,Y,Gender segment: 0=N/A/unisex F=female M=male,
QuikGps,15,UWCLASS,C,2,0,Y,Underwriting risk class: 00=default NT/TB/SM/RG/UR/US etc (company-defined),
QuikGps,16,BAND,C,2,0,Y,Insurance band: 00=default 01/99/FM/IN etc (company-defined),
QuikGps,17,ISSCNTRY,C,4,0,Y,Issue country segment (0000=default/all),
QuikGps,18,ISSUEST,C,2,0,Y,Issue state segment (00=default/all),
QuikGps,19,EFFDATE,D,8,0,Y,Rate generation effective date (19000101=default generation),Date type D(8); part of uniqueness key; supports multi-generation
QuikNps,1,PLAN,C,6,0,Y,Authoritative 6-char QLAdmin plan code (root of all rate lookup),
QuikNps,2,AGE,C,2,0,Y,Issue age (or 00 when grid varies by policy-year/duration only),
QuikNps,3,CNTL,C,2,0,Y,Duration page: column n = duration (CNTL*10 + n). CONFIRMED,
QuikNps,4,NP0,C,7,0,N,net premium factor for duration (CNTL*10 + 0); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikNps,5,NP1,C,7,0,N,net premium factor for duration (CNTL*10 + 1); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikNps,6,NP2,C,7,0,N,net premium factor for duration (CNTL*10 + 2); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikNps,7,NP3,C,7,0,N,net premium factor for duration (CNTL*10 + 3); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikNps,8,NP4,C,7,0,N,net premium factor for duration (CNTL*10 + 4); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikNps,9,NP5,C,7,0,N,net premium factor for duration (CNTL*10 + 5); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikNps,10,NP6,C,7,0,N,net premium factor for duration (CNTL*10 + 6); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikNps,11,NP7,C,7,0,N,net premium factor for duration (CNTL*10 + 7); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikNps,12,NP8,C,7,0,N,net premium factor for duration (CNTL*10 + 8); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikNps,13,NP9,C,7,0,N,net premium factor for duration (CNTL*10 + 9); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikNps,14,GENDER,C,1,0,Y,Gender segment: 0=N/A/unisex F=female M=male,
QuikNps,15,UWCLASS,C,2,0,Y,Underwriting risk class: 00=default NT/TB/SM/RG/UR/US etc (company-defined),
QuikNps,16,BAND,C,2,0,Y,Insurance band: 00=default 01/99/FM/IN etc (company-defined),
QuikNps,17,ISSCNTRY,C,4,0,Y,Issue country segment (0000=default/all),
QuikNps,18,ISSUEST,C,2,0,Y,Issue state segment (00=default/all),
QuikNps,19,EFFDATE,D,8,0,Y,Rate generation effective date (19000101=default generation),Date type D(8); part of uniqueness key; supports multi-generation
QuikCvs,1,PLAN,C,6,0,Y,Authoritative 6-char QLAdmin plan code (root of all rate lookup),
QuikCvs,2,AGE,C,2,0,Y,Issue age (or 00 when grid varies by policy-year/duration only),
QuikCvs,3,CNTL,C,2,0,Y,Duration page: column n = duration (CNTL*10 + n). CONFIRMED,
QuikCvs,4,CV0,C,7,0,N,cash value factor for duration (CNTL*10 + 0); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikCvs,5,CV1,C,7,0,N,cash value factor for duration (CNTL*10 + 1); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikCvs,6,CV2,C,7,0,N,cash value factor for duration (CNTL*10 + 2); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikCvs,7,CV3,C,7,0,N,cash value factor for duration (CNTL*10 + 3); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikCvs,8,CV4,C,7,0,N,cash value factor for duration (CNTL*10 + 4); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikCvs,9,CV5,C,7,0,N,cash value factor for duration (CNTL*10 + 5); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikCvs,10,CV6,C,7,0,N,cash value factor for duration (CNTL*10 + 6); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikCvs,11,CV7,C,7,0,N,cash value factor for duration (CNTL*10 + 7); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikCvs,12,CV8,C,7,0,N,cash value factor for duration (CNTL*10 + 8); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikCvs,13,CV9,C,7,0,N,cash value factor for duration (CNTL*10 + 9); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikCvs,14,GENDER,C,1,0,Y,Gender segment: 0=N/A/unisex F=female M=male,
QuikCvs,15,UWCLASS,C,2,0,Y,Underwriting risk class: 00=default NT/TB/SM/RG/UR/US etc (company-defined),
QuikCvs,16,BAND,C,2,0,Y,Insurance band: 00=default 01/99/FM/IN etc (company-defined),
QuikCvs,17,ISSCNTRY,C,4,0,Y,Issue country segment (0000=default/all),
QuikCvs,18,ISSUEST,C,2,0,Y,Issue state segment (00=default/all),
QuikCvs,19,EFFDATE,D,8,0,Y,Rate generation effective date (19000101=default generation),Date type D(8); part of uniqueness key; supports multi-generation
QuikDbs,1,PLAN,C,6,0,Y,Authoritative 6-char QLAdmin plan code (root of all rate lookup),
QuikDbs,2,AGE,C,2,0,Y,Issue age (or 00 when grid varies by policy-year/duration only),
QuikDbs,3,CNTL,C,2,0,Y,Duration page: column n = duration (CNTL*10 + n). CONFIRMED,
QuikDbs,4,DB0,C,7,0,N,death benefit factor for duration (CNTL*10 + 0); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDbs,5,DB1,C,7,0,N,death benefit factor for duration (CNTL*10 + 1); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDbs,6,DB2,C,7,0,N,death benefit factor for duration (CNTL*10 + 2); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDbs,7,DB3,C,7,0,N,death benefit factor for duration (CNTL*10 + 3); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDbs,8,DB4,C,7,0,N,death benefit factor for duration (CNTL*10 + 4); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDbs,9,DB5,C,7,0,N,death benefit factor for duration (CNTL*10 + 5); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDbs,10,DB6,C,7,0,N,death benefit factor for duration (CNTL*10 + 6); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDbs,11,DB7,C,7,0,N,death benefit factor for duration (CNTL*10 + 7); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDbs,12,DB8,C,7,0,N,death benefit factor for duration (CNTL*10 + 8); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDbs,13,DB9,C,7,0,N,death benefit factor for duration (CNTL*10 + 9); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDbs,14,GENDER,C,1,0,Y,Gender segment: 0=N/A/unisex F=female M=male,
QuikDbs,15,UWCLASS,C,2,0,Y,Underwriting risk class: 00=default NT/TB/SM/RG/UR/US etc (company-defined),
QuikDbs,16,BAND,C,2,0,Y,Insurance band: 00=default 01/99/FM/IN etc (company-defined),
QuikDbs,17,ISSCNTRY,C,4,0,Y,Issue country segment (0000=default/all),
QuikDbs,18,ISSUEST,C,2,0,Y,Issue state segment (00=default/all),
QuikDbs,19,EFFDATE,D,8,0,Y,Rate generation effective date (19000101=default generation),Date type D(8); part of uniqueness key; supports multi-generation
QuikDvs,1,PLAN,C,6,0,Y,Authoritative 6-char QLAdmin plan code (root of all rate lookup),
QuikDvs,2,AGE,C,2,0,Y,Issue age (or 00 when grid varies by policy-year/duration only),
QuikDvs,3,CNTL,C,2,0,Y,Duration page: column n = duration (CNTL*10 + n). CONFIRMED,
QuikDvs,4,DV0,C,7,0,N,dividend factor for duration (CNTL*10 + 0); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDvs,5,DV1,C,7,0,N,dividend factor for duration (CNTL*10 + 1); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDvs,6,DV2,C,7,0,N,dividend factor for duration (CNTL*10 + 2); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDvs,7,DV3,C,7,0,N,dividend factor for duration (CNTL*10 + 3); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDvs,8,DV4,C,7,0,N,dividend factor for duration (CNTL*10 + 4); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDvs,9,DV5,C,7,0,N,dividend factor for duration (CNTL*10 + 5); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDvs,10,DV6,C,7,0,N,dividend factor for duration (CNTL*10 + 6); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDvs,11,DV7,C,7,0,N,dividend factor for duration (CNTL*10 + 7); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDvs,12,DV8,C,7,0,N,dividend factor for duration (CNTL*10 + 8); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDvs,13,DV9,C,7,0,N,dividend factor for duration (CNTL*10 + 9); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikDvs,14,GENDER,C,1,0,Y,Gender segment: 0=N/A/unisex F=female M=male,
QuikDvs,15,UWCLASS,C,2,0,Y,Underwriting risk class: 00=default NT/TB/SM/RG/UR/US etc (company-defined),
QuikDvs,16,BAND,C,2,0,Y,Insurance band: 00=default 01/99/FM/IN etc (company-defined),
QuikDvs,17,ISSCNTRY,C,4,0,Y,Issue country segment (0000=default/all),
QuikDvs,18,ISSUEST,C,2,0,Y,Issue state segment (00=default/all),
QuikDvs,19,EFFDATE,D,8,0,Y,Rate generation effective date (19000101=default generation),Date type D(8); part of uniqueness key; supports multi-generation
QuikTvs,1,PLAN,C,6,0,Y,Authoritative 6-char QLAdmin plan code (root of all rate lookup),
QuikTvs,2,AGE,C,2,0,Y,Issue age (or 00 when grid varies by policy-year/duration only),
QuikTvs,3,CNTL,C,2,0,Y,Duration page: column n = duration (CNTL*10 + n). CONFIRMED,
QuikTvs,4,TV0,C,7,0,N,terminal reserve factor for duration (CNTL*10 + 0); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikTvs,5,TV1,C,7,0,N,terminal reserve factor for duration (CNTL*10 + 1); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikTvs,6,TV2,C,7,0,N,terminal reserve factor for duration (CNTL*10 + 2); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikTvs,7,TV3,C,7,0,N,terminal reserve factor for duration (CNTL*10 + 3); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikTvs,8,TV4,C,7,0,N,terminal reserve factor for duration (CNTL*10 + 4); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikTvs,9,TV5,C,7,0,N,terminal reserve factor for duration (CNTL*10 + 5); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikTvs,10,TV6,C,7,0,N,terminal reserve factor for duration (CNTL*10 + 6); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikTvs,11,TV7,C,7,0,N,terminal reserve factor for duration (CNTL*10 + 7); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikTvs,12,TV8,C,7,0,N,terminal reserve factor for duration (CNTL*10 + 8); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikTvs,13,TV9,C,7,0,N,terminal reserve factor for duration (CNTL*10 + 9); stored as CHAR text,C7 text => max '9999.99'; FACTOR OVERFLOW RISK if value>=10000
QuikTvs,14,GENDER,C,1,0,Y,Gender segment: 0=N/A/unisex F=female M=male,
QuikTvs,15,UWCLASS,C,2,0,Y,Underwriting risk class: 00=default NT/TB/SM/RG/UR/US etc (company-defined),
QuikTvs,16,BAND,C,2,0,Y,Insurance band: 00=default 01/99/FM/IN etc (company-defined),
QuikTvs,17,ISSCNTRY,C,4,0,Y,Issue country segment (0000=default/all),
QuikTvs,18,ISSUEST,C,2,0,Y,Issue state segment (00=default/all),
QuikTvs,19,EFFDATE,D,8,0,Y,Rate generation effective date (19000101=default generation),Date type D(8); part of uniqueness key; supports multi-generation
QuikPlGp,1,PLAN,C,6,0,Y,Authoritative 6-char QLAdmin plan code (root of all rate lookup),
QuikPlGp,2,GENDER,C,1,0,Y,Gender segment: 0=N/A/unisex F=female M=male,
QuikPlGp,3,UWCLASS,C,2,0,Y,Underwriting risk class: 00=default NT/TB/SM/RG/UR/US etc (company-defined),
QuikPlGp,4,BAND,C,2,0,Y,Insurance band: 00=default 01/99/FM/IN etc (company-defined),
QuikPlGp,5,ISSCNTRY,C,4,0,Y,Issue country segment (0000=default/all),
QuikPlGp,6,ISSUEST,C,2,0,Y,Issue state segment (00=default/all),
QuikPlGp,7,EFFDATE,D,8,0,Y,Rate generation effective date (19000101=default generation),Date type D(8); part of uniqueness key; supports multi-generation
QuikPlCv,1,PLAN,C,6,0,Y,Authoritative 6-char QLAdmin plan code (root of all rate lookup),
QuikPlCv,2,GENDER,C,1,0,Y,Gender segment: 0=N/A/unisex F=female M=male,
QuikPlCv,3,UWCLASS,C,2,0,Y,Underwriting risk class: 00=default NT/TB/SM/RG/UR/US etc (company-defined),
QuikPlCv,4,BAND,C,2,0,Y,Insurance band: 00=default 01/99/FM/IN etc (company-defined),
QuikPlCv,5,ISSCNTRY,C,4,0,Y,Issue country segment (0000=default/all),
QuikPlCv,6,ISSUEST,C,2,0,Y,Issue state segment (00=default/all),
QuikPlCv,7,EFFDATE,D,8,0,Y,Rate generation effective date (19000101=default generation),Date type D(8); part of uniqueness key; supports multi-generation
QuikPlCv,8,MORT,C,2,0,Y,Mortality table code -> QuikQxs / manual appendix 6.9,Cash-value assumption lives on the KEY table
QuikPlCv,9,ETIMORT,C,2,0,N,Extended-term-insurance mortality table code,Cash-value assumption lives on the KEY table
QuikPlCv,10,NFOINT,C,1,0,N,Non-forfeiture / NFO interest (rebate) code,Cash-value assumption lives on the KEY table
QuikPlCv,11,INTMETHCV,C,1,0,N,Cash value interest method (0=curtate-style default observed),Cash-value assumption lives on the KEY table
QuikPlDb,1,PLAN,C,6,0,Y,Authoritative 6-char QLAdmin plan code (root of all rate lookup),
QuikPlDb,2,GENDER,C,1,0,Y,Gender segment: 0=N/A/unisex F=female M=male,
QuikPlDb,3,UWCLASS,C,2,0,Y,Underwriting risk class: 00=default NT/TB/SM/RG/UR/US etc (company-defined),
QuikPlDb,4,BAND,C,2,0,Y,Insurance band: 00=default 01/99/FM/IN etc (company-defined),
QuikPlDb,5,ISSCNTRY,C,4,0,Y,Issue country segment (0000=default/all),
QuikPlDb,6,ISSUEST,C,2,0,Y,Issue state segment (00=default/all),
QuikPlDb,7,EFFDATE,D,8,0,Y,Rate generation effective date (19000101=default generation),Date type D(8); part of uniqueness key; supports multi-generation
QuikPlDv,1,PLAN,C,6,0,Y,Authoritative 6-char QLAdmin plan code (root of all rate lookup),
QuikPlDv,2,GENDER,C,1,0,Y,Gender segment: 0=N/A/unisex F=female M=male,
QuikPlDv,3,UWCLASS,C,2,0,Y,Underwriting risk class: 00=default NT/TB/SM/RG/UR/US etc (company-defined),
QuikPlDv,4,BAND,C,2,0,Y,Insurance band: 00=default 01/99/FM/IN etc (company-defined),
QuikPlDv,5,ISSCNTRY,C,4,0,Y,Issue country segment (0000=default/all),
QuikPlDv,6,ISSUEST,C,2,0,Y,Issue state segment (00=default/all),
QuikPlDv,7,EFFDATE,D,8,0,Y,Rate generation effective date (19000101=default generation),Date type D(8); part of uniqueness key; supports multi-generation
QuikPlTv,1,PLAN,C,6,0,Y,Authoritative 6-char QLAdmin plan code (root of all rate lookup),
