TABLE,PLAN,TYPE_CODE,KEY,COLUMN,DROPPED_CAPPED_VALUE,RETAINED_GENUINE_VALUE
QuikNff,1L10OD,NF,1L10OD|99|00|M|ST|00|0000|00|19000101,0,0.0,0.0
QuikNff,1L10OD,NF,1L10OD|99|00|M|PR|00|0000|00|19000101,0,0.0,952.38095
QuikNff,1L10OD,NF,1L10OD|99|00|M|SM|00|0000|00|19000101,0,0.0,952.38095
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10PR,PR,1L10PR|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,920ADB,PR,920ADB|99|00|M|00|00|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|00|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|00|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|00|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|00|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|00|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|00|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|00|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|00|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|00|0000|00|19000101,0,1.5,1.5
