MPLAN,MEFFDATE,MINTRATE,MINTRATE1,PFSA_PLAN,PLAN_NAME
1200WT,19000101,3.75,3.75,200,Wealth Transfer (Single Premium)
1200WT,20200101,3.0,3.0,200,Wealth Transfer (Single Premium)
1200WT,20240101,3.0,3.5,200,Wealth Transfer (Single Premium)
1205IS,19000101,2.5,2.5,205,ISWL (Interest Sensitive Whole Life)
1205IS,20230101,3.0,3.0,205,ISWL (Interest Sensitive Whole Life)
1205IS,20240101,3.0,3.5,205,ISWL (Interest Sensitive Whole Life)
1206UL,19000101,3.0,3.0,206,Universal Life
1206UL,20200101,2.5,2.5,206,Universal Life
1206UL,20220101,3.0,3.0,206,Universal Life
1206UL,20240101,3.0,3.5,206,Universal Life
A103RO,19000101,3.5,3.5,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A103RO,20170101,3.0,3.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A103RO,20200101,2.5,2.5,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A103RO,20210101,2.0,2.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A103RO,20230101,2.5,3.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A103RO,20240101,3.0,4.5,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A103RO,20250101,3.0,5.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A103RO,20260101,3.0,6.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A104ES,19000101,3.5,3.5,104,Coverdell (Education) IRA
A104ES,20170101,3.0,3.0,104,Coverdell (Education) IRA
A104ES,20230101,2.5,4.0,104,Coverdell (Education) IRA
A104ES,20240101,3.0,5.5,104,Coverdell (Education) IRA
A104ES,20250101,3.0,6.0,104,Coverdell (Education) IRA
A105IR,19000101,3.5,3.5,103,Flexible Annuity/IRA
A105IR,20170101,1.5,1.5,103,Flexible Annuity/IRA
A105IR,20200101,2.0,2.0,103,Flexible Annuity/IRA
A105IR,20230101,2.5,4.0,103,Flexible Annuity/IRA
A105IR,20240101,3.0,5.5,103,Flexible Annuity/IRA
A105IR,20250101,3.0,5.0,103,Flexible Annuity/IRA
A105IR,20260101,3.0,6.0,103,Flexible Annuity/IRA
A106PR,19000101,3.5,3.5,106,Promotional Annuity $10k - $500k
A106PR,20170101,4.0,4.0,106,Promotional Annuity $10k - $500k
A106PR,20200101,3.5,3.5,106,Promotional Annuity $10k - $500k
A106PR,20210101,3.0,3.0,106,Promotional Annuity $10k - $500k
A106PR,20230101,2.5,4.0,106,Promotional Annuity $10k - $500k
A106PR,20240101,3.0,5.5,106,Promotional Annuity $10k - $500k
A106PR,20250101,3.0,6.25,106,Promotional Annuity $10k - $500k
A106PR,20260101,3.0,6.5,106,Promotional Annuity $10k - $500k
A107NA,19000101,3.5,3.5,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A107NA,20170101,3.0,3.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A107NA,20200101,2.5,2.5,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A107NA,20210101,2.0,2.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A107NA,20230101,2.5,3.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A107NA,20240101,3.0,4.5,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A107NA,20250101,3.0,5.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A107NA,20260101,3.0,6.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A108SP,19000101,3.5,3.5,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A108SP,20170101,3.0,3.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
