PLAN,PAAGERAT_PR_ROWS,IN_EMITTED_QUikGps
130JEB,15,N
1658CS,164,N
1666AI,86,N
1669SR,164,N
17CSI3,60,N
17CSI7,60,N
17MJPO,76,N
196065,112,N
1960OL,142,N
1960PO,142,N
1970JB,15,N
1991PL,61,N
1CSIMN,60,N
1L10PR,1033,N
1L10SO,3836,N
1L14SC,82,N
1L16GD,124,N
1SALMI,66,N
1SALOL,135,N
261PUA,112,N
280PUA,112,N
528CTR,19,N
542STR,38,N
543CTR,117,N
560STR,32,N
5646AT,201,N
5667AT,738,N
578CTR,117,N
578STR,41,N
57ATCR,75,N
5L0110,924,N
5L0510,804,N
5L075Y,1020,N
719CDT,23,N
7619DT,60,N
7619PU,60,N
7647FP,117,N
7687J3,320,N
7690DT,117,N
901ADB,51,N
9065WP,82,N
9085WP,82,N
90OLWP,82,N
90PDTH,11,N
910RWP,74,N
910SWP,117,N
920ADB,117,N
934JWP,52,N
934SWP,174,N
943CWP,117,N
9595WP,84,N
960CWP,19,N
960GIO,38,N
960SWP,32,N
965ADB,36,N
9665WP,72,N
967ADB,99,N
977ADB,46,N
980JPO,22,N
982JPO,19,N
9CDTWP,117,N
9CTRWP,117,N
9FTRWP,117,N
9GPO79,41,N
9JPO46,22,N
9L01WP,168,N
9L05WP,168,N
9OLDWP,222,N
9POADB,52,N
9SLADB,234,N
9STRWP,117,N
9WP646,40,N
9WPL10,222,N
A60MIR,112,N
A96DAR,117,N
