PLAN,PLANVALOPT,GDVARYGP,GDVARYDB,GDVARYCV,GDVARYTV,GDVARYDV,UWVARYGP,UWVARYDB,UWVARYCV,UWVARYTV,UWVARYDV,BDVARYGP,BDVARYDB,BDVARYCV,BDVARYTV,BDVARYDV,STVARYGP,STVARYDB,STVARYCV,STVARYTV,STVARYDV,UPDATE_REASON
121PUA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
130JEB,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
1658C1,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658CS,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1659C2,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659CR,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYTV"
165PUA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
1666AI,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
1666WL,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
1668SP,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYCV
1669SR,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1679CS,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
170588,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYCV
170858,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170PUA,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYTV"
17CSI3,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI5,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYTV"
17CSI7,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17MJPO,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,GDVARYGP"
185PUA,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYTV"
196065,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYGP,GDVARYTV"
1960OL,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYGP,GDVARYTV"
1960PO,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYGP,GDVARYTV"
1970JB,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
1970PA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
1991PL,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
1CSIMN,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
1L1095,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
