PLAN,Source_Table,Product_Type,Detected_Structure,Recommended_VARGP,Recommended_VARDB,Confidence,Evidence,Notes
10L171,NONE,Single Premium Whole Life,GP=NONE|DB=NONE,4,4,LOW,no matching rate rows,no rate observations; no rate observations; no GP/PR rate data; no DB rate data
10L172,NONE,Single Premium Whole Life,GP=NONE|DB=NONE,4,4,LOW,no matching rate rows,no rate observations; no rate observations; no GP/PR rate data; no DB rate data
117JPO,NONE,L17 Juvenile Purchase Option,GP=NONE|DB=NONE,4,4,LOW,no matching rate rows,no rate observations; no rate observations; no GP/PR rate data; no DB rate data
121PUA,NONE,Paid Up Adds - Endowment at Age 85,GP=NONE|DB=NONE,4,4,LOW,no matching rate rows,no rate observations; no rate observations; no GP/PR rate data; no DB rate data
130JEB,PAAGERAT,Juvenile Estate Builder Life Pd Up at 65,GP=ATTAINED_AGE|DB=ATTAINED_AGE,3,3,HIGH,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=15 rows=15 no duration) | DB[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=117 rows=117 no duration),
1658C1,NONE,Interest-Sensitive Whole Life,GP=NONE|DB=NONE,4,4,LOW,no matching rate rows,no rate observations; no rate observations; no GP/PR rate data; no DB rate data
1658CS,PAAGERAT,Interest-Sensitive Whole Life,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=41 rows=164 no duration),no rate observations; no DB rate data
1659C2,NONE,Interest-Sensitive Whole Life,GP=NONE|DB=NONE,4,4,LOW,no matching rate rows,no rate observations; no rate observations; no GP/PR rate data; no DB rate data
1659CR,NONE,Interest-Sensitive Whole Life,GP=NONE|DB=NONE,4,4,LOW,no matching rate rows,no rate observations; no rate observations; no GP/PR rate data; no DB rate data
1659CS,NONE,Interest-Sensitive Whole Life,GP=NONE|DB=NONE,4,4,LOW,no matching rate rows,no rate observations; no rate observations; no GP/PR rate data; no DB rate data
1659SR,Rate_Table,Interest-Sensitive Whole Life,GP=NONE|DB=POLICY_YEAR_ONLY,4,1,LOW,DB[Rate_Table]:POLICY_YEAR_ONLY(AGE=0 duration_values=100 rows=100),no rate observations; no GP/PR rate data
165PUA,NONE,Paid Up Adds - Life Paid Up at Age 65,GP=NONE|DB=NONE,4,4,LOW,no matching rate rows,no rate observations; no rate observations; no GP/PR rate data; no DB rate data
1666AI,PAAGERAT,Additional Insureds 666 WL,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=86 rows=86 no duration),no rate observations; no DB rate data
