MPOLICY,MPHASE,MSTATUS,MPLAN,MREINCO,MTREATY,MTYPE,MUWCLASS,MINITAMT,MRETAINED,MCEDED,MPCTCEDED,MBILLTO,MMODE,MMODEPREM,MCLAIMAMT,MCLAIMDATE,MRECOVERBL,MRECVDDATE
011206462C,1,53,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,29.35,0.00,,0.00,
011206462C,1,53,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,29.35,0.00,,0.00,
011206462C,1,53,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,29.35,0.00,,0.00,
011206562C,1,22,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,48.10,0.00,,0.00,
011206562C,1,22,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,48.10,0.00,,0.00,
011206562C,1,22,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,48.10,0.00,,0.00,
011207210C,1,53,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,83.50,0.00,,0.00,
011207210C,1,53,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,83.50,0.00,,0.00,
011207210C,1,53,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,83.50,0.00,,0.00,
011207222C,1,53,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,51.60,0.00,,0.00,
011207222C,1,53,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,51.60,0.00,,0.00,
011207222C,1,53,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,51.60,0.00,,0.00,
011207563C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,03,183.75,0.00,,0.00,
011207563C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,03,183.75,0.00,,0.00,
011207563C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,03,183.75,0.00,,0.00,
011207677C,1,22,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,36.10,0.00,,0.00,
