COVERAGE_ID,TYPE_CODE,SEX,BAND,UWCLS,RECORD_SEQ,SEQ   ,VALUE_INFO      ,VALUE_FLOAT             ,AAGE_KEY0                                   
-----------,---------,---,----,-----,----------,------,----------------,------------------------,--------------------------------------------
0822 620   ,PR       ,M  ,1   ,0    ,         1,     1,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303031
0822 620   ,PR       ,M  ,1   ,0    ,         1,     2,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303032
0822 620   ,PR       ,M  ,1   ,0    ,         1,     3,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303033
0822 620   ,PR       ,M  ,1   ,0    ,         1,     4,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303034
0822 620   ,PR       ,M  ,1   ,0    ,         1,     5,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303035
0822 620   ,PR       ,M  ,1   ,0    ,         1,     6,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303036
0822 620   ,PR       ,M  ,1   ,0    ,         1,     7,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303037
0822 620   ,PR       ,M  ,1   ,0    ,         1,     8,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303038
0822 620   ,PR       ,M  ,1   ,0    ,         1,     9,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303039
0822 620   ,PR       ,M  ,1   ,0    ,         1,    10,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303130
0822 620   ,PR       ,M  ,1   ,0    ,         1,    11,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303131
0822 620   ,PR       ,M  ,1   ,0    ,         1,    12,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303132
0822 620   ,PR       ,M  ,1   ,0    ,         1,    13,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303133
0822 620   ,PR       ,M  ,1   ,0    ,         1,    14,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303134
0822 620   ,PR       ,M  ,1   ,0    ,         1,    15,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303135
0822 620   ,PR       ,M  ,1   ,0    ,         1,    16,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303136
0822 620   ,PR       ,M  ,1   ,0    ,         1,    17,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303137
0822 620   ,PR       ,M  ,1   ,0    ,         1,    18,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303138
0822 620   ,PR       ,M  ,1   ,0    ,         1,    19,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303139
0822 620   ,PR       ,M  ,1   ,0    ,         1,    20,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303230
0822 620   ,PR       ,M  ,1   ,0    ,         1,    21,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303231
0822 620   ,PR       ,M  ,1   ,0    ,         1,    22,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303232
0822 620   ,PR       ,M  ,1   ,0    ,         1,    23,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303233
0822 620   ,PR       ,M  ,1   ,0    ,         1,    24,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303234
0822 620   ,PR       ,M  ,1   ,0    ,         1,    25,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303235
0822 620   ,PR       ,M  ,1   ,0    ,         1,    26,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303236
0822 620   ,PR       ,M  ,1   ,0    ,         1,    27,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303237
0822 620   ,PR       ,M  ,1   ,0    ,         1,    28,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303238
0822 620   ,PR       ,M  ,1   ,0    ,         1,    29,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303239
0822 620   ,PR       ,M  ,1   ,0    ,         1,    30,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303330
0822 620   ,PR       ,M  ,1   ,0    ,         1,    31,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303331
0822 620   ,PR       ,M  ,1   ,0    ,         1,    32,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303332
0822 620   ,PR       ,M  ,1   ,0    ,         1,    33,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303333
0822 620   ,PR       ,M  ,1   ,0    ,         1,    34,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303334
0822 620   ,PR       ,M  ,1   ,0    ,         1,    35,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303335
0822 620   ,PR       ,M  ,1   ,0    ,         1,    36,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303336
0822 620   ,PR       ,M  ,1   ,0    ,         1,    37,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303337
0822 620   ,PR       ,M  ,1   ,0    ,         1,    38,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303338
0822 620   ,PR       ,M  ,1   ,0    ,         1,    39,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303339
0822 620   ,PR       ,M  ,1   ,0    ,         1,    40,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303430
0822 620   ,PR       ,M  ,1   ,0    ,         1,    41,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303431
0822 620   ,PR       ,M  ,1   ,0    ,         1,    42,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303432
0822 620   ,PR       ,M  ,1   ,0    ,         1,    43,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303433
0822 620   ,PR       ,M  ,1   ,0    ,         1,    44,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303434
0822 620   ,PR       ,M  ,1   ,0    ,         1,    45,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303435
0822 620   ,PR       ,M  ,1   ,0    ,         1,    46,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303436
0822 620   ,PR       ,M  ,1   ,0    ,         1,    47,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303437
0822 620   ,PR       ,M  ,1   ,0    ,         1,    48,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303438
0822 620   ,PR       ,M  ,1   ,0    ,         1,    49,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303439
0822 620   ,PR       ,M  ,1   ,0    ,         1,    50,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303530
0822 620   ,PR       ,M  ,1   ,0    ,         1,    51,       1.5000000,                     0.0,0x3038323220363230202050524D3130303130303531
