lifepro_coverage_id,form_before,form_after,form_crosswalk_authority
0822 620,0822,0822 620,0822 620
0822 665,0822,0822 665,0822 665
0822 960,0822,0822 960,0822 960
0822 960PO,0822,0822 960PO,0822 960PO
0823 665,0823,0823 665,0823 665
0823 896,0823,0823 896,0823 896
0823 96085,0823,0823 96085,0823 96085
0823 960CH,0823,0823 960CH,0823 960CH
0823 960LP,0823,0823 960LP,0823 960LP
0823 960OL,0823,0823 960OL,0823 960OL
0823 960PO,0823,0823 960PO,0823 960PO
0823 960SP,0823,0823 960SP,0823 960SP
0824 P DIS,0824,0824 P DIS,0824 P DIS
0824 P DTH,0824,0824 P DTH,0824 P DTH
10827 CSI3,10827,10827 CSI3,10827 CSI3
10827 CSI5,10827,10827 CSI5,10827 CSI5
10827 CSI7,10827,10827 CSI7,10827 CSI7
10827 MN5K,10827,10827 MN5K,10827 MN5K
1576 658,1576,1576 658,1576 658
1576 659,1576,1576 659,1576 659
1577 ADB,1577,1577 ADB,1577 ADB
1578 CTR,1578,1578 CTR,1578 CTR
1578 FTR,1578,1578 FTR,1578 FTR
1578 SPSPU,1578,1578 SPSPU,1578 SPSPU
1578CTR WP,NA,1578CTR WP,1578CTR WP
1578FTR WP,NA,1578FTR WP,1578FTR WP
1579 GPO,1579,1579 GPO,1579 GPO
1580 JPO,1580,1580 JPO,1580 JPO
1595,1596,1595,1595
1596 667,1596,1596 667,1596 667
1596 L01,1596,1596 L01,1596 L01
619 CH PU,619,619 CH PU,619 CH PU
619 DT,619,619 DT,619 DT
619 DT CH,619,619 DT CH,619 DT CH
619 DT SP,619,619 DT SP,619 DT SP
619 SPS PU,619,619 SPS PU,619 SPS PU
621 END85,620,621 END85,621 END85
621 PUA,620,621 PUA,621 PUA
622 END85,620,622 END85,622 END85
630 JEB,620,630 JEB,630 JEB
646 ART,667,646 ART,646 ART
647 FLP,647,647 FLP,647 FLP
647 FLP CH,647,647 FLP CH,647 FLP CH
647 FLP SP,647,647 FLP SP,647 FLP SP
658 CEN I,658,658 CEN I,658 CEN I
658 CEN SD,658,658 CEN SD,658 CEN SD
659 CEN II,659,659 CEN II,659 CEN II
659 CEN SD,659,659 CEN SD,659 CEN SD
659 CEN SR,659,659 CEN SR,659 CEN SR
659 SR GD,659,659 SR GD,659 SR GD
665 PUA,665,665 PUA,665 PUA
665 STME95,665,665 STME95,665 STME95
666 WL,666,666 WL,666 WL
667 ART,667,667 ART,667 ART
667 ART CR,667,667 ART CR,667 ART CR
668 SPWL,668,668 SPWL,668 SPWL
669 SR GD,659,669 SR GD,669 SR GD
670 GL85-8,960,670 GL85-8,670 GL85-8
670 GL8588,960,670 GL8588,670 GL8588
670 GL85-M,960,670 GL85-M,670 GL85-M
670 PUA,960,670 PUA,670 PUA
679 CEN SD,679,679 CEN SD,679 CEN SD
686S 30MRG,686,686S 30MRG,686S 30MRG
687J 30MRG,687,687J 30MRG,687J 30MRG
690 DT 65,690,690 DT 65,690 DT 65
